科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"109,965,879.68","289,471,475.00","281,696,593.15","185,131,646.96","122,642,365.63","186,222,382.23","273,648,479.75","188,342,038.09","316,407,551.53","238,089,768.16","228,015,583.93","221,268,262.51","233,213,891.00","307,981,356.90","245,175,680.00","227,284,565.86","228,419,712.59","293,469,621.30","258,047,400.63","311,738,977.89","154,060,599.98","354,563,204.22","388,075,786.52"
短期借款,"60,000,000.00","320,000,000.00","800,000,000.00","570,000,000.00","700,000,000.00","530,000,000.00","420,000,000.00","480,000,000.00","530,000,000.00","430,000,000.00","270,000,000.00","170,000,000.00","160,000,000.00","300,000,000.00","330,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00","100,000,000.00","100,000,000.00","169,000,000.00","269,000,000.00","289,000,000.00"
交易性金融资产,,,,"821,150.00",,,,,,,,,,"13,420,174.00","14,046,657.00","14,285,407.00","14,285,407.00",,"1,700,528.00","230,138.00","203,562.50","3,358,485.00","1,322,620.00"
交易性金融负债,,,,,,,,,,"60,234,300.00","148,335,000.00","233,715,950.00","262,817,391.50","253,050,826.56","54,742,601.16","308,680,917.17","408,893,438.85","295,598,100.06","296,347,229.48","426,233,166.93","327,876,652.41","329,239,851.80","386,647,427.98"
应收票据,"29,568,280.00","29,618,284.89","19,341,508.34","11,190,000.00","15,333,330.00","10,850,000.00","4,930,000.00","3,317,700.00","2,036,304.60","5,100,000.00","300,000.00","12,200,000.00","20,300,000.00","21,077,000.00","9,124,046.83","23,643,185.76","51,882,400.00","29,200,000.00","11,920,494.10","9,130,000.00","5,500,000.00","2,483,857.16","1,050,000.00"
应付票据,,,,,,,,,,,,,"10,000,000.00","10,000,000.00",,,,,,,,,
应收账款,"80,649.05","61,256.90","536,268.10","3,764,229.92","12,787,217.88","14,080,245.67","10,911,778.85","29,115,708.41","16,170,486.98","13,464,241.81","12,566,771.42","7,335,729.29","4,134,585.04","1,724,496.26","1,393,146.58","2,668,062.00","2,633,600.05","11,181,356.74","9,780,937.11","6,344,969.56","5,166,166.33","5,527,854.48","5,763,304.87"
应付账款,"54,421,695.36","139,672,028.51","216,894,161.78","196,432,418.58","192,417,584.75","258,901,661.61","263,318,133.95","239,152,763.09","204,193,235.73","211,144,312.00","172,263,716.06","195,778,191.36","196,588,363.12","180,973,557.49","147,868,070.15","153,033,089.46","152,674,265.40","151,729,620.98","145,493,566.69","112,046,652.76",,"165,109,980.94",
预付款项,"72,338,249.32","75,503,936.59","42,262,903.19","26,643,403.90","40,673,849.24","17,182,305.99","31,712,580.36","11,052,658.72","38,518,127.74","6,289,677.46","44,819,869.50","33,788,939.17","55,435,320.83","18,668,189.47","33,050,546.16","57,585,356.22","88,215,515.55","44,721,214.56","70,375,172.24","69,020,035.54","50,558,740.74","44,705,899.70","54,842,149.01"
预收款项,"3,624,879.97","26,257,929.61","4,209,762.77","1,605,278.02","14,220,501.93","619,755.82","514,757.68","7,657,098.43","3,664,776.02","1,051,928.76","452,459.76","6,086,658.00","7,052,768.96","9,617,949.38","17,503,760.88","21,179,485.71","44,163,393.82","5,682,379.54","6,644,647.55","1,844,559.11","3,084,592.48","2,377,131.77","985,429.28"
其他应收款,"10,608,366.08","3,181,621.81","2,216,053.55","2,300,762.10","2,911,597.16","2,123,187.35","2,101,393.13","2,692,986.38","2,967,915.44","1,451,034.13","1,806,125.11","1,617,192.47","1,739,584.86","1,151,402.54","2,750,407.91","2,975,999.75","2,555,679.59","2,170,590.84","2,523,242.85","3,632,537.99","2,924,927.65","2,383,740.33","3,691,071.20"
应付职工薪酬,"15,884,672.19","14,640,266.55","23,460,454.97","19,758,980.75","38,224,130.37","24,967,774.90","23,888,297.77","27,852,641.86","29,639,231.56","25,886,267.14","23,856,661.63","24,811,552.65","24,645,242.33","21,702,149.87","23,365,350.33","24,956,683.95","24,423,428.06","23,810,496.21","25,584,725.07","27,094,111.10","26,308,180.69","29,961,574.26","29,256,879.53"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"104,006,014.19","71,218,121.75","14,910,250.85","17,001,154.18","9,769,907.06","13,748,001.30","18,356,033.98","16,834,476.11","22,785,320.96","13,478,285.74","16,075,851.28","19,971,311.93","25,501,856.74","17,717,322.12","20,066,793.86","13,930,808.59","13,491,300.91","8,158,690.07","3,291,599.45","4,648,880.55","11,805,147.61","10,523,368.94","5,350,663.86"
应收利息,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,"535,277.78","1,333,333.33","1,112,328.76","1,188,493.15","1,038,888.87","700,000.00","700,416.65","731,388.88","545,972.22","326,250.00","283,958.34","183,125.00","349,513.89","383,951.39","148,326.39","34,437.50","168,977.14","168,977.14","157,059.33","269,503.86","370,280.34","396,689.80"
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,
