科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"381,607,004.52","420,891,449.68","457,870,850.59",,"203,953,139.27","301,278,342.76","418,562,333.79","97,934,632.95","181,998,548.90","289,349,518.35","436,790,307.75","114,176,885.89","213,556,870.02","331,240,517.43","489,320,466.86","137,286,372.78","241,429,976.08"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,88.53,,,,,"16,013,610.42",,"1,895,962.97"
收到其他与经营活动有关的现金,"1,537,633.03","4,945,606.84","5,448,484.91",,"3,011,626.12","4,870,128.32","5,422,916.43","1,650,170.23","8,789,416.91","12,844,453.95","14,365,476.16","1,788,523.18","2,543,202.45","3,666,400.19","6,105,216.52","1,705,856.78","3,459,915.04"
投资活动现金流出小计,"25,093,018.16","9,760,874.15","8,667,783.53",,"14,182,343.08","46,278,475.67","106,937,347.36","46,046,391.54","48,002,137.20","242,187,009.73","354,651,941.28","3,575,619.17","54,077,164.67","123,457,320.71","138,925,521.93","3,847,901.08","10,151,879.01"
经营活动现金流入小计,"383,144,637.55","425,837,056.52","463,319,335.50",,"206,964,765.39","306,148,471.08","423,985,250.22","99,584,803.18","190,787,965.81","302,193,972.30","451,155,783.91","115,965,409.07","216,100,072.47","334,906,917.62","495,425,683.38","138,992,229.56","244,889,891.12"
投资活动产生的现金流量净额,"-24,937,116.62","-9,543,690.15","-8,567,083.53","-7,684,000.00","-14,181,668.08","-46,277,800.67","-106,936,672.36","-46,046,391.54","-48,002,137.20","-242,187,009.73","-353,562,630.46","118,368,929.12","-25,626,041.02","-72,551,690.23","-76,181,856.54","8,202,372.88","3,808,321.51"
购买商品、接受劳务支付的现金,"191,208,346.46","224,739,345.76","177,186,898.82",,"91,262,286.13","157,432,667.29","224,059,614.42","62,463,472.34","116,138,523.25","166,648,069.22","219,768,727.84","40,408,905.50","87,585,783.56","164,718,939.10","232,429,140.93","78,124,537.48","140,179,382.67"
吸收投资收到的现金,,,,,"442,000,000.00","442,000,000.00","404,770,000.00",,,,,,,,"18,278,000.00","525,000.00","625,000.00"
支付给职工以及为职工支付的现金,"46,790,230.93","52,799,111.37","54,761,960.98",,"26,474,385.11","39,316,425.08","59,155,576.23","18,815,486.99","33,845,794.89","49,064,601.53","68,187,938.43","20,620,646.62","35,234,746.56","50,811,178.23","71,484,560.11","22,055,368.21","40,057,187.59"
取得借款收到的现金,,,,,,,,,,,,,,,,,
