科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"623,792,196.78","716,799,289.47","879,614,446.43","557,901,576.41","915,067,756.12","1,181,939,489.23","340,193,925.94","760,087,092.86","1,142,696,353.19","1,531,999,896.88","440,983,142.78","1,017,900,960.56","1,569,113,407.68","2,218,273,286.64","666,210,051.22","1,464,297,715.48","2,267,994,638.94","3,084,834,419.92","768,053,368.64"
二、营业利润,"77,307,792.19","81,687,093.38","107,617,442.63","69,097,468.08","116,248,812.46","146,487,494.66","45,793,321.90","92,005,686.53","135,459,141.88","165,002,258.35","63,682,106.59","127,482,932.75","189,785,808.68","251,730,527.27","78,771,376.50","159,845,785.12","241,335,257.07","325,981,596.95","96,816,551.45"
减:营业成本,"420,624,418.70","490,656,107.58","584,890,180.91","373,328,755.84","612,513,047.83","793,734,796.96","227,960,588.18","518,718,450.31","782,621,799.13","1,054,015,875.40","285,903,721.79","692,929,560.16","1,069,090,255.47","1,533,205,968.74","477,850,859.83","1,069,613,756.77","1,653,316,441.02","2,255,631,486.23","565,460,581.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,279,908.42","5,019,149.22","5,559,871.64","3,294,594.18","5,619,569.07","6,812,047.57","2,742,205.00","5,653,600.30","8,282,819.10","12,170,374.34","7,025,505.32","7,949,539.40","9,920,148.42","18,345,733.24","1,465,043.40","4,122,229.26","8,803,976.74","14,418,178.84","2,516,150.53"
营业外收入,"7,753,425.00","10,978,066.00","3,833,816.74","2,561,206.78","3,547,120.40","3,961,415.72","2,579,647.60","4,588,301.50","13,276,371.90","14,051,159.54","84,540.52","2,682,125.99","6,655,279.41","14,036,158.30","1,063,810.98","12,660.97","28,909.21","44,097.24","9,817.69"
销售费用,"69,214,289.24","80,944,257.04","107,419,536.69","61,330,578.05","97,787,912.89","144,004,034.42","35,720,952.59","82,511,359.68","127,841,607.32","198,103,605.54","46,783,333.72","125,875,748.44","187,110,572.35","283,998,531.28","53,813,099.89","126,573,274.56","204,028,099.69","323,476,485.10","58,612,148.26"
减:营业外支出,"957,662.32","148,531.71","387,946.18","17,515.89","70,257.14","383,707.14","61,022.59","409,423.30","730,364.59","1,301,890.41","366,341.65","427,642.62","1,236,204.72","2,871,377.31","674,472.40","1,470,910.22","2,025,336.25","4,298,521.61","220,686.27"
管理费用,"44,742,258.86","47,204,986.39","56,729,302.68","40,600,030.69","59,174,704.37","73,251,966.71","18,811,335.60","44,582,764.72","65,302,277.21","98,939,906.42","29,235,889.91","54,631,047.32","90,906,070.07","122,939,675.66","32,988,589.40","82,871,500.90","126,698,956.90","158,351,001.84","36,909,636.59"
其中:非流动资产处置净损失,,,,418.86,418.86,418.86,"2,432.85","340,576.32","340,576.32","333,183.53",,"1,880.97","2,959.72","340,914.89","340,914.89","339,112.42","656,675.09",,
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"5,223,350.92","4,368,189.23","3,675,522.43","2,506,582.58","4,705,189.00","7,338,196.75","-1,219,077.97","-5,033,907.13","-6,703,683.88","-8,679,094.05","-3,938,957.00","-7,081,722.51","-8,505,427.79","-6,741,392.28","-1,169,870.55","-2,157,173.31","-3,565,719.85","-6,984,500.26","-11,134,140.85"
三、利润总额,"84,103,554.87","92,516,627.67","111,063,313.19","71,641,158.97","119,725,675.72","150,065,203.24","48,311,946.91","96,184,564.73","148,005,149.19","177,751,527.48","63,400,305.46","129,737,416.12","195,204,883.37","262,895,308.26","79,160,715.08","158,387,535.87","239,338,830.03","321,727,172.58","96,605,682.87"
资产减值损失,"3,400,178.45","6,919,506.63","13,659,624.89","7,729,761.68","18,856,002.88","10,493,430.96","10,676,557.38","21,933,821.53","30,174,192.26","12,725,849.97","12,292,199.18","16,115,364.94","30,808,447.27","21,400,120.31","24,988,180.81","28,933,565.18","45,049,082.68","26,781,388.96","22,286,366.61"
减:所得税,"11,373,346.85","13,056,486.62","15,052,493.03","9,957,804.33","16,526,434.25","20,410,759.95","8,814,495.38","14,856,945.99","22,292,350.59","24,996,238.69","12,293,807.13","26,930,055.55","39,858,261.34","45,058,784.98","10,699,810.54","24,024,032.22","36,198,718.35","48,863,333.69","14,323,213.63"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,,,"-62,964.56","-13,805.31","-162,517.62","182,478.80","291,956.74","284,683.08","281,799.83","278,879.09",656.73,"1,509.94","2,466.79","6,605,877.58","2,497,228.06","4,032,162.00","3,773,629.16","6,369,795.13","-142,299.42"
四、净利润,"72,730,208.02","79,460,141.05","96,010,820.16","61,683,354.64","103,199,241.47","129,654,443.29","39,497,451.53","81,327,618.74","125,712,798.60","152,755,288.79","51,106,498.33","102,807,360.57","155,346,622.03","217,836,523.28","68,460,904.54","134,363,503.65","203,140,111.68","272,863,838.89","82,282,469.24"
其中:对联营企业和合营企业的投资权益,,,,,,"182,478.80",,,,"278,879.09",,,"2,466.79","1,231,775.85","45,188.30","445,175.66","72,383.31","2,275,054.64","-705,212.21"
归属于母公司所有者的净利润,"72,730,208.02","79,460,141.05","96,010,820.16","61,683,354.64","103,199,241.47","129,654,443.29","39,497,451.53","80,638,514.37","124,618,633.20","150,776,041.48","49,633,199.48","101,696,211.65","151,936,215.24","211,321,180.83","64,466,573.35","127,304,288.40","191,484,854.08","260,049,701.99","77,222,388.62"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,"689,104.37","1,094,165.40","1,979,247.31","1,473,298.85","1,111,148.92","3,410,406.79","6,515,342.45","3,994,331.19","7,059,215.25","11,655,257.60","12,814,136.90","5,060,080.62"
