科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"901,437,195.12","964,644,109.85","987,721,909.16","631,372,702.77","984,912,875.23","1,353,281,415.40","294,278,449.67","746,498,235.72","1,160,149,087.82","1,578,312,738.95","359,290,830.72","802,948,409.34","1,270,204,777.92","1,769,999,328.30","410,310,769.27","986,318,317.73","1,502,131,246.60","2,108,138,187.54","540,777,261.27","1,233,073,546.48","1,895,024,911.31","2,537,977,084.05","543,180,619.14","1,149,319,486.03","1,736,463,955.28","2,355,612,294.29","538,156,781.00","1,235,709,049.08","1,936,530,966.15","2,708,222,182.21","771,213,973.49","1,660,203,385.92","2,572,931,846.15","3,573,310,693.12"
二、营业利润,"50,107,743.12","61,558,317.53","137,657,309.91","94,691,628.78","130,643,669.50","157,180,579.13","14,654,291.52","36,188,356.21","56,927,233.32","86,888,195.83","37,808,898.79","75,708,273.15","113,936,453.65","167,313,241.05","44,291,932.82","102,793,758.79","164,233,724.04","221,746,539.26","69,797,711.34","164,620,487.07","260,778,645.78","316,354,876.52","76,639,877.86","149,555,718.21","211,968,541.71","296,081,957.06","19,538,265.09","87,820,142.76","132,514,776.84","182,885,295.85","48,461,078.51","123,264,149.00","174,925,310.04","198,190,036.67"
减:营业成本,"758,089,122.31","770,874,430.95","727,079,835.57","474,145,401.57","756,984,574.00","1,049,392,885.05","249,922,269.30","648,475,305.12","1,011,459,540.78","1,355,793,703.15","290,886,253.53","650,208,334.32","1,037,016,136.48","1,440,620,229.67","324,116,273.13","778,086,555.23","1,185,060,596.90","1,662,086,181.14","408,962,701.11","920,237,049.77","1,423,179,420.33","1,919,567,501.60","408,236,463.86","884,109,190.32","1,354,365,533.36","1,832,355,032.66","461,151,496.54","1,021,189,237.68","1,612,170,814.06","2,266,776,502.10","646,487,592.93","1,379,071,319.57","2,167,852,602.21","3,053,771,201.31"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,646,089.73","4,269,387.82","3,339,564.02","828,773.79","2,137,494.98","3,419,459.26","315,211.66","700,727.42","1,057,916.19","1,540,369.42","358,334.90","792,659.54","1,200,115.76","1,710,622.02","431,415.93","1,013,814.86","2,485,931.46","4,609,719.54","395,703.06","8,637,361.27","13,724,482.31","14,831,893.61","600,673.77","2,760,837.13","4,787,565.47","5,745,643.09","2,315,916.99","6,176,404.30","9,792,003.74","20,268,351.02","3,900,127.73","8,052,892.47","12,005,175.78","21,484,714.08"
营业外收入,"1,241,080.50","1,862,009.42","4,673,739.73","2,283,986.36","2,450,650.86","8,925,984.20","785,000.00","970,000.02","1,807,612.77","2,742,612.78","285,020.01","566,386.48","3,846,457.05","5,337,705.34","285,000.01","1,239,400.02","1,556,046.25","2,728,323.70","1,814,645.65","2,042,254.48","2,643,378.14","3,559,160.60","280,934.69","484,523.12","5,560,139.45","7,303,000.75","3,022,466.68","4,213,829.99","9,236,080.19","9,501,575.15","1,105,640.20","1,880,787.36","2,609,375.03","434,340.92"
销售费用,"25,512,734.74","34,543,142.77","40,185,288.35","17,947,022.73","28,422,330.54","43,409,726.73","9,388,842.99","20,435,374.95","32,610,891.90","50,277,889.20","10,831,470.97","22,246,197.72","35,783,523.22","50,794,612.28","14,729,741.35","39,774,967.91","55,972,033.99","81,502,721.78","17,919,343.43","41,694,314.89","56,143,043.05","85,058,391.13","16,498,944.87","33,748,309.34","51,504,975.34","67,907,961.81","16,775,272.59","39,561,574.73","61,001,629.27","88,556,692.04","23,101,928.32","44,796,637.01","67,322,815.00","91,003,825.48"
减:营业外支出,"500,691.05","478,544.87","748,788.42","1,673,889.71","2,075,109.50","3,993,055.71","9,274.50","617,655.12","809,868.29","842,451.54","3,019,420.41","4,019,478.29","4,119,493.86","4,548,082.51",51.29,"258,020.77","1,366,105.65","2,593,968.15","555,003.76","1,501,568.13","1,654,182.38","6,633,228.59","835,500.00","1,435,213.22","3,402,335.42","4,568,198.33","239,462.78","652,779.01","27,092,054.90","28,862,099.54","869,381.24","5,011,802.86","7,006,644.58","7,371,691.54"
管理费用,"19,977,067.65","53,604,448.58","58,674,857.76","35,656,884.85","53,863,719.63","83,498,245.80","17,921,438.83","42,243,175.99","64,145,121.75","91,504,152.19","20,593,730.25","48,810,988.06","73,787,633.64","101,387,151.46","23,196,704.83","55,047,819.65","83,501,703.83","120,158,074.38","30,849,887.72","71,222,088.93","105,875,124.69","149,194,979.98","28,741,233.19","66,778,437.69","103,395,243.86","136,886,844.52","42,255,318.93","83,716,021.79","126,108,194.05","154,644,066.00","51,525,315.03","100,320,065.61","152,141,985.15","206,563,138.02"
其中:非流动资产处置净损失,"38,893.74",,"624,648.38","556,442.92","556,442.92","2,367,810.89","9,274.50","371,968.17","371,968.17","466,276.30","3,019,420.41","3,019,420.41","3,019,420.41","3,032,009.06",,"237,969.48","753,794.14","1,528,723.20","523,899.04","1,470,263.41","1,538,061.58","1,777,642.81","35,000.00","537,123.67","1,865,236.16","2,921,312.46","3,462.78","406,779.01","27,122,740.01","28,325,110.21","523,381.24","4,357,632.77","5,055,446.26",
