科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"682,493,915.39","861,126,951.37","456,574,298.02","652,835,381.81","939,564,139.33","335,667,280.00","611,399,158.75","872,405,515.05","1,164,436,729.02","342,134,385.59","662,037,002.28","978,928,657.94","1,427,096,604.01","393,813,063.47","791,796,038.53","1,125,952,094.37","1,700,299,305.74","515,631,374.49","997,928,323.75","1,430,368,874.10","2,123,924,040.68","509,450,355.51","972,294,703.27","1,409,613,078.55","2,052,792,041.11","433,969,196.16","936,818,227.22","1,360,627,920.09","1,993,853,768.94","420,323,377.38","829,575,710.14","1,280,542,399.33","1,696,967,530.08","403,078,820.13","793,958,044.84","1,218,062,410.37","1,716,718,257.94","431,858,648.11","879,820,712.53","1,347,518,612.20","1,736,018,281.91","455,472,252.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"175,804,092.50",,,,,,,,,,,,,,,,,"353,000,000.00","362,947,579.82","362,947,579.82","338,407,034.08",,,,"40,440,000.00",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,"1,919,587.53",,,,"2,521,428.40",,,,"1,748,707.24",,,,"1,752,984.79","128,986.04","60,692.32","60,692.32","196,962.07",,"1,990.00","468,032.78","524,256.51","787,905.98"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,450,000.00",
收到其他与经营活动有关的现金,"657,590.90","2,500,400.21","2,167,552.47","2,752,147.29","5,582,589.04","4,278,531.52","5,699,988.85","7,196,521.90","9,884,300.90","2,511,943.64","4,115,374.84","5,780,210.19","9,169,011.57","1,891,001.47","3,324,282.53","5,951,861.73","11,723,316.07","2,675,545.68","7,706,305.98","9,210,667.41","13,805,535.17","2,279,232.10","3,004,195.29","4,030,495.34","17,506,384.44","972,079.97","7,236,697.28","8,272,286.06","37,616,094.53","1,911,401.44","3,112,556.41","3,237,722.21","8,435,046.51","3,624,087.62","8,147,301.41","7,496,832.30","18,434,595.28","10,488,089.82","12,596,725.46","13,254,120.14","7,043,951.76","23,200,089.63"
投资活动现金流出小计,"16,265,106.74","13,105,715.37","3,029,609.45","6,451,256.50","44,588,486.37","36,632,149.30","117,672,954.63","127,617,033.90","133,257,918.65","7,347,531.15","11,783,087.56","16,482,660.49","18,756,543.75","4,060,902.72","18,044,921.08","33,881,639.21","231,713,095.79","15,765,592.46","42,808,773.79","60,041,870.75","73,716,545.74","16,671,797.97","42,983,944.31","52,752,397.60","127,746,742.16","13,914,755.32","22,607,152.02","103,696,699.07","109,082,143.02","19,724,858.45","33,249,319.03","40,694,862.07","67,366,879.09","397,021,512.30","408,127,401.63","461,966,933.21","441,502,943.79","61,693,422.10","74,011,910.14","87,429,432.81","111,089,125.45","11,118,105.88"
经营活动现金流入小计,"683,151,506.29","863,627,351.58","458,741,850.49","655,587,529.10","945,146,728.37","339,945,811.52","617,099,147.60","879,602,036.95","1,174,321,029.92","344,646,329.23","666,152,377.12","984,708,868.13","1,436,265,615.58","395,704,064.94","795,120,321.06","1,131,903,956.10","1,712,022,621.81","518,306,920.17","1,005,634,629.73","1,439,579,541.51","2,139,649,163.38","511,729,587.61","975,298,898.56","1,413,643,573.89","2,072,819,853.95","434,941,276.13","944,054,924.50","1,368,900,206.15","2,033,218,570.71","422,234,778.82","832,688,266.55","1,283,780,121.54","1,707,155,561.38","406,831,893.79","802,166,038.57","1,225,619,934.99","1,735,349,815.29","442,346,737.93","892,419,427.99","1,361,240,765.12","1,743,586,490.18","479,460,248.53"
投资活动产生的现金流量净额,"-16,262,806.74","-12,605,976.35","-3,029,609.45","-6,451,256.50","-44,588,486.37","-36,632,149.30","-117,672,954.63","-127,617,033.90","-133,244,918.65","-7,347,531.15","-11,783,087.56","-16,482,660.49","-18,690,543.75","-4,060,902.72","-18,044,921.08","-33,881,639.21","-229,729,051.15","-15,765,592.46","-42,808,773.79","-60,041,870.75","-73,394,832.05","-16,671,797.97","-42,983,944.31","-52,752,397.60","-126,880,335.50","-13,914,755.32","-22,607,152.02","-103,696,699.07","-109,081,189.25","-19,724,858.45","-33,249,319.03","-40,694,862.07","-19,196,643.10","-397,020,077.23","-407,770,546.63","-420,110,078.21","-430,639,163.65","-58,929,498.60","-65,293,469.72","-72,998,622.57","-93,031,596.69","-11,003,363.97"
购买商品、接受劳务支付的现金,"457,380,344.98","580,709,755.42","348,172,854.38","459,933,517.27","655,068,692.49","298,470,846.14","554,179,175.13","727,815,539.77","881,736,167.35","172,355,939.75","322,405,282.72","643,356,639.37","947,468,614.12","216,158,362.39","465,501,376.34","733,736,488.24","1,117,933,402.63","300,503,063.61","566,205,168.38","839,216,057.16","1,294,127,870.42","225,858,778.10","450,318,133.30","712,438,714.95","1,153,961,975.92","255,657,234.00","499,766,409.50","735,314,578.33","1,144,919,485.18","178,717,069.76","405,200,438.56","659,665,477.08","797,953,766.21","173,244,457.45","388,074,854.47","617,550,848.17","717,403,524.15","185,741,490.99","335,120,284.46","713,820,256.72","725,055,184.03","203,299,726.69"
吸收投资收到的现金,"60,042,661.32","50,000.00",,"940,110,000.00","940,110,000.00",,,,,,,,"7,000,000.00",,,,,,,,,,,,,,"210,133,597.10","210,133,597.10","210,133,597.10",,,,,,,,"450,000.00",,,,,"107,338,892.74"
