科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
财务费用,"23,837,038.18","25,621,395.99","22,682,172.71",,"10,556,929.10","16,149,183.97","20,828,176.12","3,310,924.29","5,708,637.20","8,214,390.23","10,418,932.73","2,684,233.10","4,423,855.18","7,076,630.59","7,729,468.17","3,118,376.74","8,074,077.28","13,664,310.82","20,305,533.07","9,266,683.13","8,611,568.12","12,877,019.99","18,681,236.69","5,922,239.77"
三、利润总额,"145,788,593.91","151,784,668.05","136,647,992.74","28,814,405.21","85,993,433.79","129,291,877.92","167,515,467.49","41,912,079.37","116,065,644.52","178,120,874.04","229,593,367.05","63,852,932.50","150,888,942.84","213,964,226.69","299,322,699.12","49,116,855.62","136,803,612.41","209,295,882.72","333,454,247.63","118,514,367.75","-605,569,124.26","-510,457,805.74","-3,149,228,586.50","76,176,045.08"
资产减值损失,"7,695,158.65","2,198,030.82","3,286,792.21",,"-124,317.75","831,464.32","167,488.95","-77,734.03","2,441,323.90","3,896,246.23","4,368,522.95","827,268.89","3,912,213.03","3,672,800.82","8,220,883.35","761,621.72","3,875,965.25","5,901,441.08","9,083,936.37","1,445,016.83","372,836,311.91","401,986,470.24","2,984,300,040.27","92,021.47"
减:所得税,"15,670,185.22","21,002,523.41","20,048,617.16",,"12,544,675.97","19,712,745.59","24,218,436.41","6,381,469.27","18,914,858.15","30,749,857.80","34,687,703.35","11,049,264.30","21,484,735.52","31,991,365.42","43,759,605.48","7,875,947.87","21,512,063.47","31,723,205.28","44,903,851.43","19,515,888.13","46,146,330.43","60,165,386.05","40,156,372.94","15,344,058.31"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,-0.01,,,,,,,,,,,,,,,,,,,
投资收益,"-331,319.29",,,,,"114,583.33",,"3,074,677.78","6,799,374.86","9,846,641.37","12,202,063.89","2,311,175.15","3,605,275.93","5,603,590.23","5,704,977.63","786,999.99","2,116,426.92","2,954,154.10","3,365,804.42","1,880,040.18","2,172,289.22","2,602,215.42","2,894,422.81",
四、净利润,"130,118,408.69","130,782,144.64","116,599,375.58","23,411,732.14","73,448,757.81","109,579,132.33","143,297,031.08","35,530,610.10","97,150,786.37","147,371,016.24","194,905,663.70","52,803,668.20","129,404,207.32","181,972,861.27","255,563,093.64","41,240,907.75","115,291,548.94","177,572,677.44","288,550,396.20","98,998,479.62","-651,715,454.69","-570,623,191.79","-3,189,384,959.44","60,831,986.77"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"123,696,409.42","124,432,657.67","116,990,823.31","25,903,261.49","73,323,214.77","107,617,787.34","140,963,932.53","35,782,828.36","93,233,365.72","140,630,553.03","183,825,660.72","49,655,863.68","120,918,272.16","173,204,776.51","239,940,803.67","42,178,613.82","115,028,379.21","175,772,662.48","280,897,185.77","99,344,245.90","-607,891,933.21","-532,164,067.37","-3,150,697,948.70","61,162,076.01"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"6,421,999.27","6,349,486.97","-391,447.73",,"125,543.04","1,961,344.99","2,333,098.55","-252,218.26","3,917,420.65","6,740,463.21","11,080,002.98","3,147,804.52","8,485,935.16","8,768,084.76","15,622,289.97","-937,706.07","263,169.73","1,800,014.96","7,653,210.43","-345,766.28","-43,823,521.48","-38,459,124.42","-38,687,010.74","-330,089.24"
