科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"15,381,000,000.00","53,436,000,000.00","60,006,000,000.00","57,255,000,000.00","60,856,000,000.00","59,491,000,000.00","72,290,000,000.00","63,881,000,000.00","69,343,000,000.00","73,467,000,000.00","77,074,000,000.00","88,654,000,000.00","86,214,000,000.00","75,366,000,000.00","72,478,000,000.00","84,500,000,000.00","86,902,000,000.00","69,060,000,000.00","73,506,000,000.00","58,211,000,000.00","68,567,000,000.00","61,681,000,000.00","66,233,000,000.00","49,818,000,000.00","52,846,000,000.00","46,272,000,000.00","53,035,000,000.00","72,311,000,000.00","71,359,000,000.00","43,502,000,000.00","54,890,000,000.00","61,012,000,000.00","55,223,000,000.00","47,850,000,000.00","58,370,000,000.00","73,914,000,000.00","82,213,000,000.00","50,757,000,000.00","89,900,000,000.00","96,795,000,000.00","71,530,000,000.00"
短期借款,"10,168,000,000.00","4,903,000,000.00","6,319,000,000.00","10,155,000,000.00","12,293,000,000.00","13,119,000,000.00","14,461,000,000.00","14,539,000,000.00","15,711,000,000.00","16,147,000,000.00","14,209,000,000.00","15,923,000,000.00","15,243,000,000.00","8,201,000,000.00","4,133,000,000.00","3,120,000,000.00","4,498,000,000.00","5,011,000,000.00","4,413,000,000.00","3,561,000,000.00","12,993,000,000.00","21,844,000,000.00","21,952,000,000.00","15,158,000,000.00","24,245,000,000.00","28,155,000,000.00","25,785,000,000.00","36,955,000,000.00","23,180,000,000.00","12,246,000,000.00","9,965,000,000.00","5,220,000,000.00","3,016,000,000.00","6,435,000,000.00","5,791,000,000.00","6,336,000,000.00","5,417,000,000.00","4,384,000,000.00","4,396,000,000.00","4,399,000,000.00","6,655,000,000.00"
交易性金融资产,,"37,000,000.00","156,000,000.00","87,000,000.00","100,000,000.00","509,000,000.00","326,000,000.00","279,000,000.00","417,000,000.00","331,000,000.00","356,000,000.00","413,000,000.00","541,000,000.00","480,000,000.00","424,000,000.00","914,000,000.00","972,000,000.00","933,000,000.00","799,000,000.00","798,000,000.00","812,000,000.00","719,000,000.00","637,000,000.00","549,000,000.00","549,000,000.00","495,000,000.00","507,000,000.00","494,000,000.00","428,000,000.00","442,000,000.00","39,000,000.00","28,000,000.00","26,000,000.00","12,000,000.00","15,000,000.00","5,000,000.00",,"54,000,000.00","51,000,000.00","51,000,000.00","52,000,000.00"
交易性金融负债,"800,000,000.00","1,453,000,000.00",,"1,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"515,000,000.00","756,000,000.00","474,000,000.00","495,000,000.00","482,000,000.00","711,000,000.00","440,000,000.00","347,000,000.00","480,000,000.00","1,210,000,000.00","846,000,000.00","1,120,000,000.00","1,325,000,000.00","2,054,000,000.00","1,542,000,000.00","1,520,000,000.00","1,374,000,000.00","973,000,000.00","776,000,000.00","865,000,000.00","735,000,000.00","908,000,000.00","589,000,000.00","1,336,000,000.00","5,987,000,000.00","5,178,000,000.00","7,628,000,000.00","8,821,000,000.00","7,845,000,000.00","6,168,000,000.00","5,730,000,000.00","9,873,000,000.00","17,395,000,000.00","17,649,000,000.00","10,885,000,000.00","4,229,000,000.00","4,272,000,000.00","4,394,000,000.00","5,235,000,000.00","7,077,000,000.00","6,359,000,000.00"
应付票据,"114,000,000.00","169,000,000.00","369,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","239,000,000.00","490,000,000.00","490,000,000.00","226,000,000.00",,"2,000,000.00",,,,,"64,000,000.00","671,000,000.00","411,000,000.00","299,000,000.00","523,000,000.00","633,000,000.00","864,000,000.00","784,000,000.00","1,401,000,000.00","998,000,000.00","2,354,000,000.00","4,814,000,000.00","4,387,000,000.00","4,021,000,000.00","2,783,000,000.00","2,655,000,000.00","2,473,000,000.00","2,226,000,000.00","1,757,000,000.00","2,287,000,000.00","3,174,000,000.00","3,249,000,000.00","2,434,000,000.00","2,110,000,000.00"
应收账款,"5,497,000,000.00","5,886,000,000.00","6,383,000,000.00","6,464,000,000.00","7,199,000,000.00","7,525,000,000.00","6,131,000,000.00","6,317,000,000.00","7,514,000,000.00","7,571,000,000.00","8,396,000,000.00","8,565,000,000.00","9,358,000,000.00","8,591,000,000.00","12,044,000,000.00","11,583,000,000.00","11,978,000,000.00","12,392,000,000.00","16,523,000,000.00","17,504,000,000.00","15,944,000,000.00","19,120,000,000.00","20,737,000,000.00","25,282,000,000.00","22,821,000,000.00","22,043,000,000.00","27,271,000,000.00","25,954,000,000.00","23,990,000,000.00","23,746,000,000.00","23,090,000,000.00","24,994,000,000.00","23,339,000,000.00","23,370,000,000.00","25,703,000,000.00","22,341,000,000.00","18,253,000,000.00","16,179,000,000.00","16,751,000,000.00","16,309,000,000.00","14,553,000,000.00"
应付账款,"8,505,000,000.00","8,905,000,000.00","7,983,000,000.00","8,932,000,000.00","8,758,000,000.00","9,641,000,000.00","10,101,000,000.00","12,575,000,000.00","12,639,000,000.00","13,400,000,000.00","14,379,000,000.00","13,990,000,000.00","14,270,000,000.00","18,264,000,000.00","19,935,000,000.00","19,597,000,000.00","20,169,000,000.00","23,604,000,000.00","23,290,000,000.00","27,719,000,000.00","26,883,000,000.00","30,549,000,000.00","30,381,000,000.00","29,455,000,000.00","30,909,000,000.00","36,399,000,000.00","32,921,000,000.00","35,851,000,000.00","36,878,000,000.00","33,899,000,000.00","27,846,000,000.00","30,880,000,000.00","28,184,000,000.00","31,517,000,000.00","29,181,000,000.00","30,338,000,000.00","28,885,000,000.00","31,982,000,000.00","29,950,000,000.00","29,517,000,000.00","30,072,000,000.00"
预付款项,"1,951,000,000.00","2,682,000,000.00","3,492,000,000.00","735,000,000.00","783,000,000.00","687,000,000.00","632,000,000.00","731,000,000.00","825,000,000.00","1,122,000,000.00","1,289,000,000.00","1,211,000,000.00","1,213,000,000.00","1,086,000,000.00","1,929,000,000.00","2,349,000,000.00","2,660,000,000.00","2,256,000,000.00","2,377,000,000.00","3,835,000,000.00","3,839,000,000.00","3,024,000,000.00","4,931,000,000.00","3,038,000,000.00","5,959,000,000.00","4,494,000,000.00","6,200,000,000.00","6,338,000,000.00","8,208,000,000.00","5,910,000,000.00","4,958,000,000.00","5,380,000,000.00","4,905,000,000.00","3,613,000,000.00","3,215,000,000.00","2,954,000,000.00","4,534,000,000.00","3,141,000,000.00","3,385,000,000.00","3,406,000,000.00","3,527,000,000.00"
预收款项,"1,059,000,000.00","1,228,000,000.00","1,758,000,000.00","1,701,000,000.00","2,540,000,000.00","2,033,000,000.00","4,168,000,000.00","2,672,000,000.00","3,701,000,000.00","2,579,000,000.00","2,824,000,000.00","2,961,000,000.00","4,365,000,000.00","3,518,000,000.00","4,140,000,000.00","4,288,000,000.00","6,407,000,000.00","4,859,000,000.00","4,743,000,000.00","4,836,000,000.00","6,872,000,000.00","4,569,000,000.00","7,719,000,000.00","5,123,000,000.00","10,386,000,000.00","4,601,000,000.00","5,427,000,000.00","5,358,000,000.00","7,137,000,000.00","4,386,000,000.00","4,884,000,000.00","4,893,000,000.00","5,184,000,000.00","3,624,000,000.00","2,961,000,000.00","2,857,000,000.00","4,464,000,000.00","4,196,000,000.00","5,421,000,000.00","6,119,000,000.00","7,875,000,000.00"
