科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"2,486,751.58","97,025,462.12","58,279,403.72","838,222,938.18","739,802,935.54","723,484,784.97","637,815,454.02","580,142,100.00","533,138,626.52","517,945,145.03","437,486,554.05","379,487,974.23","457,842,117.33","430,650,190.90","356,692,862.88","315,934,547.81","290,543,201.73","270,329,715.85","321,605,375.28","302,537,519.26","441,451,782.04","397,307,072.38","388,368,087.74","414,641,939.90","793,274,986.20","559,903,285.51","505,186,248.25","562,973,114.92","703,794,962.48","707,466,596.15","3,876,717,561.29","1,249,260,872.63","1,025,457,597.95","1,161,121,735.03","1,148,748,820.73","757,218,077.52","1,340,731,269.34","1,103,220,529.31","762,780,698.22","1,130,837,163.80"
短期借款,,,,,,,,,"27,000,000.00","147,000,000.00","207,000,000.00","227,000,000.00","317,000,000.00","317,000,000.00","317,000,000.00","408,284,020.00","456,828,880.00","487,495,200.00","591,994,580.00","602,447,220.00","552,686,240.00","730,882,000.00","718,871,200.00","724,982,560.00","794,645,280.00","771,884,240.00","787,000,432.00","846,850,744.00","829,054,920.00","825,420,730.00","669,305,710.00","652,123,619.00","609,000,000.00","622,000,000.00","722,000,000.00","819,104,029.12","1,007,500,000.00","907,650,000.00","1,057,500,000.00","692,700,100.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"1,598,710.00","5,952,706.11","4,446,571.05","4,695,600.00","4,874,371.92","5,408,261.01","24,036,169.59","17,240,567.84","26,707,229.46","24,114,043.08","8,240,856.35","12,394,048.10","19,129,603.07","28,382,195.00","22,554,892.35","40,940,682.13","17,681,342.23","63,320,632.16","16,650,739.20","75,745,573.60","73,990,783.96","36,075,742.59","31,777,962.00","31,801,487.80","24,735,721.60","96,788,583.15","7,486,450.00","49,639,691.92","17,623,814.67","75,796,335.83","28,451,208.11","38,942,176.94","74,362,846.98","105,254,615.24","119,266,832.41","115,646,981.71","115,871,720.30","44,405,411.24","3,276,879.82"
应付票据,,,"10,036,000.00","10,036,000.00","38,075,986.50","72,300,429.50","51,688,580.92","43,544,265.92","47,137,050.00","29,587,378.80","33,601,822.30","48,821,365.50","49,101,770.00","84,852,055.00","87,064,085.00","81,884,300.00","104,144,400.00","70,648,400.00","124,703,600.00","150,498,600.00","425,084,500.00","230,467,242.00","222,457,742.00","241,041,500.00","245,558,516.00","292,969,436.00","295,515,720.00","340,343,342.10","311,283,642.10","105,755,100.00","61,901,500.00","142,008,615.35","242,204,615.35","316,861,000.00","303,169,774.79","158,504,784.79","205,468,084.79",,"556,785,011.00",
应收账款,"8,009,020.43","9,035,008.21","8,590,432.47","8,867,392.89","10,265,192.18","12,477,709.83","8,395,723.30","10,733,453.53","17,828,229.56","12,468,927.67","8,839,094.15","13,246,798.85","38,080,409.76","106,486,825.32","143,804,355.90","221,631,723.67","252,646,128.24","249,011,615.69","237,564,245.48","313,187,454.19","325,636,397.12","301,234,680.90","292,513,895.84","337,844,385.82","353,033,594.16","380,000,734.34","306,097,241.71","352,070,050.23","406,343,424.25","451,378,839.33","422,111,340.95","549,610,914.85","565,686,818.37","638,551,524.66","750,356,292.61","840,371,184.69","830,308,612.79","931,776,634.85","786,620,966.73","824,386,348.01"
应付账款,"41,781,064.64","9,498,834.78","7,657,178.95","14,963,340.14","20,584,671.64","16,967,142.95","11,740,229.04","9,689,251.80","10,541,585.33","11,153,482.69","22,053,952.00","29,989,974.94","41,503,937.90","35,516,584.29","35,413,629.65","29,037,665.62","28,309,469.52","29,065,919.66","45,150,370.91","86,440,130.35","64,330,010.45","75,806,115.76","71,353,350.27","98,030,373.96","74,943,503.06","93,035,778.08","75,048,566.91","73,771,051.25","63,810,403.92","96,910,367.86","72,523,462.02","97,646,547.83","102,565,881.44","103,362,208.09","79,732,166.12","154,424,346.68","142,697,202.77",,"193,025,028.47",
预付款项,"5,951,278.38","10,514,121.26","4,418,141.80","2,814,700.21","4,370,330.70","12,403,912.61","21,360,773.59","23,062,378.40","17,445,083.98","32,364,231.86","42,521,043.06","35,761,645.08","15,904,951.88","45,465,457.05","39,168,114.13","68,689,928.66","18,310,398.62","30,969,424.08","60,360,942.99","93,529,290.87","97,053,930.21","58,755,903.03","49,972,499.14","40,519,803.43","37,614,809.76","47,201,496.35","40,992,885.88","34,789,815.84","64,218,419.50","57,366,835.99","94,785,712.16","127,091,795.16","154,715,195.16","121,728,513.60","77,029,063.37","258,678,081.05","200,867,884.65","533,708,136.78","417,324,827.78","215,612,513.17"
预收款项,"4,519,616.79","5,787,758.38","4,274,090.66","9,614,440.62","8,372,158.73","5,569,864.26","4,986,706.31","6,012,391.78","4,607,242.98","6,119,732.24","5,614,914.18","5,633,461.81","4,366,897.95","4,371,393.81","6,943,049.47","7,424,535.75","8,645,455.42","6,930,694.37","5,787,374.38","4,442,995.89","5,989,603.68","6,652,613.06","22,367,487.65","15,402,462.63","18,577,337.36","20,230,807.46","17,379,141.80","14,889,423.28","75,055,486.32","75,776,501.54","60,503,778.52","17,797,195.32","21,568,780.06","23,288,634.34","20,103,145.79","38,175,764.04","19,816,709.23","24,708,201.44","47,536,603.96","54,243,018.16"
