科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"7,114,202.68","129,615,795.37","54,124,243.66","137,326,187.57","35,198,168.48","39,224,257.31","173,161,365.82","16,490,386.79","30,515,915.39","67,145,615.60","166,556,430.15","13,769,145.58","48,244,166.26","72,760,968.59","201,065,767.96","38,785,004.99","70,365,994.08","137,719,163.44","311,510,633.12","33,937,692.32","74,263,433.62","137,273,084.78","503,163,789.40","39,619,946.61","81,813,207.01","130,881,975.94","482,805,015.71","55,514,772.71","107,102,313.64","148,554,244.01","211,119,926.93","48,690,034.77","82,028,472.05","163,476,060.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"36,282,442.79","34,912,586.17","3,309,765.75","7,179,778.37","668,135.02","893,197.90","8,500,610.56","1,031,517.86","3,487,261.28","7,193,173.41","13,528,421.00","8,511,728.44","13,770,669.26","17,600,685.77","29,993,336.64","865,347.76","4,521,688.35","8,027,100.29","16,461,434.76","1,129,865.68","11,226,773.35","14,761,999.82","30,713,905.10","1,411,870.07","7,267,175.60","13,439,730.40","19,952,605.03","6,826,671.77","11,155,521.54","11,973,431.09","21,307,473.93","7,167,095.99","12,412,970.64","12,143,837.80"
投资活动现金流出小计,"1,355,604.60","87,840,285.10","3,951,491.04","11,773,132.96","6,976,783.69","11,607,363.88","24,481,903.74","11,137,805.53","24,803,555.59","28,680,933.29","55,606,733.15","80,075,624.70","115,853,107.11","135,552,721.46","148,811,624.75","11,726,406.97","17,525,695.53","26,065,246.96","48,487,896.41","24,184,013.93","28,277,380.23","33,552,094.52","63,787,019.95","415,638,891.51","656,629,006.72","666,774,618.91","730,766,429.69","425,083,453.07","580,707,796.75","668,398,957.76","748,783,421.98","94,691,130.85","129,320,697.79","131,512,071.63"
经营活动现金流入小计,"43,396,645.47","164,528,381.54","57,434,009.41","144,505,965.94","35,866,303.50","40,117,455.21","181,661,976.38","17,521,904.65","34,003,176.67","74,338,789.01","180,084,851.15","22,280,874.02","62,014,835.52","90,361,654.36","231,059,104.60","39,650,352.75","74,887,682.43","145,746,263.73","327,972,067.88","35,067,558.00","85,490,206.97","152,035,084.60","533,877,694.50","41,031,816.68","89,080,382.61","144,321,706.34","502,757,620.74","62,341,444.48","118,257,835.18","160,527,675.10","232,427,400.86","55,857,130.76","94,441,442.69","175,619,898.37"
投资活动产生的现金流量净额,"31,061,309.80","-86,569,785.10","-3,951,491.04","-11,767,252.96","-6,976,783.69","-11,607,043.88","-24,481,179.74","-11,137,805.53","-24,802,555.59","-28,679,448.29","-55,605,248.15","-80,075,624.70","-115,853,107.11","-135,552,321.46","-148,808,624.75","-11,722,406.97","-17,514,695.53","-26,054,246.96","-48,476,896.41","-24,184,013.93","-28,277,380.23","-33,552,094.52","22,850,880.05","-192,827,064.83","-200,410,138.79","-14,829,793.02","-78,813,028.24","-204,547,232.82","-149,125,611.45","-123,265,307.46","-115,713,472.68","-64,606,732.03","-38,821,526.09","-41,005,873.95"
购买商品、接受劳务支付的现金,"17,908,048.66","72,526,719.18","16,267,941.08","37,697,220.53","21,423,625.32","39,013,004.26","57,109,903.09","10,250,189.09","24,165,967.04","53,513,158.38","100,667,219.54","30,812,438.98","60,407,235.09","92,194,280.31","117,352,405.20","32,060,273.42","73,956,817.06","121,054,476.89","175,137,443.75","66,826,873.25","123,970,845.47","156,442,929.94","191,452,698.55","72,496,863.51","158,164,861.29","238,670,848.94","278,414,533.81","87,862,224.73","128,053,411.27","186,575,848.10","182,309,809.12","54,608,061.38","93,624,387.72","142,646,149.83"
吸收投资收到的现金,"27,000,000.00","45,600,000.00",,,,"519,148,462.32","521,158,462.32",,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"4,139,541.70","21,288,111.54","13,674,071.11","24,564,556.37","16,513,942.13","22,298,507.44","31,100,819.67","13,265,589.39","21,111,061.67","31,280,025.28","35,594,392.22","13,058,207.25","17,584,477.01","30,780,144.74","43,811,028.76","19,290,551.01","34,447,589.11","54,945,098.95","71,038,176.75","28,166,524.20","44,790,835.21","66,300,431.16","81,006,515.59","37,467,255.87","52,700,243.70","73,012,226.80","91,456,442.41","46,393,366.82","69,820,085.13","84,839,933.43","105,122,195.95","33,998,522.04","53,223,835.33","77,936,854.15"
取得借款收到的现金,,"23,000,000.00",,"23,000,000.00",,,,,,,,,"25,000,000.00","30,000,000.00","30,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,"50,000,000.00",,,,"50,000,000.00",,,"46,500,000.00"
支付的各项税费,"494,719.00","8,199,632.49","4,267,492.98","10,788,823.77","7,412,396.17","10,094,806.62","11,945,485.11","9,109,364.36","11,384,911.63","17,434,148.01","15,687,137.53","4,567,060.93","11,257,734.08","14,798,109.84","15,273,059.23","6,026,476.95","9,717,681.53","12,906,559.83","11,389,479.28","12,561,261.82","15,902,087.24","21,033,290.34","23,934,251.55","11,914,202.65","19,936,164.29","23,457,020.82","32,021,148.23","28,580,088.40","24,874,936.80","37,316,103.15","38,742,077.07","7,709,988.65","14,020,457.34","22,731,290.84"
收到其他与筹资活动有关的现金,,"12,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
