科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"142,000,939.01","183,488,510.07","287,217,822.31","106,168,929.23","131,330,200.32","181,076,713.66","86,954,678.78","148,623,748.91","139,975,999.49","202,759,650.10","312,886,218.04","365,532,202.01","494,014,043.71","575,463,643.12","704,459,451.04","926,203,379.93","972,955,774.17","868,389,862.50","1,400,151,611.99","869,560,537.26","859,830,576.70","938,279,875.79","1,045,982,061.53","1,036,081,456.94","1,007,694,343.43","818,312,989.09","848,002,327.25","787,189,492.34","971,758,870.58","991,473,802.40","966,232,314.78","954,519,997.22","902,663,159.73","1,013,810,458.94","1,069,689,370.31","826,737,186.93","776,187,356.29","792,220,223.17","828,997,652.48","3,209,671,201.40","1,374,055,344.05","735,319,535.69","710,364,246.49"
应付职工薪酬,"16,330,678.75","19,689,541.07","25,172,790.78","39,439,050.46","20,393,657.18","27,820,847.28","38,137,023.22","48,161,081.55","34,042,321.36","41,811,990.86","47,810,054.65","61,270,604.91","42,191,282.85","51,540,502.61","61,946,407.32","85,398,487.27","58,854,845.88","75,550,487.22","74,660,906.92","87,200,144.01","69,175,727.26","75,420,701.22","89,261,204.12","112,022,640.80","79,544,526.22","106,001,846.08","127,794,178.96","157,925,319.55","111,499,745.19","142,575,927.26","160,387,396.39","191,897,036.95","128,783,346.01","153,014,687.04","177,162,431.85","212,821,695.54","145,800,294.11","182,104,453.31","234,599,055.07","284,645,355.82","202,332,524.83","248,362,111.45","279,114,115.74"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"33,057,881.00","15,514,487.65","-11,381,899.19","139,625,253.22","133,802,216.10","93,465,269.04","97,948,139.27","133,336,005.24","115,435,948.41","66,675,669.54","62,215,343.09","88,585,368.03","57,610,816.72","18,975,741.41","40,076,475.49","246,078,878.78","136,712,696.16","141,505,389.09","50,770,779.60","378,648,978.35","373,645,154.92","135,282,993.90","80,774,635.45","308,525,508.75","166,832,828.20","122,499,146.69","147,593,503.17","614,312,835.36","570,072,860.20","443,593,172.53","460,915,310.23","563,587,488.92","468,288,547.62","311,159,090.17","289,259,920.44","365,657,847.67","297,796,883.11","325,506,603.32","267,650,864.17","337,191,488.16","288,973,283.72","262,580,695.15","225,718,465.31"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,"870,982.22",,,,,,,,,,,,,,,,,,"682,267.89",,,,,,,,,,,,"13,068,888.89","18,533,333.33","11,737,777.77","19,151,111.10","23,035,548.61","25,766,666.66","26,691,333.32","19,459,999.97"
应收股利,,,,,,"506,000.00",,"506,000.00","506,000.00","506,000.00","50,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,"39,932,099.63","39,648,902.42","51,562,775.10","10,446,751.50","25,648,817.08","25,648,817.08","26,401,626.37","26,794,211.24","26,441,231.58","26,441,231.58","43,162,284.48","43,162,284.48","26,441,231.58","26,441,231.58","29,785,594.58","29,785,594.58","40,646,637.44","40,646,637.44","15,777,650.17","29,225,246.32","15,332,671.05","15,332,671.05","26,105,496.07","24,815,296.84","14,426,291.82","14,426,291.82","47,868,397.82","18,974,194.05","11,343,009.52","11,343,009.52","28,064,062.52","11,343,009.52","41,221,909.56","41,221,909.56","41,221,909.56","41,343,248.75"
存货,"1,447,228,160.72","1,571,661,649.58","1,843,354,247.48","2,262,571,183.53","2,443,253,286.63","2,615,342,335.31","3,515,617,207.53","3,023,240,509.99","3,185,452,558.58","3,414,386,535.06","3,505,282,242.01","3,439,813,960.83","4,302,609,844.85","4,637,638,891.78","4,380,233,619.83","3,654,759,278.22","3,810,717,548.01","4,471,365,669.03","5,082,221,031.24","5,268,565,722.76","5,696,930,971.93","6,461,788,898.07","6,316,000,101.40","6,475,909,016.99","6,948,044,165.70","8,632,292,226.59","9,292,833,657.27","8,990,395,823.67","10,824,543,000.62","11,432,531,824.07","12,231,649,865.51","11,061,267,634.65","11,596,301,209.23","12,786,675,515.93","12,875,307,047.50","10,620,388,448.96","11,135,336,774.15","11,267,903,305.53","11,457,720,783.51","6,368,496,022.80","6,408,940,673.51","6,193,312,618.18","6,179,024,242.43"
其他应付款,"91,401,267.44","119,719,000.43","317,588,905.81","363,865,862.97","462,759,507.49","925,390,004.70","1,315,962,530.38","1,078,162,731.54","1,075,910,534.36","1,395,276,441.54","1,300,012,332.60","1,244,803,231.36","1,253,844,299.26","1,088,053,231.29","712,221,238.23","517,038,532.27","585,318,030.57","878,641,997.03","1,357,058,294.30","1,452,395,630.07","1,685,041,534.50","2,352,058,428.71","2,173,429,842.95","2,153,182,248.57","2,483,756,232.86","2,439,023,566.30","2,645,129,524.49","2,401,503,458.32","1,447,919,518.24","1,637,247,262.15","1,898,916,494.24","2,059,901,401.26","1,904,224,172.61","1,951,997,453.90","1,667,238,480.66","1,629,470,070.35","1,927,850,381.53","2,025,741,148.37","2,065,895,540.49","2,028,745,318.55","1,621,660,074.90","1,269,854,966.17","956,625,441.08"
