科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"127,338,557.13","78,570,462.37","65,266,983.58","55,054,679.94","69,772,980.66","64,253,280.44","222,618,681.65","942,835,005.04","1,062,084,785.95","1,069,929,148.38","473,450,558.08","301,195,942.06","498,169,598.40","526,661,304.38","728,086,564.61","709,716,364.78","769,139,114.42","968,772,698.21","828,406,285.88"
短期借款,,,,,,,,,,,"232,153,155.20","148,858,028.05","146,135,919.80","147,442,032.50","112,369,155.42","113,681,594.68","113,133,355.06","112,198,092.03",
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,"7,069,357.71",,
应付票据,,,,,,,,,,,,,,,,,,,
应收账款,"60,506,349.24","63,820,660.46","70,953,904.50","63,350,562.58","88,951,871.65","64,817,574.30","77,894,610.38","80,580,661.25","113,393,974.30","104,026,573.82","151,758,162.61","118,293,939.23","213,553,925.72","154,367,078.42","221,049,114.30","294,899,473.19","337,723,407.40","270,984,673.03","241,525,070.84"
应付账款,"39,373,230.88","43,806,034.48","45,726,653.21","48,902,776.93","37,378,357.28","20,006,932.41","41,761,827.58","55,560,098.18","41,175,892.11","20,912,706.62","47,680,852.21","81,849,452.73","92,279,639.31","48,291,502.36","133,857,144.25","164,726,548.63","171,361,306.98","137,431,683.48","144,738,458.94"
预付款项,"1,658,119.91","6,506,258.84","5,697,187.83","6,704,963.91","5,320,394.72","11,265,643.07","25,465,417.34","23,096,568.52","4,583,579.90","7,689,429.76","17,599,249.72","12,053,611.69","10,865,038.16","6,982,204.39","19,081,074.42","15,448,907.87","14,993,566.20","23,929,212.42","38,978,766.52"
预收款项,"22,033,856.74","31,021,162.49","40,792,945.22","25,289,561.07","36,304,326.29","32,987,006.25","27,185,518.86","27,011,696.43","21,321,599.87","16,651,979.50","45,641,494.06","36,209,915.00","82,719,763.48","59,336,847.45","82,985,516.33","65,894,525.67","93,252,621.52","80,313,798.27","93,656,280.01"
其他应收款,"23,648,745.18","10,014,828.76","11,809,248.10","15,140,922.75","12,126,353.95","14,112,990.04","17,753,216.94","17,015,719.68","16,530,380.32","20,268,054.46","185,710,223.39","193,440,348.23","190,801,448.33","221,700,530.82","48,210,545.91","45,568,081.00","52,285,066.50","75,971,638.49","56,411,139.20"
应付职工薪酬,"12,981,935.78","21,602,053.40","23,862,996.31","23,047,295.05","26,797,781.30","25,803,852.00","22,377,214.39","23,956,581.70","29,401,019.31","27,679,541.95","23,864,607.23","32,025,782.45","43,657,274.32","55,743,366.32","40,369,676.37","50,224,446.02","67,282,381.59","69,878,732.29","49,427,966.88"
应收关联公司款,,,,,,,,,,,,,,,,,,,
