科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"268,523,342.99","364,959,635.54","420,371,077.43","238,725,900.49","353,342,297.97","508,546,699.25","91,728,234.29","182,127,918.66","266,406,800.47","397,993,268.28","72,290,579.11","279,613,477.92","548,710,221.76","818,338,817.76","253,685,505.13","476,342,445.55","727,056,313.56","1,002,467,579.35","215,990,759.23","423,638,371.16","673,465,148.94","966,825,079.14","397,162,503.63","796,212,282.26","1,206,713,139.99","1,733,800,354.92","411,242,616.79","840,320,466.87","1,302,668,585.97","1,954,137,306.43","597,432,530.99","1,272,854,476.16","1,901,749,165.73","2,729,004,073.20","742,417,090.26","1,507,831,062.58","2,640,880,085.74","3,933,128,350.17","1,003,500,597.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"33,411,878.75",,"412,125,307.57","413,014,213.63","403,248,075.07",,,,,,,,"506,141,995.91",,,"76,425,070.32","76,425,070.32",,,,"612,060,562.28",,,,,,,,"-5,118,056.42","17,267,903.43"
收到的税费返还,"6,740,803.34","533,044.56","3,276,819.78","4,850,618.85","8,233,535.37","9,908,416.65","3,925,345.08","8,079,564.34","8,079,598.70","11,062,561.13",,"5,027,765.17","5,127,077.50","8,265,559.89","3,197,605.37","3,436,034.89","7,862,761.99","10,315,840.81","2,160,516.59","4,663,110.23","7,187,329.09","9,063,178.06","2,523,021.02","3,632,334.07","7,732,196.75","9,691,558.34","1,448,162.70","4,689,831.93","8,126,682.24","14,347,110.70","4,093,078.42","8,194,078.46","12,976,437.32","14,435,081.29","9,352,950.32","12,279,396.05","15,754,347.24","24,009,544.76","1,000,990.07"
支付其他与投资活动有关的现金,,"3,000,000.00",,,,,,,,,,,,"13,394,882.20",,,"1,526.95","1,263,902.40","1,491,360.27","2,199,067.91","3,072,668.64","10,338,093.86","26,150,000.00","27,726,541.29","9,820,421.56","15,171,588.38","2,969,644.14","350,534.25","10,352,870.22","592,478.27",,,"15,000,000.00",,,,,,"3,000,000.00"
收到其他与经营活动有关的现金,"1,575,347.19","8,310,127.09","1,491,984.39","729,781.35","1,311,875.55","2,531,329.44","12,217,661.76","25,020,933.41","38,318,950.01","54,495,461.96","11,295,619.52","33,175,555.06","36,384,861.48","48,327,931.63","7,012,589.99","15,096,583.61","20,734,307.37","18,014,092.68","4,670,498.05","1,828,183.64","1,754,720.38","30,103,516.41","5,960,731.91","77,743,476.84","168,193,649.12","36,628,823.02","29,184,780.41","58,391,299.00","63,686,596.04","51,353,630.27","40,453,659.54","88,155,130.19","97,259,207.74","65,476,809.28","87,926,605.92","173,714,316.07","235,857,717.12","76,929,731.90","388,883,409.58"
投资活动现金流出小计,"10,783,446.15","18,071,412.29","54,127,648.44","11,469,053.97","11,799,379.97","15,116,445.45","3,372,510.29","5,254,026.75","40,363,641.34","45,772,848.36","2,151,389.35","417,035,355.52","419,546,059.63","426,988,374.71","5,929,416.59","681,802,734.14","713,574,069.59","2,619,579,469.84","1,254,472,921.03","2,523,445,918.96","3,462,881,558.24","6,076,972,260.28","763,717,425.24","1,231,017,869.90","1,870,632,552.12","1,971,547,800.75","187,142,830.20","222,633,647.02","1,637,602,803.02","2,809,548,881.03","760,072,264.95","988,421,337.12","1,861,203,581.37","2,498,904,009.81","1,197,296,498.78","1,704,107,966.34","2,763,420,318.65","3,252,579,865.53","972,215,716.60"
经营活动现金流入小计,"276,839,493.52","373,802,807.19","425,139,881.60","244,306,300.69","362,887,708.89","520,986,445.34","107,871,241.13","215,228,416.41","312,805,349.18","463,551,291.37","83,586,198.63","317,816,798.15","590,222,160.74","874,932,309.28","263,895,700.49","494,875,064.05","755,653,382.92","1,030,797,512.84","222,821,773.87","430,129,665.03","682,407,198.41","1,005,991,773.61","405,646,256.56","877,588,093.17","1,382,638,985.86","1,780,120,736.28","441,875,559.90","903,401,597.80","1,374,481,864.25","2,019,838,047.40","641,979,268.95","1,369,203,684.81","2,011,984,810.79","2,808,915,963.77","839,696,646.50","1,693,824,774.70","2,892,492,150.10","4,034,067,626.83","1,393,384,997.03"
投资活动产生的现金流量净额,"-7,602,696.75","-17,728,159.01","-54,069,459.30","-11,469,053.97","3,060,438.21","-965,919.42","-3,372,510.29","-5,254,026.75","-40,363,641.34","-45,772,848.36","-2,133,389.35","-417,017,355.52","-419,391,541.12","-426,822,367.87","-2,699,357.30","-676,913,020.18","-705,350,245.57","-817,477,107.32","157,217,887.96","-217,490,134.26","-222,868,886.20","-189,680,101.75","37,106,742.40","200,587,126.33","144,599,130.80","261,677,435.50","-51,237,497.43","-19,930,091.33","-743,939,895.98","-1,318,501,308.36","50,325,611.55","86,993,756.81","40,008,569.03","50,129,791.75","-5,122,582.17","35,722,194.94","-323,996,597.69","42,741,668.66","208,775,001.57"
购买商品、接受劳务支付的现金,"177,005,295.32","162,783,025.14","198,904,779.27","142,323,432.37","210,143,030.64","289,777,518.65","54,461,591.50","114,857,164.97","214,253,423.92","267,266,413.59","28,459,819.12","127,025,842.86","235,310,714.46","324,139,861.54","138,478,774.22","247,572,914.80","402,016,779.00","526,415,023.50","94,237,463.98","167,022,670.81","270,719,136.39","399,100,672.80","278,592,551.94","495,803,254.64","727,938,225.37","1,064,147,310.71","320,457,345.36","513,597,633.39","862,154,962.52","1,325,043,951.39","390,544,944.41","951,918,705.61","1,406,025,531.90","1,990,013,767.74","685,144,107.90","1,344,345,430.62","2,328,059,131.42","3,472,730,544.10","1,000,350,691.20"
吸收投资收到的现金,"1,306,816.10",,,,,"1,861,840,000.00",,,"12,640,320.00","12,640,320.00",,,,,,"-3,722,940.00","-3,722,940.00",,,,"25,349,311.85","29,628,823.00","3,314,872.00","6,532,027.00","7,887,277.00","7,887,277.00",,,"757,940,999.77","763,911,199.05","10,100,032.81","15,833,441.84","18,057,222.53","16,649,410.64",,"599,999,997.15","599,999,997.15","599,999,997.15",
支付给职工以及为职工支付的现金,"40,047,472.28","60,310,475.12","76,860,741.36","54,151,989.24","75,996,529.95","98,248,066.91","39,928,003.54","67,691,018.62","97,187,314.18","130,764,522.13","54,737,137.61","128,284,019.58","169,952,550.42","290,929,809.91","100,057,030.67","164,670,441.49","226,173,353.78","319,734,572.95","89,043,077.16","153,044,866.30","222,552,544.29","332,903,657.51","109,521,531.92","178,550,486.77","263,639,170.39","371,532,563.45","121,035,610.82","194,801,335.43","287,092,300.62","381,385,414.92","117,940,668.58","189,130,527.92","314,143,794.92","420,984,960.61","101,769,735.11","213,404,246.12","310,013,748.03","393,559,921.57","160,873,827.30"
