科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"6,878,737.64","18,341,545.67","29,395,110.86","35,695,383.21","1,718,249.82","3,338,119.42","7,110,135.33","8,373,421.03",,,,,,,,,,,,,,,,,,,,,,"7,849,017,227.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"585,610.81","1,088,365.59","1,490,799.14","2,177,822.77",,"223,332.15","223,332.15","223,332.15",,,,,,,,,,,,,,,,,,,,,,"1,416,821,045.51"
支付其他与投资活动有关的现金,,,,"2,128,623.57",,,,"30,318,103.78",,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,876,406.36","6,277,579.56","20,207,055.91","21,460,411.26","6,106,522.47","10,884,260.95","11,340,547.11","22,311,242.84","1,391,029.09","2,020,008.49","2,456,372.74","3,142,403.91","368,214.07","2,878,016.28","3,556,633.30","4,390,632.56","480,698.86","1,581,694.03","6,997,193.86","9,477,220.59",,"10,433.80","33,945.62","31,180,474.57","33,214.24","64,002.88","94,262.02","101,178.66","157,694.80","22,652,965.14"
投资活动现金流出小计,"2,051,700.00","2,068,650.00","2,199,460.00","2,460,181.57","2,500.00","8,350.00","8,350.00","30,326,453.78",,,,,,,,,,,,,,"22,960.00","22,960.00","22,960.00",,,,"30,000,000.00","64,000,000.00","3,416,783,462.29"
经营活动现金流入小计,"11,340,754.81","25,707,490.82","51,092,965.91","59,333,617.24","7,824,772.29","14,445,712.52","18,674,014.59","30,907,996.02","1,391,029.09","2,020,008.49","2,456,372.74","3,142,403.91","368,214.07","2,878,016.28","3,556,633.30","4,390,632.56","480,698.86","1,581,694.03","6,997,193.86","9,477,220.59",,"10,433.80","33,945.62","31,180,474.57","33,214.24","64,002.88","94,262.02","101,178.66","157,694.80","9,288,491,238.63"
投资活动产生的现金流量净额,"-2,051,700.00","-1,776,077.75","2,225,112.25","7,197,818.43","-2,500.00","2,241,650.00","2,241,650.00","-28,054,960.95",,,,"14,882,738.00",,,,,,,,,,"3,322,300.00","3,322,300.00","4,522,300.00",,,,"-28,540,000.00","-1,540,000.00","1,448,764,981.87"
购买商品、接受劳务支付的现金,"3,758,142.50","6,506,600.00","9,880,604.24","11,823,835.41","603,880.00","859,321.00","997,502.00","1,217,776.00",,,,,,,,,,,,,,,,,,,,,,"7,484,947,983.16"
吸收投资收到的现金,,,,"570,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"1,220,040,961.77"
支付给职工以及为职工支付的现金,"3,766,237.31","8,700,653.72","12,784,309.63","12,961,975.88","1,460,769.95","3,353,145.28","5,082,340.36","6,263,461.15","259,276.24","597,142.08","833,988.47","1,077,290.04","279,426.94","622,193.51","849,640.92","1,194,680.82","241,549.23","479,001.01","737,035.20","1,025,423.97","385,929.62","675,741.27","944,892.57","1,124,993.53","150,045.54","295,070.20","428,056.20","475,757.97","65,116.21","600,611,448.23"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,519,648,483.58"
支付的各项税费,"502,151.49","1,247,150.84","1,842,012.58","2,354,730.77","505,595.01","586,359.09","748,095.68","1,555,578.44",,"22,437.61","44,584.59","3,627.89","14,185.76","40,273.76","60,705.29","12,116.51",,,,,,,20.00,,,,,,"81,760.00","322,079,572.31"
收到其他与筹资活动有关的现金,230.31,"7,804.26","13,057.53","14,909.94",,,,,,,,,,,,,,,,,,,"31,116,566.91",,,,,,,
支付其他与经营活动有关的现金,"7,186,967.02","12,763,294.45","36,423,887.06","44,179,885.93","6,850,357.04","14,553,564.20","18,272,015.48","21,855,362.87","1,125,922.45","1,440,475.58","1,620,216.26","17,002,719.44","118,320.90","2,246,299.48","2,672,302.09","3,169,410.95","272,671.60","1,129,805.10","2,202,173.01","2,960,290.21","1,329,823.21","4,985,463.27","7,330,101.33","7,992,874.68","521,847.72","1,058,127.56","1,150,664.40","1,172,894.02","82,189.90","501,682,774.90"
筹资活动现金流入小计,230.31,"7,804.26","13,057.53","584,909.94",,,,,,,,,,,,,,,,,,,"31,116,566.91",,,,,,,"8,739,689,445.35"
经营活动现金流出小计,"15,213,498.32","29,217,699.01","60,930,813.51","71,320,427.99","9,420,602.00","19,352,389.57","25,099,953.52","30,892,178.46","1,385,198.69","2,060,055.27","2,498,789.32","18,083,637.37","411,933.60","2,908,766.75","3,582,648.30","4,376,208.28","514,220.83","1,608,806.11","2,939,208.21","3,985,714.18","1,715,752.83","5,661,204.54","8,275,013.90","9,117,868.21","671,893.26","1,353,197.76","1,578,720.60","1,648,651.99","229,066.11","8,909,321,778.60"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,618,538,724.95"
经营活动产生的现金流量净额,"-3,872,743.51","-3,510,208.19","-9,837,847.60","-11,986,810.75","-1,595,829.71","-4,906,677.05","-6,425,938.93","15,817.56","5,830.40","-40,046.78","-42,416.58","-14,941,233.46","-43,719.53","-30,750.47","-26,015.00","14,424.28","-33,521.97","-27,112.08","4,057,985.65","5,491,506.41","-1,715,752.83","-5,650,770.74","-8,241,068.28","22,062,606.36","-638,679.02","-1,289,194.88","-1,484,458.58","-1,547,473.33","-71,371.31","379,169,460.03"
