科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"3,254,488,591.11","3,748,478,880.19","4,379,681,542.07","988,724,873.55","2,207,066,209.22","4,001,567,775.72","5,701,947,308.17","1,404,990,665.54","3,001,718,330.13","4,966,156,873.27","6,719,246,371.27","1,427,154,527.94","3,085,671,863.07","5,069,440,196.13","7,120,816,917.21","2,082,322,039.73","4,519,427,609.14","7,557,929,677.38","10,069,486,005.19","2,021,678,389.90","4,598,632,061.09","7,287,834,044.63","9,412,661,488.93","1,969,405,260.18","4,602,881,080.36","7,820,165,907.90","10,880,923,536.13","3,059,192,109.95","6,530,506,143.15","10,353,914,715.74","13,722,510,862.87","3,282,753,394.71","6,829,958,389.19"
二、营业利润,"60,140,301.80","82,765,167.38","96,055,210.85","16,923,520.57","35,470,957.69","94,344,071.52","145,671,323.39","36,336,496.05","75,637,722.67","139,001,779.90","208,153,418.27","28,140,531.79","48,222,975.52","93,814,138.11","105,812,250.27","27,930,937.60","48,933,114.67","133,349,038.00","187,741,272.02","24,794,506.28","58,774,028.47","128,942,849.93","185,407,042.10","42,688,138.46","116,872,217.44","210,564,046.02","291,070,471.51","71,505,026.83","190,305,756.46","311,065,172.92","459,052,601.68","73,207,866.66","150,025,997.06"
减:营业成本,"2,947,398,818.13","3,359,725,133.89","3,952,536,651.04","909,322,822.34","2,017,483,303.64","3,655,505,814.06","5,177,831,011.94","1,273,175,792.81","2,710,926,382.28","4,484,395,233.53","6,052,133,939.71","1,289,905,170.93","2,791,952,301.47","4,582,930,722.13","6,439,956,280.61","1,895,416,404.38","4,129,679,457.36","6,883,665,723.94","9,151,179,187.48","1,849,308,558.60","4,201,130,793.84","6,630,842,046.07","8,502,911,023.84","1,771,049,087.34","4,139,338,163.78","7,074,747,769.87","9,850,191,606.52","2,779,513,410.77","5,896,644,809.16","9,347,616,800.65","12,298,795,204.20","2,992,449,962.01","6,238,753,522.88"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"216,332.39","262,190.45","384,637.00","360,556.90","614,725.98","964,893.20","1,607,816.29","942,877.77","1,781,681.16","2,305,438.46","2,883,731.13","815,998.79","1,264,243.94","1,689,388.13","2,319,104.09","732,047.30","1,174,101.61","1,708,412.12","2,426,978.90","640,876.57","1,011,332.71","1,467,691.74","2,475,320.15","1,024,855.26","1,382,812.74","2,055,128.85","16,921,210.24","6,054,408.71","12,540,212.71","17,880,973.04","28,362,626.20","6,228,726.30","12,923,234.91"
营业外收入,"10,408,078.09","5,621,293.72","10,538,288.88","2,338,648.85","3,343,513.35","3,779,401.16","8,184,008.18","394,261.69","868,038.78","2,615,199.02","7,891,343.49","810,387.15","2,259,080.24","10,293,975.76","63,733,652.23","3,617,981.38","6,531,811.04","9,547,870.55","15,470,918.23","14,330,348.55","20,096,760.97","36,040,172.56","87,863,111.73","4,359,867.18","5,968,052.73","10,604,134.54","15,583,746.01","2,335,930.06","5,392,143.64","8,515,830.60","2,232,062.18","1,991,386.20","680,320.58"
销售费用,"134,173,004.28","196,965,826.15","205,697,168.05","33,900,326.36","93,541,896.83","168,422,928.08","239,301,512.94","55,924,224.87","132,096,527.17","213,692,871.31","261,850,950.80","59,831,018.64","138,707,208.58","222,827,505.06","336,010,820.36","76,438,558.17","176,028,446.77","288,277,484.41","390,478,741.66","66,204,152.41","160,993,189.11","265,951,200.20","349,078,802.10","75,101,350.73","183,451,642.10","289,367,747.70","387,163,160.97","94,253,231.64","215,243,968.75","339,875,415.08","442,947,958.01","83,755,572.24","179,663,139.79"
减:营业外支出,"1,918,152.09","4,321,525.11","646,661.49","28,434.13","216,202.28","962,143.70","1,299,686.32","613,615.34","1,663,332.57","2,964,661.39","4,620,645.60","563,135.90","3,260,096.18","4,818,830.25","8,233,328.74","1,183,214.97","2,173,171.68","5,909,858.13","14,860,584.66","1,908,760.69","3,742,372.33","4,617,277.37","62,876,618.56","1,285,467.80","2,307,071.24","6,091,981.23","10,735,062.77","1,206,099.02","3,216,397.02","7,217,213.78","12,406,929.80","1,575,906.35","11,306,346.95"
管理费用,"86,482,831.42","98,508,876.98","114,901,180.96","27,208,235.80","60,407,243.68","105,450,044.39","160,708,778.39","45,832,358.65","90,599,504.56","138,627,224.13","204,308,546.72","47,584,332.44","96,021,812.07","151,974,785.74","219,513,445.86","67,485,310.41","130,623,703.03","204,043,535.41","279,814,630.65","62,948,962.06","135,468,618.41","206,668,279.85","290,893,309.36","72,291,354.20","148,361,723.26","233,813,815.72","311,741,143.47","96,423,532.80","196,264,104.18","304,789,487.42","456,110,506.22","117,217,819.15","238,400,643.14"
其中:非流动资产处置净损失,,,,,,,,,"1,216,127.49","2,331,983.63","3,305,271.61","506,999.43","2,639,285.61","3,824,421.85","6,231,751.18","55,113.26","1,730,429.72","5,254,968.18","7,289,179.65","1,224,306.06","2,903,747.43","3,641,203.28","7,120,271.06",,"1,753,025.71","2,813,538.72","4,480,881.60","732,855.16","1,824,014.37","3,218,526.86",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"21,037,160.07","16,786,621.76","24,492,720.64","8,484,030.63","9,811,978.85","7,692,065.78","5,252,131.67","1,685,675.58","-6,400,944.63","-4,788,400.82","-1,977,841.16","4,218,831.37","8,170,437.01","12,767,423.38","18,305,900.50","13,042,869.74","27,825,755.02","45,710,504.00","57,527,691.47","11,861,623.44","24,054,207.02","33,514,432.52","41,868,144.58","4,302,592.82","5,199,891.48","7,267,154.74","6,748,698.60","5,910,595.36","14,658,167.77","25,521,778.90","30,840,189.15","9,057,033.91","12,691,461.50"
三、利润总额,"68,630,227.80","84,064,935.99","105,946,838.24","19,233,735.29","38,598,268.76","97,161,328.98","152,555,645.25","36,117,142.40","74,842,428.88","138,652,317.53","211,424,116.16","28,387,783.04","47,221,959.58","99,289,283.62","161,312,573.76","30,365,704.01","53,291,754.03","136,987,050.42","188,351,605.59","37,216,094.14","75,128,417.11","160,365,745.12","210,393,535.27","45,762,537.84","120,533,198.93","215,076,199.33","295,919,154.75","72,634,857.87","192,481,503.08","312,363,789.74","448,877,734.06","73,623,346.51","139,399,970.69"
