科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"87,769,754.33","61,192,518.59","81,003,642.51","41,120,492.86","79,457,530.37","188,379,481.88","118,379,016.96","69,051,193.90","105,258,630.01","65,733,434.65","58,672,242.95","90,511,930.13","134,836,256.21","70,433,515.31","88,472,944.58","104,548,408.77","140,725,250.82"
短期借款,"39,500,000.00","50,500,000.00","40,000,000.00","40,000,000.00","40,000,000.00","35,000,000.00",,,"3,000,000.00","3,000,000.00","43,000,000.00","73,000,000.00","70,000,000.00","70,000,000.00","115,000,000.00","155,000,000.00","183,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"7,654,292.85","8,436,683.64","11,531,728.84","8,817,274.85","11,208,200.00","9,681,080.00","3,323,850.08","6,285,056.50","11,501,350.57","7,213,499.20","7,564,913.11","9,383,820.52","11,684,841.67","9,404,772.34","9,427,047.67","8,031,139.85","17,727,635.33"
应付票据,,,,,"100,000.00",,,,,,,,,,,,
应收账款,"51,009,694.36","59,472,511.97","71,540,864.38","91,612,297.05","93,159,276.69","94,863,633.66","107,550,178.28","111,729,754.77","139,228,729.51","128,728,019.87","154,141,305.86","154,402,184.71","180,674,754.99","190,407,681.80","237,767,023.27","226,353,369.83","251,035,246.93"
应付账款,"26,948,674.83","29,381,723.16","31,622,173.16","33,607,925.31","40,001,282.59","46,559,061.39","35,389,938.28","27,124,653.21","46,430,122.37","53,278,889.09","55,938,138.32","55,435,732.47","58,329,623.90","51,337,656.87","65,939,122.05","73,135,547.56","78,204,159.81"
预付款项,"2,710,282.21","4,806,326.95","5,536,478.79","8,366,058.66","7,756,351.68","18,370,817.48","19,535,299.44","28,535,538.50","18,076,413.77","18,883,660.24","23,599,926.46","18,198,185.94","29,658,117.14","39,358,716.37","33,653,122.86","36,171,317.55","49,374,454.51"
预收款项,"35,327,289.47","28,836,937.63","26,745,831.36","32,557,637.18","40,832,721.02","53,038,476.80","33,008,239.11","36,644,153.38","62,925,626.18","51,681,722.92","26,410,410.75","39,766,627.78","70,738,814.71","73,668,455.28","71,527,807.99","44,949,694.86","141,906,612.08"
其他应收款,"3,573,208.80","4,463,542.35","7,006,377.25","7,377,255.35","9,633,703.74","5,681,992.28","5,425,595.67","6,687,180.55","5,184,684.09","6,002,825.83","6,267,439.64","8,274,952.34","7,626,651.55","9,643,178.38","10,841,901.39","13,654,000.93","10,865,594.37"
应付职工薪酬,"5,066,276.89","4,178,842.10","6,276,527.64","3,805,702.90","8,313,729.02","4,670,402.74","7,127,773.30","12,737,976.54","15,224,318.37","7,032,648.38","10,481,259.40","13,701,964.04","19,012,168.81","7,740,034.46","11,663,885.20","20,324,934.42","23,757,221.96"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"235,982.29","6,269,282.48","8,024,295.98","-815,856.82","7,131,298.45","2,328,370.11","6,106,415.96","2,365,542.10","9,410,858.06","1,180,815.72","4,260,827.39","3,764,706.20","12,847,958.07","2,461,170.76","6,597,094.53","6,182,646.51","16,930,439.74"
应收利息,,,,,,,,,,,,,,,,,
应付利息,"71,994.44","85,769.44","88,366.66","88,020.84","93,145.84",,,,"4,712.50","5,183.75","3,770.00","4,712.50","84,019.44",,"73,448.07","97,614.74","241,570.00"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"460,000.00",,,,,,,"12,560,000.00",,,
存货,"54,808,677.28","69,260,577.24","65,837,443.96","73,118,767.67","69,377,441.73","90,139,423.04","86,508,123.04","111,272,017.44","102,872,968.04","121,244,795.18","129,826,137.81","147,248,435.62","127,684,021.63","146,644,307.46","152,056,920.46","176,672,909.28","174,402,685.05"
其他应付款,"2,351.51","753,583.86","875,889.79","1,104,394.46","1,227,528.53","2,674,591.64","1,671,726.53","1,009,024.82","658,011.72","700,850.10","1,400,322.45","2,155,746.87","1,516,403.72","1,794,019.05","1,114,530.42","9,550,342.02","3,256,658.68"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,"7,918,863.68","5,119,703.40","7,915,281.04","7,092,825.37","15,804,024.46","10,954,788.70","9,282,912.52","10,762,366.36","12,373,392.56","12,469,981.65","11,942,381.96","17,201,340.93"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"207,525,909.83","207,632,160.74","242,456,535.73","230,412,146.44","270,592,504.21","415,035,292.02","345,841,766.87","341,476,022.70","389,215,601.36","363,610,259.43","391,026,754.53","437,302,421.78","502,927,009.55","478,265,564.22","544,688,941.88","577,373,528.17","661,332,207.94"
流动负债合计,"107,152,569.43","120,006,138.67","113,633,084.59","110,347,823.87","137,699,705.45","144,270,902.68","83,764,093.18","79,881,350.05","137,653,649.20","116,880,109.96","141,494,728.31","187,829,489.86","232,528,988.65","219,561,336.42","271,915,888.26","309,240,780.11","447,296,662.27"
可供出售金融资产,,,,,,,,,,,,,,,,,
长期借款,,,"8,000,000.00","17,500,000.00","15,500,000.00","15,500,000.00",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,"24,190,000.00",
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,
预计负债,"78,349.13","50,476.81","97,511.80","188,748.22","229,048.14","252,085.82","295,879.03","320,801.02","392,074.68","391,764.92","435,847.35","323,483.12","401,326.36","391,601.17","284,440.53","598,417.30","301,062.35"
