科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"12,472,415.52","22,865,562.07","41,845,381.89","13,321,815.53","281,090,800.32","297,151,329.68","268,809,819.33","244,624,058.20","237,873,385.24","277,253,940.96","246,837,893.15","209,844,301.36","186,402,326.87","223,811,326.47","184,318,999.88","126,252,564.83","99,295,813.19","171,758,522.59","124,285,373.65","102,156,544.13","120,450,863.78","198,663,050.10","82,922,968.96","44,729,463.11","103,009,917.35","587,878,098.19","502,052,936.29","106,949,046.82","141,176,974.45","594,278,568.35","406,612,527.93","71,595,762.61"
短期借款,"5,000,000.00","14,650,000.00","20,000,000.00","29,800,000.00","4,800,000.00",,,,,,,,,,,,,,,"15,000,000.00","83,096,153.80","75,500,000.00","23,500,000.00","53,000,000.00","5,250,000.00",,,"20,250,000.00","110,000,000.00","145,000,000.00","145,000,000.00","170,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,"103,226.00","461,035.00","430,510.00","503,115.00","400,000.00",,"110,000.00","2,200,000.00",,,,,,"166,200.00",,"1,162,419.80","4,557,010.00","1,442,422.50","4,316,651.50","2,724,765.00","911,501.00","616,000.00","615,610.00","941,006.42","260,000.00"
应付票据,,"2,881,606.89","5,208,622.29","3,974,855.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"35,133,279.42","38,918,531.17","66,248,424.39","73,472,294.48","95,179,067.83","94,525,068.72","111,697,616.63","121,884,917.10","147,981,071.76","129,608,517.88","141,798,888.78","145,416,363.95","159,844,909.34","117,507,169.95","132,532,895.68","146,273,822.43","171,136,859.18","142,414,643.59","160,610,224.45","178,795,419.12","271,153,338.77","211,534,612.67","189,164,825.12","232,354,056.24","260,276,065.85","230,053,489.01","226,672,130.53","271,298,071.28","306,853,533.43","316,223,819.76","333,679,309.18","361,232,894.32"
应付账款,"24,037,713.40","19,650,219.71","30,164,957.33","22,342,764.71","29,748,123.68","23,991,406.55","21,948,408.37","22,461,548.48","30,830,676.05","25,084,886.91","25,216,953.04","23,730,562.65","36,931,655.81","38,318,105.40","42,550,536.49","52,631,246.64","61,375,161.75","52,015,612.37","43,775,887.10","57,617,126.42","109,221,669.54","95,020,026.19","91,346,152.30","92,335,765.22","106,825,855.03","113,871,032.87","102,772,442.81","108,345,802.36","166,855,163.77","174,962,218.66","163,238,730.26","136,080,723.74"
预付款项,"2,876,203.67","1,514,791.50","5,106,020.57","6,156,103.92","6,141,068.90","5,745,560.28","15,710,948.73","17,615,522.74","22,030,518.23","9,372,904.99","19,274,273.17","33,200,020.55","41,285,657.99","70,200,758.22","71,456,851.98","34,224,520.30","17,101,003.86","10,342,064.75","15,473,696.48","14,345,222.74","23,930,747.24","15,584,633.81","23,231,114.02","15,699,291.70","21,907,347.00","15,329,127.04","30,451,354.43","26,570,001.30","63,685,978.14","20,641,971.52","23,498,350.31","25,813,293.27"
预收款项,"9,837,776.45","4,453,771.25","9,152,756.11","4,110,300.33","5,039,814.94","6,365,679.75","3,939,433.69","3,136,685.98","5,951,684.69","7,132,595.06","3,865,205.15","5,165,921.14","7,584,657.72","15,853,147.63","17,401,095.12","12,876,191.53","16,854,401.91","22,009,715.16","12,823,723.02","15,781,638.63","55,877,057.51","71,174,767.76","26,355,771.72","58,934,492.17","71,469,355.16","87,048,134.42","51,349,827.73","39,091,438.34","67,765,900.09","68,225,497.47","40,195,538.44","46,450,474.66"
其他应收款,"4,163,505.91","4,359,302.46","5,260,613.56","5,621,534.11","4,910,682.52","6,229,036.27","5,399,885.03","7,088,181.36","7,095,877.63","8,402,196.06","9,021,482.33","10,926,490.96","12,048,886.77","12,561,091.96","14,417,635.29","15,708,946.50","16,551,832.51","14,710,739.01","14,069,969.36","17,695,994.18","28,573,371.30","28,217,289.21","35,043,525.49","31,418,763.82","46,920,832.32","42,198,274.22","35,015,073.66","48,190,910.78","50,283,026.55","57,605,184.03","132,233,296.34","62,527,094.52"
