科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"462,584,345.60","1,121,925,361.90","1,518,609,461.63","739,973,685.00","2,032,479,368.02","450,787,708.00","1,077,694,508.28","1,757,040,068.16","2,605,051,171.12","482,696,574.70","1,098,603,801.55","1,942,506,187.56","2,992,489,139.69","907,253,303.68","2,279,185,423.15","3,906,656,065.87","5,613,616,415.68","1,967,002,230.36","4,257,566,059.66","7,168,351,634.41","10,051,317,866.03","2,385,701,802.83","5,554,158,589.49","9,268,741,540.89","13,445,634,173.67","3,005,596,640.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,"6,437,631.48","6,437,631.48",,,,,,,,,,,,,"1,358.43","1,358.43",,,,,,,
收到其他与经营活动有关的现金,"20,795,958.94","21,394,820.97","29,403,618.12","16,896,618.66","62,526,358.89","15,481,278.14","27,303,383.74","48,645,109.14","105,343,082.30","38,548,102.12","70,174,569.70","116,895,299.32","169,471,005.20","26,665,370.56","71,572,848.09","134,661,287.05","205,476,235.37","250,270,041.02","317,521,693.91","478,812,498.18","623,139,692.71","154,867,184.02","279,251,818.09","412,391,784.15","628,910,391.22","267,252,888.23"
投资活动现金流出小计,"222,310,082.72","405,218,997.86","584,444,158.08","436,621,065.22","663,477,249.66","172,513,209.34","231,827,796.59","832,440,404.44","1,583,803,603.52","477,838,997.04","833,260,847.95","1,348,748,208.07","2,622,051,855.24","1,405,484,173.67","2,736,160,643.49","3,919,789,750.97","5,257,888,976.95","1,543,290,744.95","3,674,943,760.97","5,720,126,467.71","7,906,361,160.27","3,876,509,207.08","6,485,914,699.09","8,868,619,696.23","11,828,299,101.29","2,075,375,500.83"
经营活动现金流入小计,"483,380,304.54","1,143,320,182.87","1,548,013,079.75","756,870,303.66","2,095,005,726.91","466,268,986.14","1,104,997,892.02","1,805,685,177.30","2,710,394,253.42","521,244,676.82","1,168,778,371.25","2,059,401,486.88","3,161,960,144.89","933,918,674.24","2,350,758,271.24","4,041,317,352.92","5,819,092,651.05","2,217,272,271.38","4,575,087,753.57","7,647,164,132.59","10,674,457,558.74","2,540,568,986.85","5,833,410,407.58","9,681,133,325.04","14,074,544,564.89","3,272,849,528.33"
投资活动产生的现金流量净额,"-220,922,082.72","-403,020,479.56","-554,313,857.08","-436,621,065.22","-662,900,259.14","-172,513,209.34","-231,827,796.59","-533,956,114.80","-869,104,693.94","-297,542,949.10","-622,804,345.49","-1,138,269,015.61","-2,311,348,473.74","-754,244,911.49","-1,575,116,430.78","-2,578,260,398.87","-3,865,972,252.77","-1,536,686,726.34","-3,368,273,927.93","-4,900,629,331.42","-6,441,395,779.84","-3,484,790,513.27","-4,051,276,126.16","-4,470,801,083.84","-5,780,996,731.32","-1,119,036,133.74"
购买商品、接受劳务支付的现金,"344,878,262.65","864,702,968.13","1,013,362,342.59","797,483,561.20","1,770,991,799.34","397,299,969.01","1,048,515,331.29","1,522,338,592.31","1,996,482,297.87","301,546,583.42","957,508,474.95","1,322,803,404.40","1,822,986,455.12","563,475,810.18","1,209,235,284.02","2,181,603,891.25","3,773,471,752.52","1,526,366,620.72","3,130,756,957.47","5,108,285,683.66","7,343,503,603.46","2,197,363,702.57","4,924,201,821.64","7,225,765,157.38","10,209,174,098.93","2,189,387,005.37"
吸收投资收到的现金,"65,040,000.00",,,,,"676,894,340.00","676,894,340.00","676,894,340.00","676,894,340.00",,,,"992,694,424.38",,,"991,295,000.00",,,"3,051,760,681.75","3,051,590,681.75","5,511,340,822.70",,,,"1,410,500,000.00",
