科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"420,466,122.44","632,023,683.38","705,921,627.23","733,313,684.50","774,985,188.85","1,673,872,533.85","931,258,680.33","908,563,732.48","837,706,971.55","1,214,152,097.71","939,143,787.25","953,034,388.18","1,159,808,383.74"
短期借款,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,
应收账款,"2,282,256.88","2,149,127.94","2,060,775.60","2,778,962.16","6,392,604.71","4,448,779.15","1,861,004.58","2,243,691.72","3,064,797.57","2,725,198.84","3,938,921.35","2,953,376.08","9,721,021.72"
应付账款,"438,803.00","632,262.80","67,859.90","157,399.00","143,594.26","224,296.28","204,669.80","234,495.90","298,107.50","438,092.08","425,224.01","305,698.41","526,745.27"
预付款项,"380,489.04","2,982,482.59","2,569,024.16","1,265,710.62","2,485,494.34","3,363,412.10","2,542,571.89","1,566,152.47","1,657,447.65","1,666,308.37","1,122,882.00","1,205,590.47","1,225,696.22"
预收款项,"22,746,124.95","38,206,627.68","47,144,886.71","29,331,790.99","33,405,552.33","36,056,119.46","35,720,711.53","29,249,406.12","32,531,991.65","33,006,720.25","31,049,122.69","33,056,776.93","59,252,295.07"
其他应收款,"3,174,196.56","1,813,556.06","1,160,569.30","1,201,249.99","1,994,690.71","2,634,233.08","2,574,123.69","2,215,651.65","5,396,122.26","5,515,966.74","4,746,410.29","4,778,490.91","2,225,506.21"
应付职工薪酬,"10,235,754.92","14,881,655.56","15,540,960.21","7,195,650.30","8,116,132.20","8,762,442.23","17,969,238.82","10,193,762.02","10,315,740.71","10,874,787.24","19,759,822.62","10,861,366.66","10,609,948.35"
应收关联公司款,,,,,,,,,,,,,
应交税费,"-1,929,167.66","-1,522,596.45","375,557.65","4,742,867.67","-5,277,433.12","-920,252.56","-11,380,197.13","-12,264,431.73","-8,313,972.44","-7,817,441.89","2,565,995.76","2,517,047.43","5,448,272.22"
应收利息,"6,767,618.04","18,205,051.65","19,844,549.64","19,705,678.17","5,640,241.41","5,012,162.88","5,978,260.28","9,911,334.23","14,408,443.81","1,553,726.02","10,453,681.77","10,674,043.69","11,302,641.22"
应付利息,,,,,,,,,,,,,
应收股利,,,,,,,,,"205,200.00",,,,
应付股利,,,,,,,,,,,,,
存货,,,,,,,,,,,,,
其他应付款,"13,782,560.05","13,085,401.01","15,339,291.24","14,119,688.25","18,353,911.22","28,155,655.51","18,152,165.34","18,924,192.84","10,930,710.62","14,288,590.91","15,834,997.22","11,350,521.41","10,267,980.84"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"5,864,584.42","3,452,397.40","1,955,298.57","2,184,252.11","2,369,116.64","2,736,204.47","772,407,335.04","772,022,897.85","771,940,404.87","421,421,149.58","735,631,641.64","707,468,410.21","507,955,778.96"
其他流动负债,"149,740,887.88","210,089,201.99","201,905,522.85","205,045,544.33","197,192,943.72","186,383,746.25","181,361,426.88","165,426,742.11","154,392,496.74","149,375,661.86","148,162,250.66","139,570,414.96","136,160,137.26"
流动资产合计,"438,935,267.38","660,626,299.02","733,511,844.50","760,449,537.55","793,867,336.66","1,692,067,325.53","1,716,621,975.81","1,696,523,460.40","1,634,379,387.71","1,647,034,447.26","1,695,037,324.30","1,680,114,299.54","1,692,239,028.07"
流动负债合计,"195,014,963.14","275,372,552.59","280,374,078.56","260,592,940.54","251,934,700.61","258,662,007.17","242,028,015.24","211,764,167.26","200,155,074.78","200,166,410.45","217,797,412.96","197,661,825.80","222,265,379.01"
