科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月
一、营业收入,"51,698,320.66","99,228,563.11","135,505,561.68","137,858,991.63","25,639,316.07","46,576,850.35","66,813,229.28","83,173,867.08","17,986,578.99","35,250,059.28","54,378,241.51","71,866,438.50","21,138,569.09","45,756,159.06","78,521,217.06","116,392,528.88","32,519,686.69","54,381,551.91","72,470,955.14","99,146,076.02","20,619,962.30","46,148,936.58","63,641,361.04","83,657,156.94","13,736,382.13","44,578,111.60","56,968,882.91","84,860,400.64","16,683,366.37","29,943,114.38","69,401,112.92","69,715,951.80","41,060,056.87","71,642,635.98","144,634,070.98","67,167,387.41","4,355,927.37","18,290,779.70","119,116,826.19","608,445,275.44","112,936,995.34","323,227,171.10","440,698,352.96","30,521,415.09",,,
二、营业利润,"18,524,031.96","90,187,214.38","100,875,443.67","60,476,632.96","16,775,096.33","6,562,266.01","-4,534,199.60","-23,538,959.61","-1,591,604.71","-4,952,756.60","-4,484,132.42","-6,951,085.13","4,316,861.71","4,642,104.51","6,054,720.69","-19,354,725.16","56,960.91","-2,344,241.64","-2,105,470.32","-122,688.82","298,922.72","717,757.86","-1,290,777.73","-42,830,917.69","601,791.10","-9,415,922.15","-15,701,898.38","-39,068,242.90","-9,615,295.16","-18,546,230.35","-30,779,211.17","18,226,447.34","4,965,326.97","9,025,888.60","13,084,925.72","-17,361,724.69","-6,404,683.20","-16,690,062.13","-10,220,853.42","37,157,873.39","6,154,078.12","23,041,881.43","28,784,434.71","-1,082,836,511.60","-3,239,019.91","-18,706,173.85","-21,602,855.80"
减:营业成本,"47,690,187.65","90,875,694.90","125,542,133.78","128,982,596.08","23,771,957.13","42,478,206.92","61,781,856.65","73,316,244.60","14,753,329.77","30,893,462.84","48,406,456.42","62,318,676.13","17,782,916.62","39,128,790.95","70,298,531.38","105,662,197.94","30,106,507.18","52,843,597.86","71,788,954.81","90,622,377.97","18,596,236.70","42,600,583.86","56,794,720.05","80,728,710.10","11,323,383.13","41,598,778.16","55,139,972.86","86,884,955.08","16,959,223.28","31,001,113.50","67,781,346.26","66,961,208.17","30,380,037.97","55,356,263.04","115,616,869.63","53,302,784.86","3,360,529.13","15,664,559.01","100,988,610.24","527,934,507.89","95,163,707.77","271,815,943.74","375,078,554.23","32,943,669.43",,,
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"308,827.22","836,414.79","1,331,857.16","1,656,971.43","495,948.88","903,426.03","1,360,115.74","1,784,168.93","449,825.96","780,182.91","1,218,303.08","1,611,284.52","424,438.10","809,402.94","1,290,514.06","1,687,617.13","451,359.06","989,051.12","1,569,334.85","2,381,701.20","560,757.65","1,056,922.69","1,684,434.07","2,276,965.79","569,311.65","1,110,544.12","1,627,946.11","2,216,535.42","564,530.46","1,094,746.30","1,737,882.57","2,205,013.72","200,033.11","753,141.59","3,195,026.01","978,020.71","90,415.92","530,758.44","1,638,431.90","870,314.26","525,376.81","577,553.54","991,211.97","262,684.91",,,
营业外收入,"928,384.85","1,396,449.31","1,923,944.93","2,729,168.28","201,122.09","565,490.95","13,552,057.41","30,113,303.12","3,107,771.31","7,961,777.42","10,799,498.62","17,851,140.95","1,387,809.94","2,002,878.98","2,361,343.00","29,152,962.05","1,005,190.26","4,661,907.74","5,620,099.90","5,704,014.86","920,804.76","1,020,804.76","2,549,729.13","2,960,756.18","1,015,990.69","1,160,020.69","1,227,465.87","3,381,640.33","4,506,381.79","4,680,480.76","5,444,994.27","152,357,146.83",,"122,504.75",,"11,726,871.91",,"1,523,050.00","1,523,050.00","1,768,059.50",,"221,660.27","384,760.27","14,723.08",,,
销售费用,"2,685,997.16","6,118,127.54","9,089,992.87","9,607,928.36","2,088,799.12","4,258,970.65","5,957,579.98","7,569,063.89","1,056,768.48","2,141,254.35","3,276,208.79","4,725,413.43","1,509,181.26","2,744,079.78","3,886,673.23","5,723,421.48","1,398,723.40","2,805,600.99","4,191,441.32","5,579,670.17","1,250,444.30","2,442,608.05","3,977,598.95","5,796,140.72","1,112,098.31","2,607,478.21","3,988,867.36","5,711,507.65","1,407,931.48","2,874,728.40","4,330,507.43","4,330,507.43",,,,"676,815.83","3,703.00","5,927.00","5,927.00","5,927.00","1,050.00","1,050.00","1,050.00","1,050.00",,,
减:营业外支出,"1,000.00","24,465.76","29,548.49","2,619,652.83",,100.60,"16,100.60","882,976.40","95,079.33","98,829.05","108,944.44","3,030,482.95","12,023.74","12,023.74","307,200.31","1,122,954.24",,"10,222.63","206,880.03","243,596.81","11,922.14","11,922.14","12,122.14","554,546.82","30,000.00","30,000.00","30,000.00","30,000.00","37,202.00","37,202.00","37,202.00","69,545,008.05",,"3,500.00","6,627.00","10,393.55",,"5,351.20","10,370.93","5,472.41","3,395.80","3,413.82","33,507.39","44,276,452.79","55,134.38","138,098.53","138,098.53"
管理费用,"10,044,347.07","24,479,566.80","34,963,287.93","60,267,617.04","9,277,893.67","19,435,026.33","30,235,865.65","44,902,729.66","7,349,994.81","13,262,191.99","15,804,972.86","22,341,524.81","6,610,082.95","8,237,845.39","14,854,547.75","30,965,813.40","6,364,247.76","11,522,301.33","18,090,134.71","25,422,329.41","4,209,992.00","8,179,389.55","11,517,048.15","23,522,622.84","5,804,768.87","13,113,851.20","20,542,327.73","30,030,267.42","12,186,685.39","20,888,743.83","36,230,317.77","35,481,218.38","5,760,001.09","9,844,425.52","16,850,512.11","34,633,683.73","5,048,880.28","14,617,172.25","21,461,181.60","32,147,226.84","9,615,789.47","21,966,406.32","29,062,439.91","202,928,567.63","1,758,150.58","7,230,482.63","7,627,164.59"
其中:非流动资产处置净损失,,,,"45,624.76",,,,"136,792.78",,,,"3,030,476.39",,,,"1,116,954.24",,,,"206,880.03",,"11,922.14","11,922.14","255,638.43",,,,,,,,,,,,,,,,,,,,,,,
