科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"62,346.00","126,692.00","136,238.00","333,126.00","67,092.00","76,692.00","95,784.00","192,146.00","22,877.95","30,592.00","88,138.00","233,684.00","57,546.00","313,748.00","440,458.19",,"66,410.22","143,865.00","215,797.50",,,"143,865.00","215,797.50",,,"143,865.00","215,797.50",,,"3,600.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"81,628.00","81,628.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"140,088.46","727,110.27","1,046,421.35","729,002.59","142,127.31","394,100.20","323,439.09","848,848.35","159,447.92","48,000.00","48,000.00","685,845.03","119,981.66",,"10,890.19","1,210,390.64","115,730.01",,,"1,270,004.59","351,000.00","81,745.68",,"1,182,373.98","278,856.00","109,755.14","155,738.44","1,105,026.17","326,810.00","1,263,238.04"
投资活动现金流出小计,,"81,628.00","81,628.00",,,,,,,,,,,,,,,,,,"6,700.00","6,700.00","6,700.00","6,700.00",,"3,700.00","3,700.00","3,700.00",,"6,400.00"
经营活动现金流入小计,"202,434.46","853,802.27","1,182,659.35","1,062,128.59","209,219.31","470,792.20","419,223.09","1,040,994.35","182,325.87","78,592.00","136,138.00","919,529.03","177,527.66","313,748.00","451,348.38","1,210,390.64","182,140.23","143,865.00","215,797.50","1,270,004.59","351,000.00","225,610.68","215,797.50","1,182,373.98","278,856.00","253,620.14","371,535.94","1,105,026.17","326,810.00","1,266,838.04"
投资活动产生的现金流量净额,,"-81,628.00","-81,628.00","-71,658.07",,,,,,,"239,625.00",,,,,,,,,,"-6,700.00","-6,700.00","-6,700.00","-6,700.00",,"-3,700.00","-3,700.00","-3,700.00",,"-6,400.00"
购买商品、接受劳务支付的现金,,,,,,"107,839.38","403,327.33","139,228.20",,"132,570.37","222,187.70","206,974.74",,"103,943.23","145,777.51",,,"176,410.66","232,523.00",,,"194,285.11","255,945.84",,,"131,923.06","195,304.46",,,"1,530.00"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"137,104.78","263,642.10","474,034.74","581,605.08","126,814.76","342,456.90","488,172.20","714,862.87","164,968.35","268,152.36","399,873.00","600,282.62","107,619.14","346,816.49","539,632.33","883,328.97","121,366.72","279,798.89","457,633.86","767,931.68","217,246.95","293,437.78","437,231.10","612,855.60","178,225.09","303,023.53","436,339.54","624,211.67","226,012.32","718,424.77"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"10,941.72","7,031.40","7,561.20","50,142.39",529.80,"21,708.78","18,158.07","73,765.97","5,053.72","14,355.39","35,478.23","37,050.03","4,806.30","62,657.82","98,976.47","36,979.25","10,532.13","30,025.89","44,215.59","55,345.74","14,560.38","12,463.80","40,793.54","55,066.19","14,560.38","27,220.53","43,447.07","56,107.22","14,560.38","29,735.27"
收到其他与筹资活动有关的现金,,,,,,,"523,827.25",,,"178,298.46","123,587.31",,,,,,,"357,711.09","512,450.28",,,"285,700.43","534,303.25",,,"242,417.57","356,490.06",,,
