科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"361,371,070.00","390,995,083.00","466,402,763.00","452,361,057.00","1,141,815,808.00","914,844,020.00","784,092,571.00","855,616,291.00","747,422,930.00","699,529,668.00","835,386,566.00","842,734,769.00","960,639,407.00","1,100,471,410.00","1,354,758,264.00"
短期借款,"190,000,000.00","311,500,000.00","286,042,000.00","256,042,000.00",,,"100,000,000.00","240,000,000.00","427,700,000.00","16,500,000.00","480,500,000.00","472,200,000.00","478,200,000.00","578,200,000.00","174,200,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,"1,719,702.00","4,867,873.00","5,111,945.00","9,547,077.00","7,306,143.00","7,610,055.00","11,951,078.00","6,812,579.00","7,094,547.00","3,771,566.00","8,374,732.00","8,689,744.00","4,040,002.00","7,132,393.00"
应付票据,"134,979,304.00","186,991,889.00","323,984,036.00","279,160,853.00","258,006,762.00","246,500,561.00","346,674,406.00","345,880,740.00","274,740,865.00","235,065,412.00","417,106,781.00","388,276,605.00","513,478,138.00","546,961,458.00","837,484,293.00"
应收账款,"211,102,522.00","266,500,478.00","312,735,684.00","322,448,187.00","307,684,835.00","386,051,069.00","420,041,771.00","472,081,368.00","514,211,353.00","549,887,506.00","577,568,517.00","602,749,267.00","625,679,663.00","590,044,685.00","798,681,971.00"
应付账款,"382,940,088.00","502,866,906.00","487,062,306.00","557,023,001.00","554,899,488.00","674,258,264.00","599,891,267.00","762,291,460.00","845,515,542.00","1,004,845,858.00","830,000,201.00","879,252,898.00","814,652,742.00","849,322,070.00","879,024,215.00"
预付款项,"97,281,154.00","137,938,995.00","142,745,425.00","121,097,389.00","178,228,218.00","249,697,456.00","177,597,288.00","214,505,818.00","210,344,401.00","233,125,494.00","214,354,349.00","200,023,652.00","219,253,419.00","278,530,794.00","377,148,651.00"
预收款项,"18,221,938.00","22,743,762.00","30,913,089.00","28,412,726.00","24,942,272.00","25,731,502.00","36,642,429.00","36,436,326.00","35,601,045.00","36,964,803.00","48,674,911.00","44,494,970.00","46,517,432.00","45,109,419.00","48,049,447.00"
其他应收款,"18,402,450.00","13,741,856.00","17,586,893.00","23,972,314.00","26,137,718.00","36,335,111.00","25,605,115.00","54,329,764.00","60,404,274.00","57,482,839.00","52,463,391.00","62,456,665.00","73,018,239.00","65,348,908.00","45,379,618.00"
应付职工薪酬,"68,161,082.00","79,888,296.00","86,393,846.00","57,044,246.00","71,233,471.00","88,872,699.00","100,798,931.00","74,044,672.00","98,503,341.00","105,297,395.00","125,734,397.00","84,566,201.00","99,162,636.00","116,067,745.00","178,574,991.00"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"40,129,857.00","53,099,362.00","70,775,253.00","65,117,286.00","51,641,480.00","66,328,764.00","66,398,800.00","79,715,307.00","49,551,009.00","59,263,220.00","59,547,732.00","86,373,472.00","55,198,438.00","51,374,351.00","59,276,052.00"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,"6,039,500.00","13,243,110.00","19,944,518.00","27,109,201.00","5,824,518.00","12,708,000.00"
应收股利,,,,,,,,,,,,,,,
应付股利,"1,365,000.00","1,170,000.00","2,145,000.00","1,145,000.00","21,241,291.00","61,361,500.00","2,145,000.00","895,000.00","80,100,000.00",,"1,170,000.00",,"27,852,198.00",,"585,000.00"
存货,"488,817,519.00","671,268,581.00","739,328,900.00","774,973,792.00","758,069,056.00","863,924,317.00","902,086,183.00","990,593,953.00","1,042,994,881.00","1,224,916,452.00","1,196,857,091.00","1,181,501,466.00","1,144,085,116.00","1,171,098,966.00","1,311,446,521.00"
其他应付款,"41,940,306.00","63,917,673.00","70,924,782.00","62,679,482.00","95,757,520.00","185,270,312.00","227,949,696.00","192,732,331.00","302,425,526.00","191,729,102.00","157,157,878.00","153,735,386.00","140,557,045.00","218,540,220.00","441,255,895.00"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,"4,777,611.00","7,572,816.00","8,168,967.00","8,122,549.00","8,323,205.00","15,454,233.00","11,155,651.00","13,081,745.00","12,681,880.00","19,737,678.00","18,773,254.00","19,687,060.00","20,100,512.00","22,176,681.00","16,319,844.00"
一年内到期的非流动负债,,"3,318,956.00","2,270,000.00","2,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"800,000.00","800,000.00","800,000.00","800,000.00","11,960,000.00"
其他流动资产,,,,,"15,000,000.00","50,000,000.00",,,,,"42,175,471.00","33,582,669.00","55,547,704.00","25,123,899.00","68,568,412.00"
其他流动负债,"2,604,927.00","2,853,488.00","2,802,204.00","3,302,204.00","1,107,911.00","2,505,078.00","6,993,167.00","3,216,485.00","11,427,503.00","12,340,408.00","6,916,216.00","6,721,779.00","8,672,206.00","9,130,066.00","7,886,614.00"
流动资产合计,"1,181,752,326.00","1,489,737,511.00","1,691,836,505.00","1,708,087,233.00","2,444,805,917.00","2,523,612,349.00","2,328,188,634.00","2,612,160,017.00","2,594,872,298.00","2,791,774,184.00","2,941,350,205.00","2,951,110,280.00","3,107,013,804.00","3,256,835,345.00","3,979,435,674.00"
流动负债合计,"880,342,502.00","1,228,350,332.00","1,363,312,516.00","1,311,926,798.00","1,078,830,195.00","1,355,828,680.00","1,492,493,696.00","1,740,212,321.00","2,130,564,831.00","1,668,045,698.00","2,140,851,226.00","2,136,365,829.00","2,212,200,036.00","2,421,329,847.00","2,651,004,507.00"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,"115,000.00","58,000,000.00","57,000,000.00",,,,,,,,,"111,600,000.00","111,600,000.00","94,860,000.00"
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,"790,987,067.00","791,906,729.00","792,316,127.00","792,725,526.00","793,147,293.00","793,572,152.00"
长期应收款,"16,358,279.00","21,353,323.00","26,553,248.00","27,754,448.00","27,987,937.00","22,376,199.00","29,275,451.00","29,680,139.00","41,742,480.00","34,826,296.00","37,337,649.00","38,725,046.00","40,827,906.00","38,775,530.00","48,545,139.00"
长期应付款,,"16,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,"3,150,000.00","3,150,000.00","2,350,000.00","2,350,000.00","29,145,207.00"
长期股权投资,"58,939,403.00","3,164,760.00",,,,,,,,,,,,,
专项应付款,,,,,,"250,000.00",,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,
预计负债,,,"425,578.00","425,578.00","425,578.00","425,578.00",,,,,"2,788,677.00","2,788,677.00","2,788,677.00","2,788,677.00",
固定资产,"101,801,964.00","157,660,381.00","181,892,477.00","182,920,558.00","180,907,729.00","185,556,935.00","209,562,628.00","210,777,168.00","233,371,143.00","221,651,743.00","251,550,367.00","245,563,942.00","243,524,563.00","249,462,263.00","260,389,899.00"
递延所得税负债,"2,375,082.00","15,826,302.00","15,089,664.00","15,089,664.00","14,530,604.00","14,530,604.00","14,050,289.00","13,788,311.00","13,528,434.00","13,271,720.00","23,635,803.00","22,946,489.00","23,164,103.00","22,828,988.00","21,998,565.00"
在建工程,"32,122,835.00","13,294,985.00","15,239,026.00","15,413,917.00","12,400,027.00","12,990,891.00","2,556,025.00","8,243,121.00","11,078,052.00","9,297,015.00","17,225,370.00","132,926,097.00","151,651,907.00","187,092,713.00","173,423,026.00"
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"2,375,082.00","34,879,461.00","80,723,612.00","79,723,612.00","22,379,821.00","17,629,821.00","16,087,878.00","15,677,972.00","15,270,868.00","806,106,251.00","823,503,942.00","824,160,439.00","935,503,501.00","939,507,691.00","946,774,977.00"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"882,717,584.00","1,263,229,793.00","1,444,036,128.00","1,391,650,410.00","1,101,210,016.00","1,373,458,501.00","1,508,581,574.00","1,755,890,293.00","2,145,835,699.00","2,474,151,949.00","2,964,355,168.00","2,960,526,268.00","3,147,703,537.00","3,360,837,538.00","3,597,779,484.00"
生产性生物资产,,,,,,,,,,,,,,,
实收资本(或股本),"200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","267,000,000.00","284,945,266.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"154,358,117.00","154,358,117.00","142,084,127.00","142,084,127.00","1,085,111,818.00","1,085,111,818.00","1,085,111,817.00","1,085,111,817.00","1,085,111,817.00","914,055,302.00","561,429,772.00","561,429,772.00","561,429,772.00","561,429,772.00","1,333,221,120.00"
无形资产,"42,228,093.00","98,914,253.00","97,571,971.00","96,695,644.00","96,849,166.00","96,641,653.00","120,414,179.00","119,212,163.00","166,036,818.00","170,253,803.00","180,889,862.00","178,846,296.00","177,836,350.00","194,313,511.00","288,647,568.00"
盈余公积,"6,649,864.00","10,569,129.00","30,104,356.00","30,104,356.00","30,104,356.00","30,104,356.00","43,899,478.00","43,899,478.00","43,899,478.00","43,899,478.00","49,973,906.00","49,973,906.00","49,973,906.00","49,973,906.00","94,902,820.00"
开发支出,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,
商誉,"106,144,102.00","317,890,686.00","399,191,655.00","399,191,655.00","416,367,555.00","590,563,754.00","760,467,605.00","760,467,606.00","1,202,483,938.00","1,202,483,938.00","1,221,233,206.00","1,221,233,206.00","1,221,233,206.00","1,221,233,206.00","1,521,120,659.00"
未分配利润,"288,078,788.00","444,880,249.00","595,727,103.00","661,350,638.00","716,094,886.00","759,790,942.00","822,433,791.00","901,503,753.00","887,174,269.00","950,585,117.00","971,986,850.00","1,085,320,115.00","1,081,583,567.00","1,166,266,615.00","1,217,758,094.00"
长期待摊费用,"54,854,184.00","54,179,465.00","89,861,851.00","101,935,151.00","111,343,687.00","119,187,108.00","168,354,530.00","173,963,249.00","198,951,800.00","200,984,605.00","229,011,647.00","225,095,457.00","217,647,953.00","291,042,402.00","314,306,202.00"
少数股东权益,"83,507,145.00","106,651,245.00","117,725,224.00","127,652,767.00","114,750,207.00","63,101,447.00","73,550,598.00","82,842,590.00","123,746,045.00","94,538,234.00","94,943,787.00","104,575,377.00","119,376,972.00","123,437,838.00","170,283,790.00"
递延所得税资产,"21,110,312.00","23,493,169.00","27,530,205.00","20,843,692.00","23,609,265.00","27,638,175.00","25,898,206.00","31,211,092.00","18,559,470.00","28,742,303.00","21,417,204.00","26,433,170.00","23,920,170.00","24,433,838.00","31,487,347.00"
外币报表折算价差,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,"155,860,000.00","190,533,376.00","85,671,309.00","84,216,193.00","9,673,973.00","8,891,944.00","43,411,895.00","65,756,861.00","81,535,060.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,
非流动资产合计,"433,559,172.00","689,951,022.00","837,840,433.00","844,755,065.00","869,465,366.00","1,054,954,715.00","1,472,388,624.00","1,524,087,914.00","1,957,895,010.00","1,952,455,896.00","1,968,339,278.00","2,077,715,158.00","2,120,053,950.00","2,272,110,324.00","2,719,454,900.00"
所有者权益(或股东权益)合计,"732,593,914.00","916,458,740.00","1,085,640,810.00","1,161,191,888.00","2,213,061,267.00","2,205,108,563.00","2,291,995,684.00","2,380,357,638.00","2,406,931,609.00","2,270,078,131.00","1,945,334,315.00","2,068,299,170.00","2,079,364,217.00","2,168,108,131.00","3,101,111,090.00"
资产总计,"1,615,311,498.00","2,179,688,533.00","2,529,676,938.00","2,552,842,298.00","3,314,271,283.00","3,578,567,064.00","3,800,577,258.00","4,136,247,931.00","4,552,767,308.00","4,744,230,080.00","4,909,689,483.00","5,028,825,438.00","5,227,067,754.00","5,528,945,669.00","6,698,890,574.00"
负债和所有者(或股东权益)合计,"1,615,311,498.00","2,179,688,533.00","2,529,676,938.00","2,552,842,298.00","3,314,271,283.00","3,578,567,064.00","3,800,577,258.00","4,136,247,931.00","4,552,767,308.00","4,744,230,080.00","4,909,689,483.00","5,028,825,438.00","5,227,067,754.00","5,528,945,669.00","6,698,890,574.00"
