科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"83,919,534.01","111,407,274.31","220,259,389.74","109,260,834.89","287,285,991.40","50,677,662.40","127,590,464.07","254,848,657.38","393,402,965.37","48,975,781.51","121,957,214.90","222,369,340.77","377,883,277.49","54,689,805.76","218,893,707.89","271,997,672.60","759,574,647.29","482,815,674.42","876,047,552.71","1,465,461,638.29","1,884,887,178.70","513,322,608.68","1,096,051,998.93","1,867,816,859.11","2,574,864,005.65","383,680,226.71","874,765,983.59","1,467,931,704.83","2,247,623,728.70","226,422,176.49","325,678,184.94"
二、营业利润,"15,355,668.95","24,406,601.76","42,588,839.67","39,207,400.89","108,004,395.13","24,998,542.73","54,698,302.31","103,224,827.70","143,329,796.10","27,217,405.03","62,136,069.49","109,987,008.56","149,880,273.16","10,526,941.16","41,283,030.11","50,649,875.41","147,085,524.94","34,135,500.66","65,889,781.69","195,075,680.66","250,310,175.99","37,388,932.27","90,281,914.13","177,864,378.43","374,324,939.94","71,725,503.19","82,153,407.67","129,279,157.36","110,716,235.94","-54,846,879.70","-224,754,881.61"
减:营业成本,"53,784,911.57","71,101,308.28","140,491,856.69","52,990,141.85","138,162,356.20","18,434,690.58","54,301,224.65","122,346,538.24","218,802,414.74","19,579,388.28","52,808,946.75","93,391,574.42","202,021,315.24","25,245,973.66","144,246,948.57","176,808,388.37","522,973,311.16","397,123,895.62","697,556,958.81","1,087,228,683.54","1,399,906,690.21","422,641,757.20","871,668,886.84","1,470,299,373.24","1,878,686,918.57","338,282,176.90","688,865,139.19","1,139,649,873.17","1,740,083,737.30","221,384,326.86","417,989,736.44"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,616,736.02","4,998,762.64","11,355,987.80","5,993,324.70","15,139,123.79","2,808,263.59","7,262,375.80","10,027,209.43","6,865,937.99","435,868.26","405,248.59","1,284,304.74","2,959,337.32","536,480.47","943,182.69","1,026,598.69","4,262,715.30","4,833,909.02","7,758,770.83","11,869,707.64","17,631,658.23","1,728,590.15","4,361,823.77","8,559,200.17","22,360,949.00","-168,257.62","2,182,320.90","8,873,652.25","10,275,820.64","264,582.52","-1,340,710.83"
营业外收入,"1,076,344.11","4,895,737.65","4,090,806.42","808,678.00","3,997,531.36","830,287.60","2,739,087.60","7,947,340.60","12,967,736.04","1,531,653.00","3,194,415.00","7,346,647.11","15,975,345.84","10,248,388.42","20,669,850.07","22,238,601.95","29,632,631.87","1,109,931.45","10,338,637.01","12,642,730.99","27,149,212.98","5,490,780.77","9,938,853.19","10,867,691.31","16,508,990.13","145,791.66","186,523.26","263,261.98","317,981.35","320,658.77","327,364.30"
销售费用,"1,550,946.64","1,739,994.30","10,231,828.18","844,665.08","3,247,278.10","484,975.39","2,120,568.98","3,944,632.26","6,690,508.15","1,866,045.00","3,965,187.18","5,616,425.17","8,489,427.09","6,945,770.12","9,374,532.95","10,599,427.82","35,260,403.66","13,561,541.36","29,908,660.12","54,206,609.63","76,250,336.02","15,802,704.73","37,274,278.54","62,509,337.48","79,410,088.48","17,300,626.86","46,471,879.91","73,844,639.25","126,777,513.01","14,638,805.13","33,843,688.32"
减:营业外支出,"25,000.00","184,148.96","50,000.00",,"15,648.68","19,797.10","19,830.02","25,324.87","25,790.47",,"150,000.00","150,000.00","150,000.00","17,374.55","654,903.90","654,903.90","755,003.90",,"51,022.29","1,163,038.62","1,331,441.91","23,173.32","23,173.32","234,664.29","592,197.56","31,000.00","60,003.94","76,970.93","4,163,649.77","82,708.00","51,382,699.80"
管理费用,"4,375,449.93","5,363,525.89","7,788,720.64","5,505,298.35","13,611,551.56","3,022,090.80","7,839,447.14","10,902,216.77","14,818,387.63","3,752,067.18","10,221,007.46","14,516,220.37","20,140,801.30","4,912,904.16","13,636,821.24","20,496,798.30","34,040,505.85","14,329,864.02","32,864,421.40","51,186,559.27","58,204,552.03","16,171,178.47","34,930,573.66","52,749,691.76","67,207,412.14","18,695,971.66","40,566,288.79","57,865,213.65","84,497,504.49","17,798,234.72","47,677,143.12"
其中:非流动资产处置净损失,,"171,148.96",,,,"19,797.10","19,830.02","25,324.87","25,790.47",,,,,,"17,436.80","17,436.80","17,436.80",,,"48,575.72","214,650.26",,,,"4,937.23",,"1,672.99","15,354.84",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"3,098,758.13","3,017,874.34","5,397,813.12","2,941,868.22","6,070,899.24","1,185,849.31","687,452.19","-401,618.42","-6,620,781.05","-2,616,681.19","-4,880,004.83","-6,953,962.75","-8,947,313.67","-1,937,162.39","-2,778,138.75","-3,220,653.04","-434,447.91","2,875,002.50","8,605,865.92","14,956,966.43","15,237,127.66","1,824,964.70","9,300,543.84","16,782,371.27","18,670,618.55","-180,868.46","-852,879.52","-281,282.17","-4,874,268.51","-147,207.29","-3,217,061.83"
