科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"26,849,032.76","65,196,694.04","160,645,931.91","20,891,940.43","81,692,956.33","136,191,655.84","244,571,140.52","49,254,955.73","142,132,352.88","219,839,632.03","302,871,595.69","60,545,394.53","114,124,490.64","229,803,024.04","356,183,010.21","73,410,035.34","355,647,629.71","763,794,020.02","1,272,779,792.25","334,264,157.71","892,637,123.91","1,405,895,333.90","2,000,691,447.04","323,171,323.82","906,724,563.45","1,414,512,560.25","2,126,810,095.39","353,700,038.44","877,968,785.63","1,358,416,443.33","2,053,018,640.22","322,684,017.01","695,480,091.02","1,090,527,548.90","1,484,457,571.12","254,233,678.23","583,046,564.42","966,964,122.01","1,447,923,234.10","267,755,772.83","677,274,507.41","1,146,821,237.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"-281,579,942.56","-281,579,942.56",,,"-2,369,947.54","-2,369,947.54","2,489,880.67",,,,"140,739,422.62",,,,,,,,,,,,,,,
收到的税费返还,,,,"503,027.29",,,,,,"359,364.91","359,364.91","394,757.66","394,757.66","454,757.66","828,477.86","32,912.43","32,912.43","261,853.15","1,357,606.34","1,953,407.55","1,710,253.98","1,764,373.53","2,207,494.55","2,520,767.16","2,559,354.93","2,763,695.11","3,426,254.93","2,093,400.40","2,165,900.54","2,625,071.48","2,153,071.07","95,744.92","1,399,341.86","1,410,607.44","1,399,341.86","470,608.66","2,017,608.66","2,020,608.66","1,715,934.66","141,981.28","5,607,011.28","5,609,374.42"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"400,068.29",,"20,095,094.19",,,,,,,"9,940,800.00","9,940,800.00",,"28,747,698.51","28,747,698.51","43,168,398.51","28,747,698.51",,,,,,"437,209.91","437,209.91"
收到其他与经营活动有关的现金,"212,849.39","214,809.57","23,298.80","60,483.13","740,130.85","408,804.15","861,512.31","232,488.36","2,188,938.95","3,338,856.19","4,005,036.85","2,287,795.26","2,099,375.25","7,651,371.34","5,831,613.42","1,876,598.36","16,126,510.43","20,438,248.75","18,561,112.34","14,126,054.73","20,923,141.26","28,474,108.70","16,407,795.82","10,157,256.52","10,410,368.46","22,765,977.97","22,433,136.94","7,665,091.67","10,194,336.88","26,437,353.43","29,416,673.90","10,670,769.05","11,868,224.21","17,360,397.55","22,675,114.69","4,676,572.61","29,250,157.61","45,602,717.74","98,709,776.78","5,794,744.93","46,018,302.51","71,140,954.09"
投资活动现金流出小计,"7,754,097.97","9,658,508.28","21,570,966.99","9,418,122.19","15,009,195.83","17,101,283.24","23,367,419.49","3,144,612.32","6,688,830.11","8,746,386.59","20,418,416.69","1,228,904.24","7,668,106.05","11,431,906.28","15,143,423.29","1,016,048.42","-271,966,368.05","-208,583,942.56","171,249,506.31","32,809,603.39","68,844,407.35","295,512,359.49","324,064,538.62","38,821,810.82","67,940,698.19","112,040,725.85","319,610,584.76","63,296,842.80","140,495,692.38","188,194,960.70","227,909,451.64","51,728,310.66","68,446,664.79","165,313,173.74","191,785,549.94","16,453,932.22","135,084,602.08","175,957,463.84","915,928,227.44","128,240,817.07","789,467,937.62","976,406,926.27"
经营活动现金流入小计,"27,061,882.15","65,411,503.61","160,669,230.71","21,455,450.85","82,433,087.18","136,600,459.99","245,432,652.83","49,487,444.09","144,321,291.83","223,537,853.13","307,235,997.45","63,227,947.45","116,618,623.55","237,909,153.04","362,843,101.49","75,319,546.13","371,807,052.57","784,494,121.92","1,292,698,510.93","350,343,619.99","915,270,519.15","1,436,133,816.13","2,019,306,737.41","335,849,347.50","919,694,286.84","1,440,042,233.33","2,152,669,487.26","363,458,530.51","890,329,023.05","1,387,478,868.24","2,084,588,385.19","333,450,530.98","708,747,657.09","1,109,298,553.89","1,508,532,027.67","259,380,859.50","614,314,330.69","1,014,587,448.41","1,548,348,945.54","273,692,499.04","728,899,821.20","1,223,571,565.76"
投资活动产生的现金流量净额,"-7,702,747.97","-9,625,558.28","-21,056,616.99","-9,418,122.19","-14,978,060.06","-17,070,147.47","-23,336,283.72","-3,130,548.32","-6,558,966.11","-8,616,522.59","-20,290,129.73","-1,226,704.24","-7,668,106.05","-11,429,706.28","-15,095,843.29","-978,048.42","273,007,996.90","212,327,134.34","111,671,326.48","-28,089,848.70","-51,300,428.03","-276,914,870.33","-306,542,975.55","-35,485,424.26","-39,691,574.81","-79,671,464.53","-293,148,398.89","49,129,810.06","-20,767,746.12","-62,371,784.05","-89,232,091.67","-40,159,432.74","-54,489,026.09","-151,097,205.04","-178,543,212.33","-8,984,487.35","-124,213,968.93","-143,800,416.33","-882,115,868.64","176,288,662.93","-67,096,640.52","423,827,179.20"
购买商品、接受劳务支付的现金,"22,920,136.79","38,247,757.98","107,771,304.77","25,101,942.48","62,679,963.21","110,049,706.17","171,025,902.44","19,062,918.95","57,611,972.17","104,167,277.86","122,581,326.46","27,765,609.27","34,242,061.52","110,416,257.33","171,916,125.26","53,710,184.93","224,179,929.55","479,466,163.10","577,020,952.66","199,285,001.70","456,020,741.71","709,490,061.25","953,662,412.93","171,336,944.26","382,467,429.89","666,353,232.02","1,023,394,358.90","153,329,300.22","334,839,147.43","497,383,489.59","855,752,100.62","138,502,388.01","248,185,427.73","405,687,838.44","565,591,829.60","109,269,350.50","246,537,102.89","421,719,661.66","664,546,900.44","126,484,120.14","341,090,487.30","575,572,011.69"
吸收投资收到的现金,,,"3,582,000.00","2,135,000.00","159,554,000.00","159,554,000.00","152,454,000.00",,,,,,,,,,,,"10,000.00",,,,"1,745,000.00",,"23,600,000.00","47,961,500.00","47,961,500.00",,,,"11,779,450.00","60,000.00","60,000.00","60,000.00","490,000.00",,,"976,800,000.00","956,240,800.00",,,"1,350,000.00"
