科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"264,302,451.31","385,216,294.52","479,604,851.27","260,113,071.62","413,759,118.43","697,925,090.26","108,637,390.05","278,254,170.11","535,620,192.12","1,033,855,314.50","211,624,636.92","467,889,288.15","690,118,056.31","904,171,794.58","128,454,032.60","301,030,279.84","644,353,048.62","1,218,071,643.31","179,651,138.16","414,120,460.66","837,191,028.75","1,523,294,694.84","451,599,029.23","721,690,875.32","1,187,013,125.40","1,731,311,632.22","609,489,193.25","1,029,274,626.90","1,549,262,039.74","1,843,452,761.05"
二、营业利润,"15,737,477.97","67,870,739.01","119,136,575.28","74,809,982.10","122,954,844.76","210,931,061.63","17,678,430.85","87,724,895.74","153,709,503.08","371,316,350.37","104,241,926.01","220,671,305.14","299,748,840.21","385,017,546.36","32,217,461.69","117,687,688.71","239,978,521.74","411,909,799.83","6,200,418.33","91,030,499.83","207,941,529.19","433,307,828.58","227,055,609.49","341,469,210.05","626,536,968.59","794,799,351.95","191,739,443.50","402,119,168.20","626,021,414.80","672,007,490.01"
减:营业成本,"192,515,897.35","241,336,954.14","290,706,757.18","149,905,925.00","237,205,217.04","412,438,900.53","80,186,158.06","164,840,608.43","335,205,403.71","582,933,529.02","92,541,361.08","219,093,428.27","355,512,718.63","485,656,681.72","77,917,465.75","154,209,521.93","351,518,015.80","739,077,993.59","144,628,064.29","274,407,904.56","564,085,020.08","1,010,175,822.41","211,034,186.87","344,518,332.60","560,839,876.82","875,201,635.75","373,755,002.01","583,480,748.87","989,790,512.83","1,082,539,615.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"12,806,013.58","16,363,042.63","18,594,968.44","9,790,970.77","17,541,627.78","26,211,690.86","4,289,886.05","12,487,839.57","19,525,732.02","21,461,213.94","1,260,819.22","1,992,593.91","5,583,824.96","7,237,662.96","950,373.64","2,376,486.97","3,843,069.64","8,416,655.54","321,380.58","555,342.03","871,786.08","1,919,547.87","461,211.95","1,506,373.61","2,682,780.14","5,590,298.37","809,401.33","1,810,810.26","3,385,235.65","4,988,802.45"
营业外收入,"1,747,394.00","5,149,753.59","16,433,082.85","574,012.00","1,179,649.36","3,996,720.77","8,741,988.29","12,252,382.54","13,158,071.02","21,214,523.56","3,128,826.00","5,538,469.79","7,763,074.35","24,630,223.92","281,261.20","2,452,911.72","3,212,288.61","19,790,827.50","6,378,382.20","13,246,474.33","14,465,631.45","21,751,132.99","5,907,071.92","19,280,933.51","29,761,076.49","40,503,523.07","766,111.61","9,224,899.30","22,173,098.39","162,136,175.23"
销售费用,"10,001,628.11","11,046,657.34","12,401,459.16","6,060,398.89","9,593,918.70","13,026,140.44","3,437,343.30","5,472,886.67","8,379,090.16","17,133,198.97","4,244,475.83","7,520,699.47","10,636,185.70","11,788,270.61","2,744,074.46","5,466,883.57","8,832,135.08","10,142,133.61","2,019,608.10","3,719,143.31","5,887,072.04","13,030,190.33","9,049,323.36","21,581,722.96","50,674,794.97","69,318,363.77","18,890,249.45","41,613,151.18","61,899,190.89","82,438,213.17"
减:营业外支出,"1,050,565.35","724,869.17","612,182.07","8,781.66","33,781.66","36,558.91","5,005.00","6,509.36","108,772.29","108,772.29","25,000.00","1,275,000.00","1,275,000.00","3,500,814.90",161.75,"29,985.48","945,029.62","5,616,234.83","2,392.68","122,325.67","392,890.35","998,787.49","198,191.20","2,888,435.32","7,418,481.93","19,628,171.24","90,564.70","272,420.38","414,668.45","10,533,942.21"
管理费用,"28,405,596.04","32,978,063.00","32,450,060.88","15,825,966.90","24,920,413.92","36,254,488.21","9,244,402.93","19,763,084.11","32,943,924.32","49,511,664.45","12,622,108.32","25,624,314.29","37,475,149.56","50,079,598.67","12,037,072.56","23,750,689.88","37,872,484.17","53,826,032.40","15,805,083.29","31,808,387.55","48,352,557.24","86,976,534.37","20,993,277.59","58,497,992.55","94,880,278.82","151,618,553.93","40,884,721.53","80,719,920.53","120,721,056.40","174,935,887.33"
其中:非流动资产处置净损失,"30,328.35","66,801.10","31,248.98",,,"11,558.91",,"6,509.36",,"8,772.29",,,,"1,614.90",,,,,,"63,976.67",,"83,993.04",,"65,905.82","67,514.52","78,488.58","50,757.36","193,630.57","286,499.96",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
