科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"202,637,687.04","260,261,561.06","314,924,970.79","152,966,245.82","262,704,242.25","248,902,316.77","56,139,830.86","163,029,265.45","270,206,215.03","401,145,241.46","114,953,328.95","235,147,011.05","352,391,135.93","529,424,467.93","148,356,237.74","321,985,306.25","488,462,644.46","669,347,345.83","150,191,592.41","320,143,484.53","494,768,165.49","679,079,559.85","168,631,646.60","362,686,462.35","545,417,709.74","769,685,426.34","177,492,022.28","392,764,356.62","644,323,842.98","855,649,605.51","305,247,631.45","554,518,397.49"
取得子公司及其他营业单位支付的现金净额,,,,,,,"165,000,000.00","124,301,453.63","124,301,453.63","124,301,090.01",,,,"270,219,528.06",,,,"70,117,287.89",,,,"5,567,569.47",,"63,923,502.20","32,573,502.20","32,573,502.20",,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","70,000,000.00","70,000,000.00","78,379,751.85","83,234,366.37",,
收到其他与经营活动有关的现金,"931,458.48","68,432,137.64","10,338,096.59","1,356,370.89","1,881,221.07","4,706,227.49","2,918,004.35","5,827,484.22","9,204,796.89","13,420,027.17","1,895,059.49","3,418,302.08","4,312,063.23","22,389,690.45","414,434.43","2,495,186.86","5,013,364.63","22,876,971.95","7,527,635.24","12,289,971.58","13,781,611.47","27,628,527.76","511,120.85","8,437,287.36","13,151,711.81","18,392,699.49","3,316,242.07","11,621,750.59","14,584,825.48","31,491,194.02","4,752,174.22","15,472,685.48"
投资活动现金流出小计,"882,297.85","12,326,221.47","47,777,159.99","25,488,038.03","31,861,493.62","66,032,172.79","169,658,418.44","133,740,542.21","155,888,156.68","169,679,939.04","15,244,709.65","47,268,041.15","261,799,211.33","328,130,788.81","2,244,631.49","42,768,583.41","78,451,388.07","211,076,950.34","63,702,318.13","194,923,351.65","222,261,621.72","258,302,399.53","74,232,864.70","96,148,549.41","102,631,585.84","181,004,205.46","86,356,142.43","103,584,487.80","186,239,714.15","184,305,392.67","15,252,843.39","37,162,394.85"
经营活动现金流入小计,"203,569,145.52","328,693,698.70","325,263,067.38","154,322,616.71","264,585,463.32","253,608,544.26","59,057,835.21","168,856,749.67","279,411,011.92","414,565,268.63","116,848,388.44","238,565,313.13","356,703,199.16","551,814,158.38","148,770,672.17","324,480,493.11","493,476,009.09","692,224,317.78","157,719,227.65","332,433,456.11","508,549,776.96","706,708,087.61","169,142,767.45","371,123,749.71","558,569,421.55","788,078,125.83","180,808,264.35","404,386,107.21","658,908,668.46","887,140,799.53","309,999,805.67","569,991,082.97"
投资活动产生的现金流量净额,"51,746,863.75","-12,326,221.47","-46,332,909.99","-25,488,038.03","-31,861,493.62","-66,032,172.79","-169,658,418.44","-133,740,542.21","-155,888,156.68","-148,900,756.51","5,959,390.35","4,056,658.85","-210,474,511.33","-274,259,032.86","13,153,244.80","31,602,809.03","41,812,472.41","-30,486,907.05","-27,954,179.16","-105,210,306.70","-132,077,587.82","-158,883,953.93","-74,232,575.81","-92,723,583.47","-88,601,842.95","-155,756,528.37","-86,347,642.43","-94,272,534.62","-38,150,203.63","-4,390,184.14","-13,872,603.39","-34,934,919.97"
购买商品、接受劳务支付的现金,"91,994,415.62","134,292,992.83","120,470,135.72","70,761,404.56","146,965,375.00","107,183,053.44","17,751,264.09","38,221,241.84","68,731,635.67","90,272,903.11","20,199,754.93","40,670,958.69","58,292,843.59","102,084,650.89","30,899,989.82","63,453,666.36","91,999,843.58","128,447,214.22","37,236,259.59","71,707,924.59","112,738,925.87","158,832,645.85","31,096,688.22","108,966,874.26","161,712,150.93","199,844,826.10","40,559,322.73","101,679,439.84","173,070,031.27","199,029,133.87","72,651,392.65","74,395,438.63"
吸收投资收到的现金,,,,,"404,430,000.00","404,430,000.00",,,,,,,,,,,,"13,000,000.00",,,"200,987,750.00","200,629,756.94",,"1,500,000.00","1,500,000.00","18,500,000.00",,"8,000,000.00","8,000,000.00","1,500,000.00",,
