科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
资产减值损失,"-777,260.23","628,936.12","733,766.92","-389,604.33","323,070.83","301,525.62","4,416,980.59","-5,071,191.56","612,819.95","-312,432.46","4,965,880.97","-1,698,164.87","-1,415,702.68","-1,528,533.84","2,195,443.80","68,654.18","1,951,902.18","1,028,111.52","1,883,355.80","39,135.31","2,716,377.98","14,590,098.24","536,572,221.02","-24,400.56","-3,008,007.27","-2,594,762.24","4,568,439.30","2,844,620.43","2,590,693.50","363,732.68","1,185,916.22","912,727.64"
减:所得税,"8,758,277.29","24,132,468.22","31,478,970.98","7,282,623.35","16,501,900.62","22,718,613.90","19,233,509.42","5,113,226.07","9,211,233.62","12,547,498.25","13,854,271.67","3,758,643.23","6,684,235.74","8,006,988.75","5,976,743.51","2,837,205.64","2,286,394.98","-203,942.47","-7,851,195.83","-979,432.08","339,538.20","-4,645,664.77","-53,075,854.10","27,805,290.60","28,609,373.58","-3,397,510.00","-1,197,460.48","1,186,416.97","987,173.57","1,899,482.02","606,534.04","488,278.43"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"147,945.21","147,945.21","147,945.21","147,945.21",,,,,,,,,,,,"-101,578.40","-55,138.81","-157,691.85","-421,413.83","-647,517.23","1,049,333.75","909,511.67","610,650.71","681,464.49","-265,871.82","-507,210.56","-540,999.09","-800,821.13","52,605.94"
四、净利润,"38,104,511.12","93,352,890.01","110,095,172.21","22,699,079.82","50,092,327.47","70,071,529.00","102,361,286.81","23,624,934.15","45,357,298.30","59,443,895.56","74,383,529.57","18,441,963.58","29,540,207.01","33,601,958.17","33,330,721.44","51,611,643.94","83,895,384.31","91,591,994.08","65,825,964.44","-4,200,949.37","-1,086,504.56","-18,787,312.66","-445,079,207.90","194,636,631.32","194,912,135.99","7,496,749.93","1,152,807.46","9,883,137.80","14,158,705.28","11,992,912.57","11,447,441.53","9,266,314.13"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,"-157,691.85","-421,413.83","-647,517.23","-337,091.54","-476,913.62","-817,295.95","-746,482.17","-265,871.82","-507,210.56","-654,849.09","-800,821.13","52,605.94"
归属于母公司所有者的净利润,"38,104,511.12","93,352,890.01","110,095,172.21","22,699,079.82","50,092,327.47","70,071,529.00","102,361,286.81","23,624,934.15","45,357,298.30","59,443,895.56","74,383,529.57","18,441,963.58","29,540,207.01","33,601,958.17","33,330,721.44","41,175,782.37","63,144,381.53","65,218,088.08","36,503,754.19","-4,758,583.83","-5,441,482.17","-22,907,754.05","-448,230,152.73","199,675,985.87","202,327,267.19","17,831,662.84","17,935,300.45","11,355,205.27","16,273,053.58","16,179,298.00","18,875,729.01","9,308,680.29"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,"10,435,861.57","20,751,002.78","26,373,906.00","29,322,210.25","557,634.46","4,354,977.61","4,120,441.39","3,150,944.83","-5,039,354.55","-7,415,131.20","-10,334,912.91","-16,782,492.99","-1,472,067.47","-2,114,348.30","-4,186,385.43","-7,428,287.48","-42,366.16"
