科目,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"352,680,808.92","486,428,400.09","416,420,370.64","415,405,833.79","522,027,916.85","517,662,548.33","470,481,859.66","489,573,925.66","502,011,579.78","1,289,141,437.97","1,245,782,621.80","1,243,492,476.11","1,293,814,174.47","1,704,417,617.38","1,299,135,336.63","1,140,814,929.39","1,123,867,744.03","673,626,692.58","227,530,589.74","219,990,819.92","201,325,720.59","371,610,180.86","345,566,190.27","487,309,674.75","534,616,814.87","536,645,020.61","1,000,205,184.52","1,012,218,289.51","1,087,895,809.72","258,323,702.15","366,917,003.13"
短期借款,,,"100,000,000.00","100,000,000.00","130,000,000.00","150,000,000.00","60,000,000.00","114,000,000.00","114,000,000.00","94,000,000.00","64,000,000.00","60,000,000.00","60,000,000.00","50,000,000.00","30,000,000.00","20,000,000.00","10,000,000.00",,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"2,718,384.35","1,830,689.35","2,589,629.35","232,192.16","198,548.16","127,391.96","374,347.49","22,412.70","189,936.77","37,925.00","690,659.91","30,151.28","270,033.71","48,805.79","695,643.36",,"160,254.40",,,,"100,000.00",,,,"7,080,456.38","8,347,294.89","19,597,041.73",,,,
应付账款,"18,290,573.09","25,222,758.11","25,783,851.22","68,906,099.66","25,887,250.39","11,926,714.70","32,570,120.60","34,599,423.25","37,446,728.48","33,432,435.67","34,417,980.22","31,165,071.11","33,596,892.10","32,574,087.73","13,016,264.90","16,951,627.19","14,365,585.30","10,102,905.35","2,813,117.85","6,099,789.24","5,978,260.24","5,853,645.42","5,713,427.82","9,334,304.82","7,586,488.42","7,499,488.42","6,650,084.42","8,950,927.00","6,177,563.00","6,041,086.80","6,018,214.50"
预付款项,"2,961,544.96","2,253,337.60","309,400.00","19,561,762.00","35,587,879.00","36,474,528.66","28,900,000.00","73,682,353.18","144,067,613.18","206,304,732.52","341,894,179.18",,"14,845,502.25","83,975,246.25","170,974,682.32",,,,,"140,440.00","140,440.00","140,440.00","140,440.00",,,"121,800.00","2,537,449.00",,,"47,000.00","107,527.50"
预收款项,140.00,,,"709,130.00",,,,,,,,"187,500.00","187,500.00","187,500.00","255,500.00",,,,,,,,,,,,,,,,
其他应收款,"11,237,674.56","14,188,436.32","221,552,596.25","7,476,310.93","6,663,243.71","15,933,716.04","16,591,689.62","8,441,467.88","11,984,698.04","9,463,871.98","10,159,764.69","22,591,492.57","27,285,890.25","27,427,313.35","26,150,945.89","8,710,908.71","24,744,858.60","17,489,551.03","46,017,724.79","24,232,269.83","22,690,182.43","60,533,946.65","119,213,642.67","5,610,830.50","36,627,357.46","66,028,067.61","63,166,439.11","77,313,182.98","75,974,380.83","30,212,587.62","105,118,285.67"
应付职工薪酬,"1,882,289.96","3,530,843.72","3,475,953.39","210,146.41","814,328.79","761,287.97","3,642,780.43","6,873,447.51","7,653,697.48","5,159,783.11","1,409,410.80","5,746,414.74","3,907,212.12","2,980,008.00","761,135.79","5,990,480.18","6,724,102.59","4,316,178.80","5,161,894.62","5,292,496.49","4,519,356.10","1,274,844.58","2,647,511.75","13,290,287.40","13,194,600.69","13,123,842.69","14,640,713.57","15,849,354.95","12,305,424.91","12,237,065.63","2,468,051.55"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"74,871,329.93","77,375,204.48","55,918,236.26","54,642,193.94","77,142,767.45","57,049,054.49","79,956,589.54","53,845,675.27","57,874,772.52","72,804,681.71","88,907,334.80","78,627,523.64","78,278,428.29","85,667,605.83","123,895,169.82","140,529,518.96","115,714,729.08","92,207,642.41","90,245,499.30","106,369,050.10","128,429,435.83","90,925,564.36","92,407,479.02","69,796,111.24","74,178,202.59","84,593,004.14","107,502,196.93","71,100,296.08","83,505,929.82","79,553,609.01","105,942,733.94"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,022,750.00","80,555.55",,
应付利息,,,,,,,,,,"1,100,000.00","12,100,001.00","23,100,002.00","34,100,003.00","1,100,000.00","12,100,001.00","23,100,002.00","34,100,003.00","1,099,998.50","12,099,999.50","23,210,006.00","34,210,006.01","1,210,006.02","12,210,006.03","23,210,006.04","34,210,006.05","1,210,006.06","12,210,006.07","26,672,309.08","37,909,227.16",,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"17,098,200.00",,,,,,,,,,,,"38,195,430.85",,,,,,,,,,,,"28,646,573.13",
存货,"771,477.48","771,477.48","771,477.48",,,"2,170.74","2,388.13","9,582.60","5,560.00","6,941.50","6,208.50","7,831.00","7,492.00","635,139.44","413,891.58","440,363.36","253,970.00","717,165.20","622,252.50","195,879.89","377,671.39","814,552.70","1,200,596.00","352,006.80","372,804.80","798,693.75","1,175,587.09","564,165.70","279,477.70","345,572.10","618,298.80"
其他应付款,"119,777,639.94","161,454,958.62","92,317,697.45","110,100,768.71","104,085,781.71","137,395,787.33","80,190,937.59","141,126,873.05","121,438,764.00","151,368,441.31","127,459,162.83","154,340,053.04","133,864,483.30","562,521,374.05","414,142,343.62","477,588,804.65","495,932,598.02","457,102,630.07","608,593,881.96","559,761,277.62","486,912,687.42","444,667,868.43","485,839,395.16","516,875,578.47","457,245,335.82","460,203,161.73","457,441,945.09","440,940,334.93","272,511,295.33","275,205,043.89","277,735,580.85"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
