科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"548,363,132.52","582,752,013.68","559,420,132.68","371,942,537.17","488,305,659.98","113,598,324.70","223,787,282.40","345,398,472.36","448,595,640.90","102,555,770.22","207,965,317.99","328,971,057.08","450,378,618.80","133,224,729.02","284,334,053.62","450,540,814.67","602,898,708.81","164,295,406.81","349,208,852.93","539,380,840.18","697,831,631.05","192,878,575.35"
二、营业利润,"77,803,153.35","84,458,777.93","92,660,832.30","49,953,053.40","67,176,816.84","14,582,009.28","27,611,132.68","47,763,943.80","61,468,983.43","8,367,688.37","15,961,531.78","30,701,238.70","47,082,225.33","11,496,853.39","27,824,470.39","54,580,315.60","74,121,453.57","16,756,740.16","47,415,590.13","63,551,529.50","55,114,712.13","18,098,307.87"
减:营业成本,"292,249,482.46","307,197,988.45","281,008,081.85","190,561,116.68","252,708,846.55","57,545,712.67","115,230,282.16","178,827,698.14","231,375,945.86","57,640,771.62","116,383,845.36","179,871,981.08","245,688,206.08","76,435,212.59","159,552,589.77","249,747,278.19","331,566,942.42","92,493,881.30","191,106,360.36","297,340,781.10","408,069,905.68","111,539,605.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,789,501.35","6,261,164.40","6,432,864.64","4,359,416.29","5,307,474.59","1,086,835.54","2,150,984.87","3,444,557.28","4,277,993.92","1,305,256.63","2,277,805.39","3,938,761.77","7,128,558.90","1,903,862.22","4,146,302.95","6,302,390.22","8,377,446.10","2,351,796.78","4,182,201.77","6,184,215.72","8,610,438.68","2,255,921.63"
营业外收入,"6,945,238.88","2,153,731.29","3,965,203.00","2,120,173.46","3,378,127.73","419,762.82","825,323.08","1,201,043.08","3,227,968.58","452,250.01","1,045,768.74","1,566,070.87","3,856,540.23","613,984.17","56,242.79","126,053.17","302,937.71",188.63,"3,167.79","4,953.50",952.30,
销售费用,"104,956,238.26","121,637,503.15","115,181,260.03","82,500,624.76","105,161,650.91","24,515,957.05","50,828,015.58","75,667,172.73","98,367,489.28","20,685,819.04","43,915,808.95","69,455,154.95","95,283,604.19","22,393,622.89","51,090,949.13","78,905,240.52","104,790,329.47","27,237,471.92","56,079,614.94","93,093,744.01","127,187,381.09","31,172,902.24"
减:营业外支出,"3,886,045.77","2,558,581.30","1,529,599.21","619,060.19","2,711,930.56","2,225,734.99","2,402,367.13","3,897,882.60","4,179,812.32","395,008.57","2,005,771.42","3,207,154.58","3,287,508.92","442,561.03","1,416,695.44","2,739,771.19","3,424,736.35","414,954.09","829,976.54","1,207,480.29","2,280,208.05","55,973.12"
管理费用,"51,464,345.06","53,238,988.41","56,510,084.13","39,927,449.63","51,996,725.18","12,911,362.22","26,538,581.15","40,200,524.91","56,870,286.38","14,131,060.86","30,966,386.85","46,585,223.01","60,543,332.01","16,304,514.20","35,266,953.58","51,608,231.44","72,221,672.05","18,452,026.01","41,101,455.88","51,546,549.01","70,365,209.60","19,093,609.56"
其中:非流动资产处置净损失,,"89,176.13","199,414.04",,"1,578.95","5,187.18","5,187.18","10,705.77","34,938.28",,"8,414.60","83,045.06","102,638.56","90,615.58","147,583.66","382,780.05",,,,,,
