科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,527,219,913.85","1,970,391,492.50","1,432,236,928.61","1,311,965,099.61","1,186,825,564.16","4,073,632,407.14","3,071,222,224.78","3,501,999,705.99","3,025,394,105.18","3,650,992,841.00","3,211,063,216.42","3,344,140,215.18","3,361,264,044.70","3,347,242,501.92","3,751,293,293.62","3,201,883,602.62","2,631,181,133.50","2,881,923,546.99","4,708,762,060.42","5,315,111,424.07","4,349,441,786.25","3,014,212,118.81","3,449,293,443.18","3,530,990,441.03","3,716,537,879.89","3,300,563,308.54","4,738,001,253.81","6,914,811,287.58","6,169,253,924.20","3,412,689,116.96","4,588,279,089.45","5,070,493,912.28","7,977,282,183.70","8,166,557,185.31","8,390,271,059.51"
短期借款,"2,062,632,550.47","2,452,328,406.19","1,409,788,390.80","2,093,896,642.88","2,024,261,296.05","1,566,600,397.00","1,348,655,976.46","2,803,718,314.63","3,203,105,732.42","3,817,613,040.41","4,723,017,989.93","4,627,944,733.24","5,717,409,070.00","6,661,281,665.33","7,726,138,987.51","8,267,639,742.28","9,568,739,895.77","9,444,040,204.21","11,169,178,966.29","10,691,405,817.85","9,813,108,075.04","9,312,877,700.77","10,922,128,201.98","10,949,705,971.44","12,828,147,242.03","12,036,914,857.01","14,459,843,653.96","14,689,496,611.54","11,854,045,084.68","7,802,788,616.81","10,290,349,233.86","13,535,346,152.11","13,856,869,049.03","17,345,632,222.27","18,938,692,492.30"
交易性金融资产,"33,952,930.00",,,"3,838,320.00",,"3,606,832.44",,,,,,,"38,660,402.00",,,"45,429,975.90","17,699,318.50","102,308,794.50","23,226,000.00",,"23,427,508.00",,"16,249,634.63","1,452,500.00","770,000.00","1,062,510.00","1,736,320.00","45,218,819.75","40,769,296.17","193,411,499.73","2,936,430.00","75,859,657.56","406,738,930.93","265,478,660.58","98,333,919.63"
交易性金融负债,,,,"1,011,598.77",,,,,,,,,,,,,,,,,,,,,,"1,098,580.00",,"5,179,000.00","1,306,030.00","115,976,706.94","11,505,118.27","10,315,050.70","35,832,690.70","151,770,210.66","123,389,945.84"
应收票据,"242,322,862.04","123,541,160.26","206,806,137.37","525,558,246.90","695,348,926.10","648,885,751.07","1,426,620,817.96","901,626,368.82","2,871,377,824.28","1,600,859,169.61","1,334,964,807.23","773,204,915.36","1,338,260,896.81","1,208,970,943.77","1,077,053,802.99","2,595,795,458.32","3,717,079,900.26","3,041,540,870.50","4,723,696,338.57","2,107,453,643.42","1,373,708,583.89","510,172,199.13","814,397,680.73","1,222,372,726.99","1,768,533,003.66","434,498,384.40","990,392,291.29","761,211,331.88","953,761,171.18","448,478,204.65","727,143,599.67","1,404,182,086.80","2,221,304,133.03","853,265,473.92","1,794,637,374.71"
应付票据,"1,325,650,000.00","1,926,470,000.00","778,820,000.00","751,910,592.50","882,000,000.00","840,000,000.00","868,000,000.00","1,304,616,000.00","1,038,648,925.00","1,293,329,525.00","1,059,880,000.00","2,935,967,600.00","3,501,291,200.00","4,407,518,113.20","5,786,183,207.70","6,032,925,876.65","4,840,945,351.61","4,924,597,046.72","7,456,928,704.97","6,828,786,272.05","6,849,403,154.68","5,783,328,484.04","5,288,873,359.35","5,093,769,914.29","4,925,131,435.15","4,438,275,966.76","4,560,276,029.01","4,766,253,093.24","3,203,340,605.59","3,874,777,899.66","4,095,327,813.85","3,991,518,355.33","2,824,281,932.46","1,902,462,187.50","4,483,610,263.21"
应收账款,"99,371,170.76","93,323,883.12","4,907,202.99","19,251,134.98","25,591,917.22","74,230,002.16","33,920,015.94","584,783,481.22","20,410,276.10","740,645,700.55","22,723,426.59","262,363,247.23","273,677,505.02","367,369,188.16","240,924,511.23","628,492,053.86","832,596,046.36","610,698,628.26","267,548,481.12","868,039,197.43","932,593,217.38","152,395,728.34","288,474,201.09","296,373,356.83","525,914,584.60","347,917,046.48","605,622,475.53","396,879,858.45","498,895,022.05","440,940,380.63","1,084,045,089.40","747,091,530.99","429,695,654.24","617,168,278.28","1,053,663,774.26"
应付账款,"352,793,937.88","503,694,680.31","903,670,008.75","846,151,808.75","698,528,171.10","886,367,755.36","1,304,222,628.05","1,020,208,538.43","1,956,472,979.17","1,724,648,729.62","897,690,803.34","611,298,657.80","1,105,609,307.90","1,345,947,346.32","1,127,632,078.65","519,663,615.80","1,597,474,643.99","1,682,160,294.02","2,784,819,241.00","1,419,214,007.66","2,525,377,176.24","3,459,298,056.43","2,051,623,963.50","3,242,241,328.67","4,035,664,555.39","3,408,977,790.82","3,336,029,691.76","2,699,949,864.42","2,525,078,160.67","2,910,801,017.74","2,382,837,368.62","2,226,397,231.61","4,487,004,374.43","6,031,191,484.14","7,068,890,914.46"
预付款项,"400,358,205.89","395,169,644.47","205,932,287.58","459,972,508.93","768,418,152.95","611,526,657.94","916,291,996.24","1,394,754,140.27","1,830,628,317.73","2,007,449,763.68","2,431,803,705.55","2,629,528,796.96","2,907,515,499.77","2,096,858,545.80","1,900,221,978.23","2,558,726,794.37","3,404,545,002.77","2,619,278,617.62","3,666,632,683.25","2,992,544,981.94","4,987,256,409.53","829,265,020.31","1,516,756,315.11","2,535,000,897.38","3,400,152,947.54","2,014,197,605.47","3,237,384,720.43","5,134,729,827.10","3,967,496,554.10","2,833,161,751.62","3,979,974,716.35","3,010,380,778.09","6,553,494,123.25","1,662,386,247.60","3,296,047,624.25"
预收款项,"24,284,544.76","35,399,544.27","77,479,397.66","37,472,831.36","142,805,903.64","134,770,427.13","98,782,681.50","162,877,295.91","465,845,625.35","223,059,057.06","295,608,809.87","360,025,123.07","386,250,023.18","202,309,110.82","295,635,556.85","243,831,647.82","476,155,748.32","104,372,391.29","327,958,877.55","45,115,849.67","263,788,039.03","171,678,413.56","353,384,965.82","100,822,054.34","308,395,978.81","346,834,447.07","352,176,234.96","369,929,257.45","1,298,730,336.04","998,159,180.41","1,286,024,731.54","1,167,593,997.40","1,050,876,137.04","879,279,831.14","673,988,605.53"
其他应收款,"4,412,371.40","81,485,960.09","13,569,438.65","9,435,537.02","8,904,030.86","17,219,392.99","29,994,222.85","37,526,867.25","46,825,432.85","37,621,559.78","145,940,721.11","351,289,444.72","861,107,356.34","872,550,909.29","653,205,104.29","556,432,393.56","436,036,591.18","39,935,165.82","33,005,031.11","40,230,570.76","42,030,633.79","54,632,711.82","179,948,734.77","554,651,570.55","1,110,083,828.60","1,715,656,885.46","1,313,804,043.27","1,019,273,306.52","1,869,301,601.49","1,864,213,921.10","2,597,118,071.85","2,296,507,381.54","2,064,909,510.98","1,518,081,720.14","1,881,318,710.04"
应付职工薪酬,"36,604,937.30","26,838,263.10","39,541,192.40","24,583,444.71","28,870,016.70","73,474,573.75","36,840,998.93","46,671,326.54","52,448,226.64","78,479,697.10","43,285,962.68","49,713,306.38","55,988,530.57","92,181,565.42","49,704,845.94","57,970,059.79","63,532,873.01","102,784,477.08","27,872,874.04","42,258,247.80","51,775,983.35","97,774,249.63","29,135,904.64","56,872,532.92","54,696,491.96","118,706,213.83","34,291,437.00","46,721,542.71","57,650,265.12","119,790,028.13","41,690,831.13","63,516,304.66","74,768,074.50","209,309,502.55","54,577,250.09"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-16,589,695.90","-277,487,544.62","-29,511,162.36","148,686,262.72","148,646,884.19","207,300,994.39","141,877,894.21","21,752,766.66","122,519,932.94","-66,775,746.08","-10,007,777.31","-300,527,739.18","-392,954,110.24","18,230,166.72","8,650,637.45","3,679,580.42","19,772,504.89","15,221,040.21","25,558,434.39","4,986,433.60","4,338,417.16","21,920,994.62","11,445,161.91","29,600,211.51","53,310,966.34","106,795,993.89","127,779,739.09","227,335,636.63","284,222,944.25","84,319,089.55","124,343,549.57","99,798,001.04","100,968,954.63","160,057,551.68","135,327,810.29"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,"4,433,543.01","9,346,929.19","5,560,884.32","5,294,897.32","4,860,718.84","3,492,345.36","3,344,438.34","4,824,172.53","4,918,667.11","12,357,698.28","16,688,001.19","6,199,324.09","11,634,837.70","22,478,623.84","29,328,340.40","15,662,966.32","35,986,094.58","21,880,001.60","17,130,915.20","23,270,140.84","28,632,312.35","65,761,427.38","88,736,549.22","91,088,358.35","39,675,193.33","42,935,817.94","72,024,539.78","69,043,197.83","34,798,471.31","42,868,440.81","56,520,890.43","69,188,594.88","26,475,335.06","38,776,543.94","54,167,940.78"
应收股利,,"27,860,000.00",,,,,,,,,,,,,,,,,,"14,407,235.00",,,,,,,,,,,,,,,
应付股利,,,,,,,,"240,000,000.00",,,,"425,000,000.00","175,000,000.00",,,,,,,,,,,,,,,,,,,,,,
存货,"723,848,262.57","636,333,681.93","922,007,320.35","888,272,936.81","766,055,379.15","772,172,692.83","1,549,255,181.83","1,429,068,608.08","1,438,777,435.49","1,232,705,671.74","1,818,553,995.61","2,382,593,944.27","1,401,226,622.09","1,744,413,052.48","3,614,917,441.40","1,791,862,734.04","1,655,675,891.48","2,024,694,207.78","3,089,028,880.69","2,168,668,670.79","2,357,486,465.03","1,836,373,084.99","1,689,567,824.26","1,518,661,248.04","3,420,826,337.69","2,194,356,268.86","3,331,744,522.53","2,436,821,513.45","2,166,568,308.57","2,459,953,475.27","2,487,955,194.93","2,903,975,989.20","3,307,479,392.16","4,307,722,397.79","5,308,597,278.96"
其他应付款,"118,168,843.24","56,141,675.31","22,573,865.17","14,901,548.38","24,658,391.02","29,547,127.53","41,718,199.80","35,309,561.29","27,834,151.41","62,845,379.06","15,271,306.54","51,188,591.70","227,209,960.58","47,243,255.44","50,371,544.20","49,830,197.30","47,521,046.36","73,709,400.60","143,530,869.42","450,472,545.05","1,141,378,732.43","23,440,587.18","1,975,093,049.81","3,494,682,761.16","5,593,936,506.32","704,399,820.80","2,477,227,333.74","81,698,689.84","71,704,446.70","24,220,045.61","97,648,468.52","59,354,140.10","3,653,166,855.26","1,899,849,155.75","3,893,828,088.45"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"240,012,500.00","413,855,900.00","341,756,100.00","420,541,450.00","606,467,000.00","275,043,000.00","270,083,250.00","382,549,500.00","393,357,500.00","424,122,500.00","406,525,000.00","187,137,500.00","387,327,300.00","1,020,055,900.00","938,386,000.00","1,211,459,450.00","1,132,769,600.00","627,612,800.00","504,540,000.00","845,781,405.93","726,144,395.71","1,691,318,609.57","1,480,497,246.28","1,233,784,000.00","1,163,016,000.00","161,803,160.00","1,281,218,990.00","2,273,288,700.00","2,145,080,430.00","2,858,597,440.00","2,333,796,840.00","2,316,995,120.00","2,276,733,160.00"
其他流动资产,,,,,,,,,,,,"53,869,798.29",,"860,584,995.02","1,174,487,037.63","996,889,652.81","763,396,557.52","950,656,678.30","742,573,591.94","566,429,626.11","886,045,059.13","1,300,699,594.42","1,294,372,015.80","1,272,037,391.87","1,359,984,541.79","1,790,921,473.65","1,611,768,457.83","1,191,808,496.99","935,061,443.68","2,161,571,232.56","1,085,203,979.46","2,114,569,852.40","1,678,121,905.53","1,386,521,276.67","1,521,168,704.66"
其他流动负债,,"17,220,000.00","93,419,659.90","91,177,141.97","98,691,229.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"3,031,485,716.51","3,328,105,822.37","2,785,459,315.55","3,218,293,784.25","3,451,143,970.44","6,201,273,736.57","7,027,304,459.60","7,849,759,171.63","9,233,413,391.63","9,270,274,706.36","8,965,049,872.51","9,796,990,362.01","10,181,712,326.73","10,497,990,136.44","12,412,103,169.39","12,375,512,665.48","13,458,210,441.57","12,271,036,509.77","17,254,473,067.10","14,072,885,349.52","14,951,989,663.00","7,697,750,457.82","9,249,059,849.57","10,931,540,132.69","15,302,803,123.77","11,799,173,482.86","15,830,454,084.69","17,900,754,441.72","16,601,107,321.44","13,814,419,582.52","16,552,656,171.11","17,623,061,188.86","24,639,025,833.82","18,777,181,240.29","23,344,038,446.02"
流动负债合计,"3,907,978,660.76","4,749,951,953.75","3,541,354,736.64","4,428,942,669.36","4,395,078,711.08","4,162,095,070.52","4,449,909,817.29","5,915,020,975.99","7,141,877,490.04","7,528,106,880.45","7,434,792,596.24","9,190,932,097.10","11,193,963,819.69","12,984,327,347.09","15,460,972,498.70","16,211,259,586.38","17,588,514,158.53","17,580,224,305.73","23,085,748,482.86","20,133,122,114.52","21,182,341,890.28","19,781,861,319.54","21,446,565,551.94","24,750,101,742.25","29,319,455,615.61","22,438,723,488.12","26,582,664,659.30","23,117,410,053.66","20,612,095,334.36","18,246,989,725.66","20,531,328,435.79","24,081,625,267.83","28,444,040,243.11","30,935,323,809.63","37,703,206,470.95"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"570,000,000.00","2,311,460,000.00","2,612,217,500.00","1,827,724,500.00","1,609,615,500.00","1,048,599,750.00","845,775,000.00","840,475,000.00","753,745,000.00","990,107,150.00","773,952,300.00","1,380,396,117.00","1,365,048,500.00","1,557,387,750.00","1,463,326,400.00","779,581,200.00","815,814,428.33","1,159,560,482.66","1,044,210,358.88","1,804,067,920.81","1,800,237,345.48","979,040,000.00","1,105,596,000.00","125,000,000.00","750,000,000.00","1,110,070,120.00","1,108,273,540.00","7,009,763,680.00","7,495,286,720.00","6,557,548,450.00","6,550,127,205.00","5,454,846,720.00","5,816,642,320.00","5,144,792,950.00","5,118,398,725.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,"994,641,954.17","995,072,954.66","843,970,526.25","844,357,694.38","844,751,893.02","845,153,249.86","845,561,894.87","845,977,960.39","846,377,497.12","846,787,364.30","847,204,663.81","847,629,530.43",,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,"33,330,000.00","33,355,969.63","33,379,578.38","33,353,608.75","33,361,061.71","33,363,606.75","22,252,867.08","22,243,454.44","22,245,799.89","22,245,799.89","11,131,911.69","11,120,184.17","11,121,202.58","15,701,372.18",,,,,,,,,,,,,,,,,,,,
长期股权投资,"748,113,373.99","724,151,876.48","1,085,343,104.82","740,600,561.05","845,322,911.68","1,113,589,022.18","1,258,071,158.68","1,611,735,599.38","1,883,891,217.82","1,931,449,262.44","2,070,263,089.44","2,070,803,352.06","2,091,749,689.92","2,063,259,327.29","2,073,516,825.84","2,100,818,311.06","2,140,719,918.15","2,607,189,914.08","2,593,077,970.23","2,883,136,271.83","2,944,325,876.59","2,734,370,875.25","2,766,919,660.29","2,877,496,577.13","2,810,647,067.29","2,760,298,309.09","2,973,937,283.74","2,990,365,759.16","3,021,957,973.44","3,034,166,614.02","3,454,445,601.35","3,497,069,507.25","3,541,555,543.80","4,155,923,807.01","4,343,898,907.74"
专项应付款,"66,670,000.00","66,670,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"123,219.20","115,362.28","107,506.45","8,644,361.50","8,600,945.62","11,287,565.43","11,740,262.82","11,853,153.36","11,785,188.90","11,064,131.45","10,912,429.30","10,932,130.97","10,780,428.82","11,081,062.21","11,024,510.96","10,967,959.71","10,911,408.46","10,854,997.77","10,798,446.52","10,741,895.27","10,685,344.02","10,628,933.33","10,561,071.83","10,515,901.11","10,425,348.83","10,402,868.91","10,335,007.45","10,267,145.95","10,199,284.45","8,625,339.40","8,557,477.90","8,489,616.40","8,421,754.90","8,434,922.06","8,367,060.56"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"1,454,400,384.92","1,480,662,354.87","4,795,825,530.21","4,622,969,647.16","4,545,307,429.90","4,542,514,786.42","4,729,963,079.44","4,656,293,321.37","5,282,549,560.07","5,293,763,958.75","5,224,477,756.54","5,258,200,977.95","5,310,199,157.98","6,035,824,784.71","5,930,153,906.62","5,813,094,757.64","10,197,878,683.20","10,522,538,607.02","10,351,529,172.52","10,181,540,413.90","10,001,041,128.69","10,166,914,116.93","9,971,377,827.27","10,887,683,290.75","13,558,923,752.04","14,647,162,522.72","14,413,587,466.23","17,850,942,693.05","19,192,348,295.95","20,839,171,677.27","20,478,709,179.74","20,130,014,605.75","19,796,429,298.74","20,714,180,329.07","20,372,165,512.17"
递延所得税负债,"2,833,477.50",,,,,"541,024.87",,,,,,,,,,,,"599,302.50","599,302.50",,,"8,156,455.98","10,593,901.17","8,374,330.98","8,271,955.98","8,258,954.36","8,347,406.36","16,805,651.62","16,034,649.21","32,351,375.39","4,942,828.20","4,355,547.49","4,394,847.49","66,526,860.45","52,834,605.65"
在建工程,"501,755,628.25","3,204,188,557.13","76,256,178.40","206,468,916.95","282,002,940.51","295,673,391.38","95,850,812.71","517,363,593.22","78,065,574.71","483,222,020.06","786,889,777.90","1,491,511,978.88","2,712,783,632.59","4,441,583,021.33","4,999,377,880.16","5,345,835,357.65","1,381,402,533.77","1,698,876,094.53","1,975,510,447.94","2,513,576,068.24","3,594,850,410.49","9,174,132,493.27","9,373,266,038.58","9,079,335,028.99","7,024,883,764.50","7,460,977,290.93","7,077,596,582.21","4,430,527,381.05","2,881,758,845.45","1,357,236,832.21","1,417,486,625.62","1,449,408,584.90","5,150,033,888.97","14,644,714,080.08","19,527,196,916.68"
其他非流动负债,,,,,,"183,475,812.43","180,886,653.25","178,297,494.07","195,237,913.38","196,710,169.95","193,839,452.83","190,828,718.17","187,817,983.51","208,855,034.71","205,246,778.84","201,638,522.99","198,155,267.14","205,953,304.62","202,156,054.99","197,980,817.80","193,805,580.61",,,,,,,,,,,,,,
