科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"222,472,144.03","255,441,109.71","207,507,361.55","96,565,232.86","135,897,903.22","210,861,150.85","52,265,454.04","122,412,852.61","171,200,973.57","281,992,323.09","61,540,440.75","166,025,182.50","245,818,438.66","369,711,010.39","85,857,020.33","197,328,021.04","303,647,826.19","431,579,736.59","123,004,643.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"71,500,000.00",,,,,,,,,
收到的税费返还,"431,609.41","6,506,130.99",,,,,,,,,,,,"8,254,600.73",,,,"131,285.19",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,388,448.03",
收到其他与经营活动有关的现金,"9,555,120.05","8,515,224.03","884,796.58","948,384.64","7,540,170.59","12,575,420.00","3,081,926.58","1,746,265.12","8,884,762.83","9,716,989.43","1,419,268.04","6,572,511.59","20,088,848.64","23,504,057.14","3,568,844.79","5,736,551.63","8,391,284.45","11,992,215.97","5,633,731.31"
投资活动现金流出小计,"80,622,822.27","39,824,865.74","18,935,997.51","5,101,263.67","7,673,556.25","18,080,319.78","5,638,922.51","16,770,412.22","31,117,558.75","124,374,260.32","16,830,830.52","53,109,342.01","134,610,803.07","178,163,482.01","40,200,900.72","94,577,620.13","106,060,393.24","114,765,639.63","48,202,400.27"
经营活动现金流入小计,"232,458,873.49","270,462,464.73","208,392,158.13","97,513,617.50","143,438,073.81","223,436,570.85","55,347,380.62","124,159,117.73","180,085,736.40","291,709,312.52","62,959,708.79","172,597,694.09","265,907,287.30","401,469,668.26","89,425,865.12","203,064,572.67","312,039,110.64","443,703,237.75","128,638,374.51"
投资活动产生的现金流量净额,"-78,757,392.14","-39,211,165.74","-18,335,477.51","-5,086,263.67","-7,658,556.25","-18,065,319.78","-5,500,024.51","-16,626,657.02","-30,973,803.55","-101,689,515.12","-16,830,830.52","-43,179,254.03","-124,680,715.09","-135,410,898.47","-40,194,955.46","-94,562,130.03","-105,867,129.10","-114,442,544.92","-40,814,646.74"
购买商品、接受劳务支付的现金,"107,195,185.16","108,784,529.75","53,440,130.19","37,434,534.65","49,235,049.31","81,740,092.65","6,834,979.05","54,712,317.57","68,897,401.84","66,943,628.63","29,242,524.18","41,531,880.04","70,866,747.06","100,421,446.80","30,589,515.25","70,416,089.56","101,915,263.53","138,828,763.59","49,457,270.83"
吸收投资收到的现金,,,,,"278,915,400.00","278,915,400.00",,,"24,534,000.00","24,534,000.00",,"4,469,000.00","4,469,000.00","4,469,000.00",,,"450,000.00","34,600,000.00",
支付给职工以及为职工支付的现金,"33,246,032.92","40,760,465.12","43,679,343.24","24,330,381.27","37,709,541.25","51,805,703.53","16,460,035.92","29,474,200.77","42,125,550.67","62,160,657.15","17,894,992.16","38,805,215.99","58,778,478.15","85,075,259.75","22,715,848.06","47,716,823.51","71,378,674.24","94,249,532.39","35,368,752.69"
取得借款收到的现金,"69,784,000.00","76,000,000.00","33,000,000.00","29,000,000.00","29,000,000.00","49,000,000.00",,"10,000,000.00","10,000,000.00",,,,,,,,,"10,000,000.00",
支付的各项税费,"21,876,197.94","25,017,847.80","35,767,137.45","17,909,131.05","24,343,317.79","36,226,764.90","10,386,510.84","15,905,812.88","25,969,222.36","39,850,635.52","15,584,729.29","27,263,118.15","44,802,827.18","53,475,208.39","11,817,565.74","22,827,358.19","37,713,720.08","46,757,313.54","12,504,274.56"
收到其他与筹资活动有关的现金,"8,800,000.00",,,,,,,"4,119,603.75","5,140,368.46","15,919,183.08",,"10,091,065.36","10,000,000.00","10,127,742.29",,,"10,000,000.00","10,000,000.00",
支付其他与经营活动有关的现金,"23,729,237.79","16,927,140.64","14,953,756.34","8,225,304.40","16,139,975.84","18,145,401.98","3,638,328.46","8,570,178.70","15,833,936.48","31,088,026.13","31,003,475.34","13,414,262.57","24,181,416.16","57,582,807.45","6,676,720.01","13,341,655.71","26,329,945.47","46,949,766.18","10,792,288.80"
筹资活动现金流入小计,"78,584,000.00","76,000,000.00","33,000,000.00","29,000,000.00","307,915,400.00","327,915,400.00",,"14,119,603.75","39,674,368.46","40,453,183.08",,"14,560,065.36","14,469,000.00","14,596,742.29",,,"10,450,000.00","54,600,000.00",
经营活动现金流出小计,"186,046,653.81","191,489,983.31","147,840,367.22","87,899,351.37","127,427,884.19","187,917,963.06","37,319,854.27","108,662,509.92","152,826,111.35","200,042,947.43","93,725,720.97","121,014,476.75","198,629,468.55","296,554,722.39","71,799,649.06","154,301,926.97","237,337,603.32","326,785,375.70","108,122,586.88"
偿还债务支付的现金,"30,444,480.00","61,000,000.00","74,000,000.00","27,000,000.00","33,000,000.00","53,000,000.00","9,000,000.00","29,000,000.00","29,000,000.00","9,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"46,412,219.68","78,972,481.42","60,551,790.91","9,614,266.13","16,010,189.62","35,518,607.79","18,027,526.35","15,496,607.81","27,259,625.05","91,666,365.09","-30,766,012.18","51,583,217.34","67,277,818.75","104,914,945.87","17,626,216.06","48,762,645.70","74,701,507.32","116,917,862.05","20,515,787.63"
分配股利、利润或偿还利息支付的现金,"9,414,452.70","16,441,102.58","16,388,856.22","13,177,700.00","13,340,500.00","13,490,650.00","85,800.00","16,211,930.32","16,343,281.45","16,234,831.63",843.56,"33,973,569.18","33,732,199.97","33,000,000.00","7,681.39","49,146,902.73","49,500,677.64","49,421,041.66","200,627.40"
收回投资收到的现金,,,,,,,,,,,,,,"7,022,495.56",,,,"22,228.71","7,000,000.00"
支付其他与筹资活动有关的现金,"304,845.00","2,059,860.00",,,"5,308,171.00","6,374,869.10","20,000,000.00",,,"20,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,"10,000,000.00","10,000,000.00","10,160,560.00",
取得投资收益收到的现金,,,,,,,,,,,,,,,"5,435.26","10,980.10","16,744.14",,"339,995.53"
