科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"162,252,343.59","402,749,410.25","862,613,900.00","186,514,819.27","407,199,261.15","648,135,792.08","852,046,879.70","117,406,319.29","288,076,981.78","615,829,648.96","1,034,505,696.92","299,942,673.31","638,123,143.88","1,126,606,711.94","1,724,817,838.15","249,063,351.68","659,131,501.19","1,186,658,756.40","2,134,859,973.79","435,577,735.65","877,927,931.03","1,413,541,081.51","2,115,807,655.73","388,518,762.47","931,340,418.09","1,390,188,501.80","2,104,323,067.78","344,618,306.82","896,113,344.76","1,156,495,214.30","1,822,409,226.54","285,403,705.81","667,666,225.80","1,060,313,810.57","1,399,622,987.71","259,391,465.92","615,576,021.63","954,553,921.94","1,382,205,158.25","327,599,746.77","919,702,794.35","1,541,730,844.73","2,163,753,735.73","510,197,990.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,148,756.02",,,,,
收到的税费返还,"1,270,732.93","19,429,662.89","54,073,200.00","8,276,921.17","27,319,438.92","41,739,673.37","55,588,638.14","7,534,410.56","12,219,933.57","12,219,933.57","37,539,560.74","14,386,671.20","25,610,273.69","33,341,336.87","66,883,301.96","7,211,305.90","10,212,570.90","11,578,220.90","61,629,090.45","7,450,593.16","25,183,935.11","41,314,802.88","60,365,723.12","16,061,775.84","29,303,097.35","50,758,751.88","74,851,277.20","13,221,562.44","35,034,094.57","56,225,721.80","78,655,624.51","9,862,585.57","28,663,488.54","37,952,647.60","49,952,721.79","841,345.80","9,334,081.11","15,599,476.00","44,836,653.26","6,954,712.16","20,438,349.39","39,711,193.89","56,760,772.08","3,797,227.29"
支付其他与投资活动有关的现金,"30,000.00",,,,"93,831,011.68","310,174,942.92",,"333,043.36",,"67,810,000.00",,,,"10,205,807.61",,,"22,470,229.04","60,756,423.94",,,,,,,,,,,,,,,,,,,,,,,"46,700,774.09","57,232,967.42","99,109,812.27","50,505,086.30"
收到其他与经营活动有关的现金,"139,817,166.55","9,663,463.59","42,398,600.00","53,426,506.64","14,284,383.95","44,161,972.43","120,814,679.74","10,329,365.90","23,306,575.15","25,201,504.08","207,469,137.17","15,700,650.36","28,331,148.05","88,849,276.42","30,236,713.60","43,811,493.48","35,430,127.29","97,827,659.78","8,822,572.57","26,226,142.42","66,209,960.72","103,741,890.11","27,119,062.49","24,430,206.41","12,571,997.77","48,970,460.51","14,963,040.39","39,800,461.16","1,367,232.16","21,125,083.28","8,033,819.62","52,598,737.61","6,605,600.73","8,279,769.76","3,266,239.62","45,306,997.75","587,896.99","56,526,385.97","4,192,995.29","7,699,531.26","17,662,380.81","23,928,992.00","41,938,544.70","9,802,793.67"
投资活动现金流出小计,"24,477,488.24","160,821,727.38","367,383,900.00","59,046,399.62","349,291,421.36","728,676,613.79","803,470,312.56","129,033,856.40","389,806,958.08","553,776,672.29","442,348,258.12","39,375,184.04","49,886,144.04","113,127,738.61","185,281,363.76","4,113,235.42","28,397,825.06","66,992,396.17","44,075,520.77","492,508.51","9,084,764.84","10,874,581.54","48,263,516.48","823,859.29","10,241,137.31","13,532,397.01","31,418,881.91","552,792.71","10,758,181.59","11,870,683.47","12,249,109.03","325,834.70","818,232.70","1,440,794.10","11,981,765.04",,"5,123,195.94","11,862,746.07","194,867,497.77","20,264,912.45","98,216,098.90","167,777,085.22","312,991,644.80","125,678,703.95"
经营活动现金流入小计,"303,340,243.07","431,842,536.73","959,085,700.00","248,218,247.08","448,803,084.02","734,037,437.88","1,028,450,197.58","135,270,095.75","323,603,490.50","653,251,086.61","1,279,514,394.83","330,029,994.87","692,064,565.62","1,248,797,325.23","1,821,937,853.71","300,086,151.06","704,774,199.38","1,296,064,637.08","2,205,311,636.81","469,254,471.23","969,321,826.86","1,558,597,774.50","2,203,292,441.34","429,010,744.72","973,215,513.21","1,489,917,714.19","2,194,137,385.37","397,640,330.42","932,514,671.49","1,233,846,019.38","1,909,098,670.67","347,865,028.99","702,935,315.07","1,106,546,227.93","1,452,841,949.12","305,539,809.47","625,497,999.73","1,026,679,783.91","1,431,234,806.80","342,253,990.19","957,803,524.55","1,605,371,030.62","2,262,453,052.51","523,798,011.88"
投资活动产生的现金流量净额,"-24,477,488.24","-160,821,727.38","-367,383,900.00","-58,837,595.76","-349,289,121.36","-728,674,313.79","-801,517,140.95","-129,033,856.40","-311,097,243.38","-439,338,276.78","-442,348,258.12","-39,375,184.04","-49,883,744.04","-113,096,784.52","-185,278,963.76","-4,113,235.42","-16,112,250.57","3,672,076.63","-44,072,420.77","-492,508.51","-9,084,764.84","-10,874,581.54","-45,789,048.48","-823,859.29","31,227,849.63","54,036,589.93","40,050,105.03","-552,792.71","-10,758,181.59","-11,870,683.47","-12,249,109.03","9,687,165.30","9,194,767.30","8,572,205.90","4,750,334.05",,"-5,627,497.95","-1,716,449.61","-89,195,337.98","-19,857,125.07","-48,171,142.24","-93,591,357.65","-230,440,814.23","-25,380,598.03"
购买商品、接受劳务支付的现金,"134,651,798.92","305,586,069.10","617,004,100.00","146,594,932.82","341,875,604.99","569,292,124.34","680,002,550.78","88,201,569.41","262,485,395.09","543,836,411.82","930,606,051.40","309,890,299.90","629,262,307.16","984,778,302.43","1,551,757,206.89","254,512,153.77","568,656,933.52","873,976,116.38","1,532,827,399.60","247,165,678.13","721,685,318.57","955,147,966.39","1,480,126,409.19","318,477,780.34","773,871,136.19","1,139,211,245.96","1,679,752,679.98","274,343,843.06","655,140,223.81","950,950,681.24","1,313,770,482.37","256,480,591.40","568,411,912.73","870,399,687.68","1,034,742,674.60","248,344,434.20","526,954,721.52","806,737,212.75","1,072,601,953.85","311,557,557.47","735,496,553.15","1,271,518,081.55","1,835,794,489.23","608,193,595.19"
吸收投资收到的现金,"69,975,689.80","50,000,000.00","50,000,000.00",,"1,180,860,400.00","1,180,860,400.00","1,170,254,048.40",,,,,,,"15,200,000.00","15,200,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"650,431,990.75",
