科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,"2,612,000,000.00","5,615,000,000.00","1,927,000,000.00","3,813,000,000.00","5,621,000,000.00","7,258,000,000.00","2,532,000,000.00","4,757,000,000.00","7,053,000,000.00","8,820,000,000.00","3,102,000,000.00","5,808,000,000.00","8,774,000,000.00","11,198,000,000.00","3,723,000,000.00","7,202,000,000.00","10,339,000,000.00","13,226,000,000.00","4,539,000,000.00","8,110,000,000.00","11,469,000,000.00","14,799,000,000.00","4,949,000,000.00","9,172,000,000.00","12,920,000,000.00","16,652,000,000.00","6,171,000,000.00","10,966,000,000.00","15,581,000,000.00","19,725,000,000.00","7,541,000,000.00","13,289,000,000.00","19,593,000,000.00","24,969,000,000.00","10,741,000,000.00","18,882,000,000.00",,"35,166,000,000.00","17,293,000,000.00","28,226,000,000.00","37,943,000,000.00","47,281,000,000.00","17,227,000,000.00","32,458,000,000.00","45,256,000,000.00","56,251,000,000.00","15,638,000,000.00"
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,613,000,000.00",,,,,,,,,,
业务及管理费,"4,528,000,000.00","10,055,000,000.00","2,725,000,000.00","5,449,000,000.00","8,374,000,000.00","11,430,000,000.00","3,173,000,000.00","6,161,000,000.00","9,351,000,000.00","13,237,000,000.00","3,989,000,000.00","8,056,000,000.00","12,070,000,000.00","16,989,000,000.00","4,352,000,000.00","9,178,000,000.00","13,977,000,000.00","20,056,000,000.00","5,113,000,000.00","10,646,000,000.00","16,238,000,000.00","22,166,000,000.00","5,948,000,000.00","12,026,000,000.00","17,996,000,000.00","24,912,000,000.00","6,216,000,000.00","12,952,000,000.00","19,664,000,000.00","27,065,000,000.00","6,659,000,000.00","13,473,000,000.00","20,562,000,000.00","29,018,000,000.00","7,890,000,000.00","15,908,000,000.00","23,702,000,000.00","33,719,000,000.00","8,897,000,000.00","17,622,000,000.00","25,837,000,000.00","36,293,000,000.00","8,023,000,000.00","16,574,000,000.00","26,971,000,000.00","39,943,000,000.00","10,985,000,000.00"
其中：代理买卖证券业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：摊回分保费用,"1,318,000,000.00","2,431,000,000.00","871,000,000.00","1,641,000,000.00","2,266,000,000.00","2,904,000,000.00","932,000,000.00","1,914,000,000.00","2,699,000,000.00","3,347,000,000.00","1,134,000,000.00","2,070,000,000.00","3,209,000,000.00","4,425,000,000.00","1,048,000,000.00","2,234,000,000.00","3,341,000,000.00","4,730,000,000.00","1,007,000,000.00","2,011,000,000.00","2,909,000,000.00","4,087,000,000.00","1,152,000,000.00","2,328,000,000.00","3,133,000,000.00","5,477,000,000.00","1,088,000,000.00","2,370,000,000.00","3,213,000,000.00","3,830,000,000.00","854,000,000.00","1,803,000,000.00","2,551,000,000.00","3,902,000,000.00","1,393,000,000.00","2,492,000,000.00","3,440,000,000.00","4,308,000,000.00","1,446,000,000.00","3,276,000,000.00","4,530,000,000.00","5,770,000,000.00","1,439,000,000.00","2,772,000,000.00","4,025,000,000.00","5,437,000,000.00","1,569,000,000.00"
证券承销业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失,"119,000,000.00","28,000,000.00","19,000,000.00","1,440,000,000.00","3,602,000,000.00","5,221,000,000.00","151,000,000.00","151,000,000.00","155,000,000.00","164,000,000.00","48,000,000.00","65,000,000.00","565,000,000.00","689,000,000.00","121,000,000.00","1,168,000,000.00","1,976,000,000.00","2,850,000,000.00","1,373,000,000.00","2,576,000,000.00","4,175,000,000.00","4,478,000,000.00","259,000,000.00","628,000,000.00","692,000,000.00","1,263,000,000.00","2,410,000,000.00","3,730,000,000.00","3,865,000,000.00","3,800,000,000.00","102,000,000.00","137,000,000.00","434,000,000.00","320,000,000.00","204,000,000.00","294,000,000.00","597,000,000.00","1,141,000,000.00","366,000,000.00","471,000,000.00","559,000,000.00","713,000,000.00","223,000,000.00","424,000,000.00","674,000,000.00","1,102,000,000.00","432,000,000.00"
委托客户管理资产业务净收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本,"22,000,000.00","13,000,000.00","3,000,000.00","7,000,000.00","13,000,000.00","561,000,000.00","18,000,000.00","187,000,000.00","82,000,000.00","2,600,000,000.00","825,000,000.00","1,518,000,000.00","1,822,000,000.00","2,820,000,000.00","1,049,000,000.00","1,806,000,000.00","2,378,000,000.00","3,828,000,000.00","929,000,000.00","2,281,000,000.00","3,448,000,000.00","5,066,000,000.00","1,171,000,000.00","2,692,000,000.00","3,912,000,000.00","5,817,000,000.00","1,310,000,000.00","2,819,000,000.00","4,402,000,000.00","6,271,000,000.00","2,008,000,000.00","2,284,000,000.00","5,118,000,000.00","6,110,000,000.00","2,282,000,000.00","3,257,000,000.00","3,387,000,000.00","6,452,000,000.00","2,229,000,000.00","4,245,000,000.00","7,871,000,000.00","8,902,000,000.00","2,300,000,000.00","3,538,000,000.00","5,227,000,000.00","6,786,000,000.00","2,243,000,000.00"
已赚保费,"31,361,000,000.00","65,536,000,000.00","26,919,000,000.00","47,569,000,000.00","68,011,000,000.00","84,274,000,000.00","24,668,000,000.00","45,039,000,000.00","66,333,000,000.00","84,127,000,000.00","34,886,000,000.00","63,187,000,000.00","91,564,000,000.00","119,751,000,000.00","42,054,000,000.00","75,122,000,000.00","106,474,000,000.00","137,238,000,000.00","44,570,000,000.00","80,903,000,000.00","114,565,000,000.00","147,839,000,000.00","45,865,000,000.00","87,745,000,000.00","125,149,000,000.00","159,625,000,000.00","55,456,000,000.00","95,628,000,000.00","135,202,000,000.00","172,891,000,000.00","57,427,000,000.00","102,062,000,000.00","149,307,000,000.00","189,376,000,000.00","72,360,000,000.00","122,117,000,000.00","177,599,000,000.00","219,573,000,000.00","94,694,000,000.00","151,556,000,000.00","218,360,000,000.00","263,554,000,000.00","111,985,000,000.00","177,108,000,000.00","248,111,000,000.00","299,724,000,000.00","115,833,000,000.00"
三、营业利润,"4,685,000,000.00","8,496,000,000.00","2,111,000,000.00","5,254,000,000.00","3,041,000,000.00","-749,000,000.00","271,000,000.00","3,053,000,000.00","5,372,000,000.00","9,541,000,000.00","3,581,000,000.00","5,080,000,000.00","6,048,000,000.00","10,690,000,000.00","4,262,000,000.00","7,521,000,000.00","8,117,000,000.00","9,642,000,000.00","892,000,000.00","3,461,000,000.00","3,941,000,000.00","6,044,000,000.00","3,100,000,000.00","6,888,000,000.00","10,383,000,000.00","11,868,000,000.00","4,425,000,000.00","9,114,000,000.00","11,843,000,000.00","14,422,000,000.00","7,019,000,000.00","15,569,000,000.00","20,725,000,000.00","24,180,000,000.00","3,191,000,000.00","8,902,000,000.00","12,821,000,000.00","16,072,000,000.00","2,850,000,000.00","9,600,000,000.00","15,684,000,000.00","21,023,000,000.00","6,208,000,000.00","13,706,000,000.00","20,641,000,000.00","28,255,000,000.00","7,780,000,000.00"
保险业务收入,"37,672,000,000.00","74,236,000,000.00","30,659,000,000.00","54,645,000,000.00","76,817,000,000.00","94,016,000,000.00","29,187,000,000.00","53,836,000,000.00","77,884,000,000.00","96,342,000,000.00","42,357,000,000.00","76,066,000,000.00","108,098,000,000.00","139,555,000,000.00","48,150,000,000.00","86,875,000,000.00","121,378,000,000.00","154,958,000,000.00","49,389,000,000.00","90,511,000,000.00","127,047,000,000.00","163,228,000,000.00","51,421,000,000.00","98,662,000,000.00","138,450,000,000.00","176,923,000,000.00","61,888,000,000.00","108,413,000,000.00","151,486,000,000.00","191,805,000,000.00","62,342,000,000.00","110,891,000,000.00","160,418,000,000.00","203,305,000,000.00","78,217,000,000.00","131,537,000,000.00","189,101,000,000.00","234,018,000,000.00","101,283,000,000.00","163,785,000,000.00","233,572,000,000.00","281,644,000,000.00","121,831,000,000.00","192,633,000,000.00","266,310,000,000.00","321,895,000,000.00","128,386,000,000.00"
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,"14,000,000.00","68,000,000.00","14,000,000.00","34,000,000.00","54,000,000.00","64,000,000.00","16,000,000.00","34,000,000.00","49,000,000.00","67,000,000.00","12,000,000.00","38,000,000.00","66,000,000.00","98,000,000.00","20,000,000.00","63,000,000.00","77,000,000.00","101,000,000.00","53,000,000.00","72,000,000.00","128,000,000.00","148,000,000.00","30,000,000.00","50,000,000.00","107,000,000.00","137,000,000.00","25,000,000.00","42,000,000.00","116,000,000.00","197,000,000.00","71,000,000.00","131,000,000.00","168,000,000.00","185,000,000.00","28,000,000.00","67,000,000.00","109,000,000.00","159,000,000.00","11,000,000.00","538,000,000.00","2,248,000,000.00","2,307,000,000.00","1,092,000,000.00","1,289,000,000.00","1,483,000,000.00","1,558,000,000.00","227,000,000.00"
营业外收入,"13,000,000.00","115,000,000.00","130,000,000.00","134,000,000.00","136,000,000.00","454,000,000.00","18,000,000.00","35,000,000.00","56,000,000.00","75,000,000.00","23,000,000.00","26,000,000.00","46,000,000.00","68,000,000.00","5,000,000.00","26,000,000.00","705,000,000.00","812,000,000.00","9,000,000.00","51,000,000.00","67,000,000.00","108,000,000.00","19,000,000.00","60,000,000.00","82,000,000.00","121,000,000.00","19,000,000.00","79,000,000.00","105,000,000.00","161,000,000.00","13,000,000.00","31,000,000.00","113,000,000.00","187,000,000.00","31,000,000.00","55,000,000.00","100,000,000.00","167,000,000.00","5,000,000.00","26,000,000.00","235,000,000.00","186,000,000.00","14,000,000.00","32,000,000.00","55,000,000.00","103,000,000.00","9,000,000.00"
