科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
汇兑收益,"-142,000,000.00","-252,000,000.00","-72,000,000.00","-115,000,000.00","-122,000,000.00","-132,000,000.00","-1,000,000.00","-3,000,000.00","-3,000,000.00","-14,000,000.00","-29,000,000.00","-99,000,000.00","-139,000,000.00","-200,000,000.00","-26,000,000.00","-40,000,000.00","-59,000,000.00","-71,000,000.00","-1,000,000.00","2,000,000.00","6,000,000.00","-11,000,000.00","-39,000,000.00","-190,000,000.00","-221,000,000.00","-280,000,000.00","63,000,000.00","66,000,000.00","76,000,000.00","40,000,000.00","11,000,000.00","-3,000,000.00","76,000,000.00","109,000,000.00","-26,000,000.00","48,000,000.00","32,000,000.00","117,000,000.00","-14,000,000.00","-71,000,000.00","-102,000,000.00","-140,000,000.00","-144,000,000.00","52,000,000.00","142,000,000.00","53,000,000.00","-103,000,000.00"
五、净利润,"3,936,000,000.00","7,069,000,000.00","1,819,000,000.00","5,617,000,000.00","3,974,000,000.00","1,415,000,000.00","201,000,000.00","2,400,000,000.00","4,123,000,000.00","7,473,000,000.00","2,855,000,000.00","4,070,000,000.00","4,958,000,000.00","8,665,000,000.00","3,497,000,000.00","5,883,000,000.00","7,082,000,000.00","8,393,000,000.00","654,000,000.00","2,668,000,000.00","3,164,000,000.00","5,130,000,000.00","2,258,000,000.00","5,546,000,000.00","8,202,000,000.00","9,395,000,000.00","3,262,000,000.00","6,959,000,000.00","9,109,000,000.00","11,245,000,000.00","4,986,000,000.00","11,487,000,000.00","15,292,000,000.00","18,038,000,000.00","2,249,000,000.00","6,260,000,000.00","8,992,000,000.00","12,284,000,000.00","2,040,000,000.00","6,645,000,000.00","11,152,000,000.00","14,991,000,000.00","3,832,000,000.00","8,449,000,000.00","13,014,000,000.00","18,434,000,000.00","5,599,000,000.00"
其他业务收入,"148,000,000.00","480,000,000.00","110,000,000.00","252,000,000.00","323,000,000.00","427,000,000.00","94,000,000.00","180,000,000.00","260,000,000.00","671,000,000.00","211,000,000.00","434,000,000.00","626,000,000.00","851,000,000.00","194,000,000.00","470,000,000.00","676,000,000.00","1,075,000,000.00","266,000,000.00","539,000,000.00","819,000,000.00","1,150,000,000.00","279,000,000.00","677,000,000.00","984,000,000.00","1,499,000,000.00","393,000,000.00","741,000,000.00","1,178,000,000.00","1,725,000,000.00","418,000,000.00","947,000,000.00","1,431,000,000.00","2,113,000,000.00","549,000,000.00","1,153,000,000.00","1,736,000,000.00","2,462,000,000.00","608,000,000.00","1,345,000,000.00","2,007,000,000.00","2,982,000,000.00","650,000,000.00","1,491,000,000.00","2,202,000,000.00","3,117,000,000.00","794,000,000.00"
（一）归属于母公司所有者的净利润,"3,823,000,000.00","6,893,000,000.00","1,790,000,000.00","5,512,000,000.00","3,876,000,000.00","1,339,000,000.00","200,000,000.00","2,364,000,000.00","4,061,000,000.00","7,356,000,000.00","2,813,000,000.00","4,019,000,000.00","4,905,000,000.00","8,557,000,000.00","3,449,000,000.00","5,816,000,000.00","7,018,000,000.00","8,313,000,000.00","652,000,000.00","2,638,000,000.00","3,135,000,000.00","5,077,000,000.00","2,225,000,000.00","5,464,000,000.00","8,081,000,000.00","9,261,000,000.00","3,211,000,000.00","6,848,000,000.00","8,960,000,000.00","11,049,000,000.00","4,903,000,000.00","11,295,000,000.00","15,036,000,000.00","17,728,000,000.00","2,199,000,000.00","6,142,000,000.00","8,829,000,000.00","12,057,000,000.00","2,000,000,000.00","6,509,000,000.00","10,926,000,000.00","14,662,000,000.00","3,751,000,000.00","8,254,000,000.00","12,715,000,000.00","18,019,000,000.00","5,479,000,000.00"
二、营业支出,"40,248,000,000.00","83,702,000,000.00","31,162,000,000.00","57,822,000,000.00","78,823,000,000.00","98,584,000,000.00","27,832,000,000.00","51,172,000,000.00","75,719,000,000.00","94,772,000,000.00","36,816,000,000.00","67,551,000,000.00","99,109,000,000.00","130,972,000,000.00","43,395,000,000.00","79,717,000,000.00","114,257,000,000.00","148,292,000,000.00","48,598,000,000.00","88,834,000,000.00","128,121,000,000.00","165,407,000,000.00","50,065,000,000.00","97,180,000,000.00","139,245,000,000.00","181,269,000,000.00","59,295,000,000.00","105,031,000,000.00","153,823,000,000.00","205,356,000,000.00","66,743,000,000.00","118,945,000,000.00","172,576,000,000.00","223,022,000,000.00","80,252,000,000.00","135,804,000,000.00","200,452,000,000.00","250,942,000,000.00","105,552,000,000.00","167,956,000,000.00","243,273,000,000.00","298,786,000,000.00","118,230,000,000.00","190,988,000,000.00","269,174,000,000.00","326,108,000,000.00","125,373,000,000.00"
（二）少数股东损益,"113,000,000.00","176,000,000.00","29,000,000.00","105,000,000.00","98,000,000.00","76,000,000.00","1,000,000.00","36,000,000.00","62,000,000.00","117,000,000.00","42,000,000.00","51,000,000.00","53,000,000.00","108,000,000.00","48,000,000.00","67,000,000.00","64,000,000.00","80,000,000.00","2,000,000.00","30,000,000.00","29,000,000.00","53,000,000.00","33,000,000.00","82,000,000.00","121,000,000.00","134,000,000.00","51,000,000.00","111,000,000.00","149,000,000.00","196,000,000.00","83,000,000.00","192,000,000.00","256,000,000.00","310,000,000.00","50,000,000.00","118,000,000.00","163,000,000.00","227,000,000.00","40,000,000.00","136,000,000.00","226,000,000.00","329,000,000.00","81,000,000.00","195,000,000.00","299,000,000.00","415,000,000.00","120,000,000.00"
退保金,"3,852,000,000.00","8,222,000,000.00","2,401,000,000.00","3,924,000,000.00","5,555,000,000.00","7,257,000,000.00","2,243,000,000.00","4,106,000,000.00","6,205,000,000.00","4,386,000,000.00","1,003,000,000.00","2,064,000,000.00","3,254,000,000.00","4,489,000,000.00","1,634,000,000.00","3,898,000,000.00","7,060,000,000.00","9,588,000,000.00","3,202,000,000.00","6,175,000,000.00","9,301,000,000.00","12,318,000,000.00","5,172,000,000.00","9,693,000,000.00","14,895,000,000.00","19,783,000,000.00","7,096,000,000.00","16,300,000,000.00","23,402,000,000.00","29,028,000,000.00","12,013,000,000.00","17,137,000,000.00","21,270,000,000.00","25,217,000,000.00","4,666,000,000.00","7,731,000,000.00","10,568,000,000.00","13,538,000,000.00","3,226,000,000.00","5,557,000,000.00","7,989,000,000.00","10,168,000,000.00","2,700,000,000.00","7,481,000,000.00","10,356,000,000.00","12,641,000,000.00","2,789,000,000.00"
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,"7,658,000,000.00","20,234,000,000.00","8,438,000,000.00","17,007,000,000.00","25,116,000,000.00","32,741,000,000.00","8,718,000,000.00","16,462,000,000.00","23,857,000,000.00","30,494,000,000.00","8,145,000,000.00","16,347,000,000.00","24,597,000,000.00","34,523,000,000.00","9,536,000,000.00","19,571,000,000.00","29,284,000,000.00","41,452,000,000.00","11,048,000,000.00","23,143,000,000.00","35,834,000,000.00","49,633,000,000.00","13,191,000,000.00","27,630,000,000.00","41,570,000,000.00","58,816,000,000.00","16,202,000,000.00","32,289,000,000.00","48,968,000,000.00","68,428,000,000.00","21,162,000,000.00","40,849,000,000.00","61,667,000,000.00","84,183,000,000.00","24,512,000,000.00","45,781,000,000.00","67,428,000,000.00","91,238,000,000.00","25,858,000,000.00","48,285,000,000.00","70,845,000,000.00","94,786,000,000.00","25,356,000,000.00","49,755,000,000.00","78,147,000,000.00","107,216,000,000.00","33,945,000,000.00"
（一）基本每股收益,0.68,1.12,0.23,0.72,0.51,0.17,0.03,0.31,0.53,0.95,0.33,0.47,0.57,1.00,0.40,0.68,0.82,0.97,0.08,0.31,0.36,0.59,0.25,0.60,0.89,1.02,0.35,0.76,0.99,1.22,0.54,1.25,1.66,1.96,0.24,0.68,0.97,1.33,0.22,0.72,1.21,1.62,0.41,0.91,1.40,1.99,0.60
减：摊回赔付支出,"1,210,000,000.00","2,839,000,000.00","828,000,000.00","1,969,000,000.00","3,098,000,000.00","4,405,000,000.00","1,057,000,000.00","2,113,000,000.00","3,067,000,000.00","4,048,000,000.00","1,030,000,000.00","1,945,000,000.00","3,128,000,000.00","4,597,000,000.00","1,319,000,000.00","2,607,000,000.00","4,168,000,000.00","5,921,000,000.00","1,624,000,000.00","3,296,000,000.00","4,977,000,000.00","6,700,000,000.00","1,632,000,000.00","3,104,000,000.00","4,698,000,000.00","6,901,000,000.00","2,044,000,000.00","4,026,000,000.00","6,024,000,000.00","8,575,000,000.00","1,879,000,000.00","3,562,000,000.00","5,442,000,000.00","7,640,000,000.00","1,792,000,000.00","3,519,000,000.00","5,251,000,000.00","7,409,000,000.00","1,712,000,000.00","3,429,000,000.00","5,369,000,000.00","7,723,000,000.00","2,011,000,000.00","4,223,000,000.00","6,521,000,000.00","9,434,000,000.00","2,216,000,000.00"
（二）稀释每股收益,,,,,,,,0.31,,0.95,,0.47,0.57,1.00,,0.68,0.82,0.97,0.08,0.31,0.36,0.59,0.25,0.60,0.89,1.02,0.35,0.76,0.99,1.22,0.54,1.25,1.66,1.96,0.24,0.68,0.97,1.33,0.22,0.72,1.21,1.62,0.41,0.91,1.40,1.99,0.60
