科目,2007-12-31,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"2,293,367,943.51","2,980,112,420.01","1,972,223,530.94","2,606,652,769.36","8,295,557,565.92","7,207,619,216.97","5,887,874,264.96","7,201,062,691.47","5,927,922,580.70","5,304,586,784.86","6,185,025,328.63","7,110,055,641.53","5,785,763,179.56","6,513,784,841.37","4,968,327,962.08","6,410,908,557.76","5,314,663,685.12","5,281,569,842.01","7,884,728,754.24","9,217,685,137.92","6,972,730,372.48","7,306,378,843.33","7,014,257,998.29","8,218,859,593.32","7,053,349,439.00","7,454,656,101.44","7,431,198,129.42","10,284,291,457.46","6,926,803,626.23","7,971,798,462.56","7,683,288,204.36","9,936,001,750.98","8,876,413,011.79","8,447,834,495.97","7,452,965,079.02","7,801,505,532.84","6,611,078,698.99","5,983,801,608.79"
短期借款,"1,252,805,700.00","787,191,994.00","651,160,000.00","841,960,000.00","40,000,000.00","30,160,000.00","70,665,371.19","103,224,067.46","98,027,540.00","83,026,511.41","47,128,192.76","7,807,398.31","7,799,220.30","94,873,500.00","95,115,000.00","114,282,500.00","114,033,500.00","20,000,000.00","20,000,000.00","19,000,000.00","20,000,000.00","233,440,000.00","213,440,000.00","276,680,000.00","286,680,000.00","286,680,000.00","306,680,000.00","286,680,000.00","286,680,000.00","376,680,000.00","376,680,000.00","402,599,955.17","391,614,969.27","399,151,747.83","425,910,338.94","445,681,634.03","458,570,892.29","459,336,965.75"
交易性金融资产,"39,812,090.51","7,908,786.66","10,278,856.04","15,914,778.86","14,976,927.14","20,735,139.56","84,492,460.91","64,949,488.50","80,094,789.20","298,663,874.35","176,164,855.21","50,575,527.75","51,275,881.25","53,936,128.30","53,426,967.00","60,254,599.09","52,426,462.00","72,339,640.00","72,299,732.50","18,251,364.23","18,983,963.52","19,930,596.11","20,345,649.12","10,131,367.55","10,421,406.70","20,292,700.00","19,967,822.90","15,252,656.58","39,227,988.62","31,763,337.92","30,045,027.84","15,157,500.00","15,453,830.00","12,128,010.00","11,451,000.00","11,653,031.62","5,513,415.97","1,377,529.58"
交易性金融负债,,"51,215,577.01","24,204,188.35",,,"11,702,835.53",,,,,,"927,243.84","927,243.84","1,568,738.39","1,568,738.39","768,661.72","768,661.72","1,609,669.77",,,,,,,,,,,,,,,,,,,,
应收票据,"336,613,753.54","384,125,867.18","464,369,280.32","552,241,956.37","360,296,646.08","346,194,682.75","386,523,556.19","486,027,320.98","348,215,421.65","325,931,650.52","308,499,759.90","467,194,529.30","366,794,905.26","355,484,353.78","285,084,933.10","385,155,799.38","433,061,489.50","390,150,208.25","332,087,087.29","430,314,025.02","475,785,183.59","344,904,126.90","467,526,566.81","604,801,932.42","472,825,412.53","381,109,923.25","332,758,036.16","772,508,025.35","582,273,671.06","443,251,442.24","550,078,653.39","937,506,245.35","902,258,839.75","583,326,298.26","529,276,085.40","583,822,332.43","507,453,695.22","473,599,533.81"
应付票据,"405,169,279.05","480,542,603.34","778,431,796.14","783,245,665.11","1,056,831,963.33","696,492,055.64","839,917,259.55","885,879,758.14","798,400,791.22","1,070,012,356.62","1,262,501,009.51","1,141,290,712.98","1,034,269,559.49","1,207,808,281.74","1,545,833,137.91","1,519,830,661.85","1,326,859,979.68","1,347,522,272.90","1,583,395,737.28","1,645,270,691.72","1,497,361,187.10","1,393,704,346.92","1,577,551,877.07","1,751,529,906.62","1,610,024,582.40","1,183,286,764.56","1,608,541,919.64","1,966,323,771.91","1,821,963,477.33","1,620,857,238.72","1,847,695,608.44","1,990,583,770.57","2,334,345,681.45","2,024,500,307.69","1,823,916,438.89","1,892,970,890.92","1,515,177,543.22","1,931,860,196.83"
应收账款,"3,267,726,384.15","4,359,051,317.13","5,553,869,074.22","6,184,963,353.99","6,791,297,168.22","7,293,607,785.39","7,155,900,750.76","6,615,376,624.09","6,681,405,228.57","6,883,164,700.66","7,419,140,251.12","6,538,893,490.54","6,503,964,580.45","7,103,877,593.60","7,914,810,025.29","7,124,792,929.45","7,040,655,415.34","7,622,556,725.56","8,057,111,833.86","6,637,998,434.19","7,475,231,127.10","7,827,955,045.40","8,131,918,973.45","7,068,749,180.34","7,616,090,310.05","7,653,245,451.25","8,047,955,444.18","7,511,509,918.88","8,303,761,263.81","8,931,296,890.90","9,521,580,008.52","7,619,136,653.85","7,550,043,721.98","8,276,943,323.89","8,210,026,137.54","8,349,276,491.76","8,716,093,524.44","9,349,670,747.51"
应付账款,"2,319,956,933.63","3,697,888,398.33","4,312,753,158.34","4,757,870,100.68","4,499,260,370.20","4,861,144,290.63","4,264,554,602.48","3,986,362,566.39","3,934,972,988.00","4,252,750,603.90","4,475,254,554.93","4,332,178,573.43","4,572,218,378.82","4,692,299,064.21","5,003,318,223.79","4,810,527,450.51","4,961,454,018.07","5,139,973,173.01","5,271,116,708.90","4,721,040,834.89","4,569,100,254.46","4,688,191,664.29","4,596,324,600.75","4,231,442,351.00","4,473,267,245.62","4,525,180,578.87","4,401,372,063.47","4,279,083,521.27","4,063,079,198.20","4,633,417,511.97","4,555,658,756.23","4,398,849,006.97","3,958,072,183.79","4,198,275,803.72","4,541,531,543.20","4,637,906,431.21","4,442,198,155.97","4,581,224,963.16"
预付款项,"836,515,113.65","1,135,075,327.21","1,016,963,952.02","581,246,892.06","927,699,071.86","831,110,938.56","835,901,018.39","455,814,737.98","865,040,927.48","961,455,322.62","1,037,723,509.11","721,147,734.00","865,005,110.53","941,340,350.43","958,533,786.45","738,484,222.48","813,774,095.47","880,110,115.19","981,340,557.46","518,306,698.35","912,977,490.51","681,980,597.59","691,675,941.21","635,638,370.64","689,815,601.98","749,975,420.75","678,616,583.84","556,937,028.78","633,653,633.56","1,135,412,915.68","1,010,537,488.40","1,173,863,840.81","1,633,985,975.87","1,330,749,693.03","1,322,175,282.03","1,060,535,012.86","978,452,859.01","931,031,440.60"
预收款项,"2,909,836,460.45","4,413,974,891.48","4,780,453,168.00","3,908,966,951.43","3,810,953,766.38","3,250,738,038.32","3,093,755,096.65","2,950,296,669.31","3,050,723,453.38","2,852,277,927.75","3,283,150,900.93","4,136,145,587.86","3,866,551,834.96","4,011,570,596.13","4,347,192,919.37","4,004,506,737.18","3,753,415,940.74","4,061,238,076.77","3,821,499,318.37","3,532,106,507.76","3,961,843,147.86","3,409,861,044.46","3,032,158,818.89","2,410,648,124.46","2,648,238,728.56","2,613,850,136.35","2,567,551,502.11","2,981,391,114.82","2,902,768,964.84","4,331,667,289.91","4,264,768,106.88","4,060,520,584.16","3,622,454,390.16","3,409,596,348.78","3,413,626,815.99","2,631,348,330.77","1,972,962,945.54","1,984,437,327.16"
