科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"324,387,717.16","366,935,857.62","499,991,020.98","296,369,262.14","463,644,974.57","111,586,779.60","201,624,782.44","303,119,227.50","429,215,288.24","113,912,526.28","241,476,370.64","347,828,356.05","510,372,083.63","147,351,491.62","345,480,657.38","520,068,075.13","720,352,726.34","143,755,264.38","341,908,339.45","518,334,708.52","577,107,429.15","160,432,407.55"
取得子公司及其他营业单位支付的现金净额,"35,800,000.00",,,,,,,,"59,050,301.36",,,,,,,,"125,696,344.52",,,,,
收到的税费返还,,,,,,,,,,,,,"78,211.62","3,600.00","3,600.00","3,600.00",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,"59,905,400.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,675,792.61","4,057,626.18","6,275,843.96","2,249,341.66","4,963,771.04","1,059,239.52","5,774,242.09","6,528,745.91","5,267,269.00","2,250,726.47","5,807,799.31","8,532,848.13","3,832,546.71","3,686,713.26","12,287,717.12","13,430,172.05","8,922,255.23","4,631,014.05","7,612,160.04","17,527,942.11","8,615,022.51","5,343,503.49"
投资活动现金流出小计,"46,032,793.57","3,370,572.39","31,388,868.67","28,180,865.40","70,439,127.19","10,835,767.77","17,371,707.67","66,303,282.90","296,459,161.16","10,032,429.00","22,251,367.00","31,403,624.66","59,338,515.33","6,264,733.16","150,830,560.19","162,161,277.03","158,586,090.70","11,757,019.19","9,613,904.55","24,752,468.36","29,079,845.50","8,185,591.28"
经营活动现金流入小计,"328,063,509.77","370,993,483.80","506,266,864.94","298,618,603.80","468,608,745.61","112,646,019.12","207,399,024.53","309,647,973.41","434,482,557.24","116,163,252.75","247,284,169.95","356,361,204.18","514,282,841.96","151,041,804.88","357,771,974.50","533,501,847.18","729,274,981.57","148,386,278.43","349,520,499.49","535,862,650.63","585,722,451.66","165,775,911.04"
投资活动产生的现金流量净额,"-46,016,293.57","-3,370,572.39","-29,939,768.67","-28,123,599.65","-70,381,861.44","-10,835,767.77","-17,371,707.67","-66,303,282.90","-296,459,161.16","-10,032,429.00","-22,251,367.00","-31,403,624.66","-59,322,651.93","-6,248,233.16","-144,498,222.56","-155,828,939.40","-137,453,839.97","-11,748,819.19","-9,949,782.55","-25,088,346.36","-29,018,558.40","50,214,408.72"
购买商品、接受劳务支付的现金,"211,631,641.80","177,770,748.01","236,965,448.62","198,533,775.75","228,632,816.81","91,483,103.93","167,675,494.58","235,268,746.58","295,957,302.78","90,366,162.18","171,354,377.59","281,174,104.54","356,375,000.93","85,999,265.49","245,687,513.80","367,794,518.57","472,572,133.39","105,088,676.55","245,212,355.24","352,432,130.39","383,007,265.69","150,774,408.42"
吸收投资收到的现金,"21,547,350.00",,,,,,"434,472,250.00","434,472,250.00","434,472,250.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,
