科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月
销售商品、提供劳务收到的现金,"400,391,406.76","518,971,586.81","540,805,537.43","288,650,743.19","608,828,986.96","90,953,166.48","187,728,635.77","338,804,210.85","774,408,292.41","145,721,594.25","325,677,250.56","502,983,168.57","915,962,791.76","213,116,838.46","437,137,410.17","595,441,901.46","1,029,130,185.42","197,459,308.38","449,485,727.06","707,380,446.74","1,235,067,516.60","228,106,910.59","568,317,615.52","819,197,337.44"
取得子公司及其他营业单位支付的现金净额,"18,000,000.00","17,318,673.80",,,,,,,,,,,,,"109,646,209.07","109,646,209.07","109,646,209.07",,"10,560,000.00","10,560,000.00","10,560,000.00",,"10,560,000.00","10,560,000.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"21,857,427.88","2,787,968.21","4,247,912.86","672,958.75","6,292,982.51","559,877.96","13,476,889.24","16,168,870.53","19,800,884.32","6,720,327.38","16,790,789.40","20,840,789.40","42,800,709.08","4,181,171.04","36,306,998.94","39,157,053.89","39,225,843.20","5,909,456.32","21,417,392.03","27,122,838.25","32,370,472.61","3,968,731.27","14,099,848.77","34,094,852.32"
投资活动现金流出小计,"88,433,470.83","129,372,306.25","79,992,930.77","37,984,215.70","50,108,633.52","5,207,114.03","14,033,081.60","20,036,712.08","52,204,653.71","13,857,963.36","31,067,276.65","54,177,318.73","102,147,386.17","166,183,648.08","187,515,915.38","220,388,104.57","356,185,736.35","44,663,623.40","75,836,400.31","147,729,532.33","186,068,171.88","47,732,109.44","71,125,066.15","108,714,192.15"
经营活动现金流入小计,"422,248,834.64","521,759,555.02","545,053,450.29","289,323,701.94","615,121,969.47","91,513,044.44","201,205,525.01","354,973,081.38","794,209,176.73","152,441,921.63","342,468,039.96","523,823,957.97","958,763,500.84","217,298,009.50","473,444,409.11","634,598,955.35","1,068,356,028.62","203,368,764.70","470,903,119.09","734,503,284.99","1,267,437,989.21","232,075,641.86","582,417,464.29","853,292,189.76"
投资活动产生的现金流量净额,"-88,430,096.94","-104,011,017.42","-58,949,034.55","-35,719,315.46","-46,955,031.01","-5,207,114.03","-14,033,081.60","-19,981,117.43","-48,539,014.01","-13,857,963.36","-31,064,096.65","-54,173,369.09","-102,067,593.04","-147,109,857.15","-187,515,915.38","-220,274,461.90","-351,430,131.07","59,873,362.90","28,700,585.99","-43,060,776.03","-75,244,371.65","-47,732,109.44","-65,434,516.70","-106,432,242.70"
购买商品、接受劳务支付的现金,"215,327,524.96","314,033,051.99","222,153,278.44","191,111,864.91","278,018,570.41","104,101,515.29","181,632,157.36","261,250,854.39","369,369,002.43","117,718,839.70","216,984,620.22","300,635,260.91","432,176,363.09","122,904,579.06","253,754,248.26","310,139,669.18","455,121,231.78","152,578,546.42","309,577,780.77","417,544,484.98","651,114,495.84","184,467,947.55","373,823,909.54","509,536,819.79"
吸收投资收到的现金,"12,175.00","90,805,000.05",,,,"1,412,710,900.00","1,412,710,900.00","1,412,710,900.00","1,412,710,900.00",,,,,,"2,980,000.00","2,980,000.00","8,980,000.00",,,"16,440,000.00","16,440,000.00",,"44,305,101.76","44,305,101.76"
支付给职工以及为职工支付的现金,"18,458,790.93","41,269,740.02","42,290,774.03","41,304,046.53","54,534,611.16","18,011,757.21","39,293,424.78","52,700,800.60","72,404,654.74","29,585,089.88","54,543,964.04","83,135,878.43","100,054,502.70","35,523,634.83","65,614,398.92","97,650,745.68","127,643,546.88","37,275,235.38","84,091,371.91","121,444,104.73","144,342,253.09","35,034,051.99","65,516,479.54","98,208,745.21"
取得借款收到的现金,,"170,000,000.00","170,000,000.00","90,000,000.00","90,000,000.00",,,,,,,,,,,,,,,,,,,
支付的各项税费,"23,148,744.89","46,724,138.41","56,154,583.62","44,929,357.41","63,499,960.68","16,050,575.52","26,744,517.39","49,369,267.15","67,522,180.45","39,365,733.57","48,403,825.22","70,157,646.87","101,673,508.53","30,488,704.63","52,983,580.74","74,190,625.57","109,993,998.14","43,097,274.96","59,666,040.38","74,176,250.40","96,828,219.77","23,685,709.49","49,766,544.06","59,437,735.45"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"21,261,794.82","84,908,792.24","93,637,844.52","71,386,739.29","114,862,568.16","35,485,281.31","65,751,600.21","89,615,746.50","143,898,849.41","44,780,772.80","80,234,157.90","121,751,926.13","148,588,232.00","50,226,360.57","110,278,243.04","153,394,672.73","209,161,205.89","40,152,638.28","93,257,940.58","131,201,465.43","218,557,831.63","41,914,804.37","135,330,887.60","194,044,403.89"
筹资活动现金流入小计,"12,175.00","260,805,000.05","170,000,000.00","90,000,000.00","90,000,000.00","1,412,710,900.00","1,412,710,900.00","1,412,710,900.00","1,412,710,900.00",,,,,,"2,980,000.00","2,980,000.00","8,980,000.00",,,"16,440,000.00","16,440,000.00",,"44,305,101.76","44,305,101.76"
经营活动现金流出小计,"278,196,855.60","486,935,722.66","414,236,480.61","348,732,008.14","510,915,710.41","173,649,129.33","313,421,699.74","452,936,668.64","653,194,687.03","231,450,435.95","400,166,567.38","575,680,712.34","782,492,606.32","239,143,279.09","482,630,470.96","635,375,713.16","901,919,982.69","273,103,695.04","546,593,133.64","744,366,305.54","1,110,842,800.33","285,102,513.40","624,437,820.74","861,227,704.34"
偿还债务支付的现金,,"30,000,000.00","210,000,000.00","110,000,000.00","110,000,000.00",,"60,000,000.00","80,000,000.00","80,000,000.00",,,,,,,,,,,,,,,
