科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"67,771,973.18","69,950,801.99","95,028,305.69","84,172,796.18","146,427,850.13","207,007,454.28","42,529,066.90","109,298,446.66","175,015,794.14","233,618,337.39","61,449,578.16","140,305,268.42","214,329,293.91","309,978,202.64","52,831,700.20","122,489,704.47","201,665,703.86","278,905,967.10","85,022,971.62","185,700,855.77","292,104,165.24","368,605,955.80","68,822,991.17","154,801,913.26","246,186,230.97","397,612,834.24","86,557,457.13","224,630,438.64","373,674,516.85","556,243,968.32","136,127,322.37","266,852,977.95","428,848,745.75","714,694,295.82","139,163,140.50","311,920,820.41"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,"18,486,324.71",,,,"61,281,378.50",,,,,,,,,,
收到的税费返还,"1,353,967.22","885,238.97","1,484,378.07","2,521,210.28","2,810,753.20","5,330,836.02","191,462.95","3,241,022.85","4,976,549.21","11,725,739.29","7,132,132.65","15,042,698.18","21,001,825.21","15,678,325.21","2,976,592.98","8,104,628.63","13,940,121.81","22,258,017.82","1,809,701.54","7,424,459.68","10,622,594.71","20,532,507.32","14,218,007.68","18,131,527.34","23,223,506.62","31,767,286.68","10,287,232.64","18,695,660.61","32,191,835.92","38,046,631.81","6,684,970.25","18,524,718.20","27,987,663.91","43,700,983.12","17,773,189.40","28,394,616.52"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"5,000.00",,,,,"17,000,000.00",,,"43,163.17","1,146,899,762.47","511,500,000.00","661,060,000.00","1,428,360,000.00","1,438,360,000.00","4,000,000.00","489,000,000.00","703,800,000.00","941,993,435.02","187,500,000.01","197,500,000.00"
收到其他与经营活动有关的现金,"1,052,431.46","2,471,628.41","932,058.58","705,966.20","889,916.20","2,866,599.50","32,432,441.43","4,735,245.89","7,219,118.90","11,236,128.94","9,093,034.37","15,914,485.11","21,438,087.85","32,664,054.99","7,174,646.08","15,477,382.12","24,055,329.22","28,054,877.74","4,798,803.71","19,023,201.43","23,475,557.67","32,388,313.39","14,305,991.20","20,354,976.03","35,832,839.63","42,275,135.12","6,764,915.06","9,018,875.16","11,268,928.44","21,997,865.94","1,682,584.22","8,889,940.87","11,575,760.21","21,209,292.60","3,828,842.82","9,557,018.80"
投资活动现金流出小计,"14,835,321.46","16,382,924.68","21,618,706.77","27,478,889.72","66,732,154.55","74,188,198.31","6,277,319.68","18,098,307.16","30,807,626.19","42,446,981.54","12,378,114.06","26,929,106.31","66,947,535.57","137,938,088.92","21,858,663.14","26,553,317.55","32,030,092.24","42,844,878.52","6,864,830.23","39,977,167.71","65,638,509.76","85,940,005.35","1,643,454.15","4,475,693.27","6,815,115.98","1,276,973,104.01","511,721,453.16","663,182,537.31","1,813,751,530.53","1,831,616,342.47","4,515,987.38","490,621,366.95","705,914,306.28","957,331,139.01","201,650,311.38","233,199,306.02"
经营活动现金流入小计,"70,178,371.86","73,307,669.37","97,444,742.34","87,399,972.66","150,128,519.53","215,204,889.80","75,152,971.28","117,274,715.40","187,211,462.25","256,580,205.62","77,674,745.18","171,262,451.71","256,769,206.97","358,320,582.84","62,982,939.26","146,071,715.22","239,661,154.89","329,218,862.66","91,631,476.87","212,148,516.88","326,202,317.62","421,526,776.51","97,346,990.05","193,288,416.63","305,242,577.22","471,655,256.04","103,609,604.83","252,344,974.41","417,135,281.21","616,288,466.07","144,494,876.84","294,267,637.02","468,412,169.87","779,604,571.54","160,765,172.72","349,872,455.73"
投资活动产生的现金流量净额,"-4,741,488.23","-11,179,777.13","-8,971,933.72","-27,478,889.72","-66,732,154.55","-74,188,198.31","-6,277,319.68","-18,098,307.16","-30,807,626.19","-42,438,981.54","-12,378,114.06","-26,924,906.31","-66,943,335.57","-134,102,501.92","-21,854,463.14","-26,553,317.55","-32,030,092.24","-42,844,028.52","-6,858,830.23","-22,518,492.42","-48,179,834.47","-77,025,058.24","-1,643,454.15","-4,475,693.27","-2,542,114.98","-292,823,486.82","-110,007,894.87","145,875,391.32","-267,220,291.16","-157,038,110.85","6,069,146.78","199,462,934.31","179,419,315.84","182,958,783.98","73,991,239.03","160,208,336.76"
购买商品、接受劳务支付的现金,"44,000,495.25","44,598,435.30","43,763,859.51","67,239,117.55","107,322,114.90","140,248,544.23","49,804,623.99","109,525,824.08","143,636,631.67","204,388,502.03","48,792,118.39","101,212,543.65","154,744,822.13","188,159,311.71","51,719,111.38","110,518,139.24","171,128,519.98","232,596,873.25","62,794,190.72","131,625,639.93","206,781,926.18","210,828,406.22","66,881,138.29","119,834,992.09","171,440,451.17","236,707,041.80","54,046,317.21","115,098,164.67","202,904,365.03","332,438,745.85","98,948,134.47","208,868,854.42","311,559,119.90","551,175,017.26","128,267,176.79","249,307,391.36"
吸收投资收到的现金,,,"4,294,000.00",,,,"614,132,000.00","609,138,470.00","609,138,470.00","605,355,860.00",,,"2,000,000.00","2,000,000.00",,,,,,,,,,,,"149,350,064.85",,"980,000.00","980,000.00","980,000.00",,,,,,
