科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"95,190,463.09","265,679,061.94","612,924,231.53","101,057,258.69","258,455,626.07","393,965,813.07","625,759,011.34","94,250,474.62","257,464,260.23","416,297,519.08","658,468,949.52","137,635,101.69","343,896,801.66","548,423,372.57","762,277,239.06","143,415,025.78","398,882,682.15","625,304,366.39","861,724,354.55","150,872,007.36","432,039,446.86","662,325,498.60","936,900,132.99","153,976,746.64","414,586,927.27","655,985,621.56","968,226,766.87","182,998,485.12","460,574,351.01","725,566,046.77","1,035,494,376.13","179,531,708.88","454,141,042.74","694,054,807.87","1,009,165,277.32","133,833,463.92","355,153,676.64","586,372,486.23","884,921,712.70","150,660,530.71","370,969,827.75","600,744,943.78"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,741,120.85",,,,,,,,,,,
收到的税费返还,,"3,190,542.20","3,190,542.36",,,,"1,097,180.28",,,,,,,,"3,138,826.73",,"2,266,420.53","2,285,696.39","4,962,234.65","3,728,598.22","3,373,011.33","3,373,011.33","3,373,011.33","1,814,729.35","1,252,779.47","1,814,729.35","1,281,173.86","2,892,205.26","3,070,812.33","3,134,748.16","5,592,844.84","1,223,347.39","1,364,132.45","1,317,578.20","3,486,960.80","981,440.25","1,659,493.90","2,263,406.34","3,481,064.40",,,
支付其他与投资活动有关的现金,,,,,,,"842,615.94",,"1,327,613.14","236,792.50","1,254,473.59","9,926.59",,,"1,922,707.87",,,,"722,388.85",,,,,,"945,324.66","945,324.66","540,324.66",,,,"3,968,050.00","2,132,400.00","1,598,200.00","6,434,850.00","2,160,100.00","1,274,400.00","2,714,250.00","1,759,800.00",,,,
收到其他与经营活动有关的现金,"8,262,759.30","646,908.91","3,644,326.59","28,066,853.15","5,243,166.58","35,355,516.97","7,159,728.76","40,693,318.62","20,623,703.20","16,495,299.17","7,355,545.10","4,981,649.76","7,922,537.85","11,373,271.89","8,694,194.65","1,916,787.70","9,348,028.00","8,804,619.95","5,671,919.50","518,626.79","1,253,980.04","6,890,051.60","3,020,128.63","1,420,853.30","2,657,067.00","7,442,629.75","11,860,732.10","1,686,438.31","4,530,642.21","6,218,412.47","12,905,268.71","2,144,847.76","9,089,157.55","9,606,848.29","13,716,156.59","651,443.41","11,410,204.84","18,740,734.15","16,812,656.26","5,356,857.63","6,589,986.87","14,556,363.29"
投资活动现金流出小计,"7,664,778.04","21,947,466.12","33,927,794.30","8,022,814.76","16,430,604.22","34,797,660.27","59,903,364.98","7,572,201.01","26,279,039.66","54,916,293.38","61,727,681.14","21,358,359.88","26,090,893.12","6,143,219.82","59,156,127.76","2,398,180.92","28,740,992.43","45,409,717.56","43,004,366.88","4,755,431.12","57,573,833.71","52,078,483.02","77,852,862.05","77,835,826.35","77,121,267.61","99,749,707.97","67,793,094.64","12,602,840.68","44,691,664.01","53,308,910.99","98,846,561.41","20,765,343.25","38,807,925.10","70,915,830.61","84,561,510.45","69,782,941.50","232,760,609.23","502,488,633.87","728,911,990.32","102,511,872.75","126,510,606.24","207,748,728.37"
经营活动现金流入小计,"103,453,222.39","269,516,513.05","619,759,100.48","129,124,111.84","263,698,792.65","429,321,330.04","634,015,920.38","134,943,793.24","278,087,963.43","432,792,818.25","665,824,494.62","142,616,751.45","351,819,339.51","559,796,644.46","774,110,260.44","145,331,813.48","410,497,130.68","636,394,682.73","872,358,508.70","155,119,232.37","436,666,438.23","672,588,561.53","943,293,272.95","157,212,329.29","418,496,773.74","665,242,980.66","981,368,672.83","187,577,128.69","468,175,805.55","734,919,207.40","1,053,992,489.68","182,899,904.03","464,594,332.74","704,979,234.36","1,026,368,394.71","135,466,347.58","368,223,375.38","607,376,626.72","905,215,433.36","156,017,388.34","377,559,814.62","615,301,307.07"
投资活动产生的现金流量净额,"-7,664,778.04","-21,794,346.12","-33,492,516.30","-8,022,814.76","-16,387,604.22","-34,754,660.27","-44,260,364.98","-7,572,201.01","-10,867,940.55","-39,360,747.55","-39,727,215.78","-19,711,031.87","-25,725,001.71","-5,777,879.67","-40,921,143.46","66,702,424.79","45,635,412.26","47,178,070.43","26,691,884.69","589,845.81","-56,247,670.81","-37,159,248.69","-64,616,182.69","-61,152,043.91","-71,673,649.80","-94,302,090.16","-62,325,785.65","-12,413,944.52","-44,492,960.16","-53,110,207.14","-97,945,755.17","-20,765,343.25","-37,508,811.67","-69,972,540.18","-84,474,681.01","-69,776,103.89","-232,741,296.75","-310,752,883.66","-322,093,870.94","142,114,198.06","129,017,464.57","38,682,042.44"
购买商品、接受劳务支付的现金,"83,773,392.97","208,795,672.38","459,179,831.74","117,699,033.76","250,089,121.29","395,767,492.96","510,726,712.32","69,065,938.36","177,983,992.98","326,293,952.27","464,227,074.66","144,552,180.32","317,696,799.21","509,995,698.22","571,278,659.17","198,079,097.65","414,328,105.38","636,980,382.63","785,321,514.62","169,784,480.01","279,731,546.58","456,312,905.43","576,924,482.61","223,158,167.45","423,540,593.86","557,749,922.49","723,318,232.68","81,071,309.25","207,763,038.92","399,794,950.12","503,056,819.04","104,276,656.12","209,457,483.58","293,466,193.88","379,343,465.72","108,250,085.95","179,382,931.96","298,038,147.67","423,806,194.99","142,898,318.17","267,520,012.14","402,580,893.49"
吸收投资收到的现金,,,,,"160,958,697.11","160,958,697.11","160,958,697.11","112,000,000.00",,,"2,400,000.00",,,,,,"30,000,000.00",,,,,,"9,271,227.52","374,909,996.44","375,659,996.44","375,659,996.44","378,909,996.44",,"1,563,243.15","1,563,243.15",,,,,"6,565,600.00","4,188,400.00","4,188,400.00","4,188,400.00","8,325,040.00","4,181,120.00","4,181,120.00","4,181,120.00"
