科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"16,422,354.19","28,310,580.12","37,649,840.96","32,685,381.76","209,287,276.06","63,125,559.23","121,355,351.32","30,175,998.20","32,270,893.12","29,002,347.34"
短期借款,"20,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,
交易性金融资产,,,,,,"121,000,000.00",,,,
交易性金融负债,,,,,,,,,,
应收票据,"6,983,955.53","7,852,160.84","7,608,210.70","5,844,950.00","8,442,148.84","8,166,725.20","11,757,721.75","5,835,385.89","11,879,178.23","14,420,749.91"
应付票据,,,"1,817,715.00","1,817,715.00","1,354,715.50","1,354,715.50",,,,
应收账款,"113,146,190.17","142,865,940.97","156,573,072.68","148,681,263.82","160,556,916.03","148,563,074.14","157,398,081.21","155,359,255.34","145,405,618.09","141,455,925.98"
应付账款,"27,144,380.53","22,044,955.94","23,751,776.08","27,579,341.34","22,992,954.41","22,717,438.04","20,900,861.78","17,823,355.90","19,861,198.99","26,817,068.02"
预付款项,"1,018,889.31","1,685,525.84","1,530,695.89","1,609,283.99","1,154,709.49","1,782,051.37","2,327,134.03","4,501,623.92","1,173,211.86","2,193,799.28"
预收款项,"20,682,982.85","9,433,145.18","12,462,908.75","9,568,105.06","5,194,837.65","5,832,829.08","6,338,861.41","6,511,291.77","11,046,917.66","13,487,434.24"
其他应收款,"4,087,151.19","7,160,066.38","8,533,713.98","9,549,246.48","7,684,008.89","5,919,574.39","5,693,978.14","6,849,710.56","8,403,158.98","7,212,625.37"
应付职工薪酬,"15,119,148.43","14,277,442.11","14,694,451.28","8,023,186.93","5,416,403.30","6,342,352.51","14,761,923.97","2,714,211.14","3,802,774.88","4,076,011.02"
应收关联公司款,,,,,,,,,,
应交税费,"6,311,974.80","9,672,733.44","2,119,423.67","563,051.68","1,053,405.07","1,743,001.45","7,666,596.99","2,022,585.48","3,005,582.81","2,114,316.43"
应收利息,,,,,,,,,,
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"43,023,130.12","31,650,775.66","36,921,335.41","41,051,354.52","38,963,718.82","40,333,827.26","34,381,475.79","37,711,026.25","42,720,613.52","52,212,014.52"
其他应付款,"3,032,892.46","4,188,058.46","4,013,595.91","4,540,678.57","17,017,948.11","6,720,552.69","4,158,430.93","3,764,873.22","3,223,952.22","7,607,721.36"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,"1,083,332.00","1,083,332.00",,,,,
其他流动资产,,,,"777,860.84",,,"71,103,545.51","148,133,545.51","140,173,545.51","150,083,203.43"
其他流动负债,,,,,,,,,,
流动资产合计,"184,681,670.51","219,525,049.81","248,816,869.62","240,199,341.41","426,088,778.13","388,890,811.59","404,017,287.75","388,566,545.67","382,026,219.31","396,580,665.83"
流动负债合计,"92,291,379.07","89,616,335.13","88,859,870.69","83,175,410.58","84,113,596.04","44,710,889.27","53,826,675.08","32,836,317.51","40,940,426.56","54,102,551.07"
可供出售金融资产,,,,,,,,,,
长期借款,,,"6,500,000.00","5,145,835.00","4,875,002.00",,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,"9,910,000.00","16,910,000.00","21,910,000.00","22,847,500.00","25,660,000.00","25,660,000.00","25,660,000.00","28,160,000.00","28,160,000.00","28,160,000.00"
投资性房地产,,,,,,,,,,
预计负债,,,,,,,,,,
固定资产,"60,940,765.00","57,263,275.35","52,259,218.67","51,072,915.83","63,545,042.24","62,060,036.04","61,227,847.44","60,466,473.97","59,981,826.44","97,428,561.42"
递延所得税负债,,,,,,,,,,
在建工程,,"530,000.00","13,202,123.33","23,325,632.96","22,724,953.27","21,882,447.01","28,131,173.80","31,180,820.64","31,350,604.39",
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"9,910,000.00","16,910,000.00","28,410,000.00","27,993,335.00","30,535,002.00","25,660,000.00","25,660,000.00","28,160,000.00","28,160,000.00","28,160,000.00"
固定资产清理,,,,,,,,,,"1,142.57"
负债合计,"102,201,379.07","106,526,335.13","117,269,870.69","111,168,745.58","114,648,598.04","70,370,889.27","79,486,675.08","60,996,317.51","69,100,426.56","82,262,551.07"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","200,000,000.00","200,000,000.00"
油气资产,,,,,,,,,,
资本公积,"50,330,944.38","50,330,944.38","50,330,944.38","50,330,944.38","209,917,736.84","209,917,736.84","209,917,736.84","209,917,736.84","109,917,736.84","109,917,736.84"
无形资产,"8,480,276.40","7,896,640.78","7,349,037.62","6,719,134.91","6,604,077.80","6,536,995.07","6,419,449.55","6,317,751.92","6,213,663.68","6,095,627.28"
盈余公积,"6,032,479.15","10,735,567.60","14,952,755.83","14,952,755.83","14,952,755.83","14,952,755.83","18,431,353.16","18,431,353.16","18,431,353.16","18,431,353.16"
