科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"3,550,567,947.40","4,452,522,347.09","4,917,418,337.45","1,099,608,590.44","2,269,910,539.46","3,400,685,674.80","5,156,920,470.98","1,220,713,133.60","2,483,250,580.88","3,497,730,689.44","6,169,576,794.82","2,246,704,671.90","4,043,632,991.24","5,652,714,408.45","8,862,998,483.68","2,258,324,778.11"
取得子公司及其他营业单位支付的现金净额,"30,937,242.35",,"314,300.00",,,,"4,900,000.00",,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"12,670,373.42",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"218,137,397.09","240,941,468.48","223,493,912.94","58,878,716.30","160,996,030.73","187,775,938.56","191,104,062.58","75,590,330.37","219,320,130.65","298,640,253.90","354,808,422.46","73,089,161.85","639,162,480.26","658,683,288.36","370,584,018.07","187,489,656.39"
投资活动现金流出小计,"1,640,196,082.45","2,028,522,064.71","1,489,943,712.41","229,660,964.28","410,795,010.95","810,650,394.16","1,623,921,581.65","335,044,937.41","565,091,363.70","2,835,561,186.60","1,881,835,844.25","613,561,633.69","1,466,855,477.10","1,994,497,781.74","2,777,862,789.65","668,475,776.01"
经营活动现金流入小计,"3,768,705,344.49","4,693,463,815.57","5,140,912,250.39","1,158,487,306.74","2,430,906,570.19","3,588,461,613.36","5,348,024,533.56","1,296,303,463.97","2,702,570,711.53","3,796,370,943.34","6,524,385,217.28","2,319,793,833.75","4,682,795,471.50","6,311,397,696.81","9,233,582,501.75","2,445,814,434.50"
投资活动产生的现金流量净额,"-1,540,843,167.66","-1,692,479,886.86","-1,409,030,025.31","-218,359,193.75","-388,963,197.71","-770,155,832.77","-1,521,836,811.01","-334,860,168.39","-563,037,133.04","-2,833,382,188.77","-1,059,960,695.37","-606,786,430.46","-1,420,176,748.74","-1,945,966,114.52","-2,645,956,375.93","-668,230,247.61"
购买商品、接受劳务支付的现金,"626,732,748.33","1,022,065,358.34","1,412,167,115.82","423,729,327.43","826,063,215.70","1,263,688,841.12","1,449,862,740.27","469,303,687.41","963,323,712.85","1,309,700,214.75","2,029,284,906.26","813,474,322.91","736,034,932.68","1,904,262,994.24","3,162,711,726.29","875,699,740.97"
吸收投资收到的现金,"413,917,700.00","72,632,057.61","657,055.80",,"3,142,169,600.00","3,142,169,600.00","3,121,950,800.00",,,,,,"22,000,000.00","22,000,000.00","22,000,000.00",
支付给职工以及为职工支付的现金,"754,967,167.93","895,406,068.18","1,076,691,258.20","353,780,866.41","578,383,021.85","828,249,026.34","1,155,303,285.05","448,097,138.42","679,774,445.78","965,927,416.59","1,452,007,355.50","903,084,243.60","1,449,923,965.91","2,009,960,599.16","2,665,152,285.22","910,191,805.10"
取得借款收到的现金,"796,000,000.00","64,844,118.84","178,303,916.70","48,865,144.64","116,668,408.52","167,167,899.70","264,001,924.22","83,298,920.82","126,542,834.51","185,116,457.95","226,848,576.94","25,000,000.00","32,832,582.00","93,972,155.00","1,126,672,155.00","46,408,719.85"
支付的各项税费,"91,644,286.35","141,922,073.96","79,588,559.55","42,048,493.82","71,122,392.79","73,911,727.64","74,157,296.57","23,783,282.94","49,746,063.37","67,727,810.16","70,690,846.09","34,829,775.54","39,817,971.88","82,150,036.67","89,197,189.95","31,771,172.16"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"500,000,000.00",
支付其他与经营活动有关的现金,"379,509,191.94","489,373,700.55","374,687,632.30","202,602,696.25","366,708,663.75","367,894,377.31","365,468,886.44","149,580,550.52","357,641,122.46","377,985,882.52","438,235,708.03","192,878,956.98","722,382,547.06","808,587,713.25","552,408,748.68","233,306,334.20"
筹资活动现金流入小计,"2,709,917,700.00","1,637,476,176.45","1,678,960,972.50","48,865,144.64","4,258,838,008.52","4,309,337,499.70","4,385,952,724.22","83,298,920.82","1,126,542,834.51","1,985,116,457.95","2,026,848,576.94","25,000,000.00","54,832,582.00","115,972,155.00","1,648,672,155.00","46,408,719.85"
经营活动现金流出小计,"1,852,853,394.55","2,548,767,201.03","2,943,134,565.87","1,022,161,383.91","1,842,277,294.09","2,533,743,972.41","3,044,792,208.33","1,090,764,659.29","2,050,485,344.46","2,721,341,324.02","3,990,218,815.88","1,944,267,299.03","2,948,159,417.53","4,804,961,343.32","6,469,469,950.14","2,050,969,052.43"
偿还债务支付的现金,"1,865,000,000.00","1,520,987,000.00","1,596,730,340.66","5,000,000.00","1,506,398,851.21","1,517,479,007.88","1,540,757,706.96","10,000,000.00","1,073,301,825.20","1,476,549,168.83","1,508,849,615.10","20,207,496.19","1,013,830,486.54","1,054,953,686.29","1,083,671,267.37","39,330,480.69"
经营活动产生的现金流量净额,"1,915,851,949.94","2,144,696,614.54","2,197,777,684.52","136,325,922.83","588,629,276.10","1,054,717,640.95","2,303,232,325.23","205,538,804.68","652,085,367.07","1,075,029,619.32","2,534,166,401.40","375,526,534.72","1,734,636,053.97","1,506,436,353.49","2,764,112,551.61","394,845,382.07"
分配股利、利润或偿还利息支付的现金,"470,087,355.53","470,877,073.68","544,028,080.48","230,183.33","97,472,721.33","106,141,792.67","616,511,549.70","2,867,141.03","20,022,291.58","36,061,255.31","175,520,018.10","26,236,514.65","519,927,425.50","916,386,049.80","942,477,747.55","18,115,836.02"
收回投资收到的现金,"62,061,000.00","254,370,087.39","28,605,584.08","11,000,000.00","11,000,000.00","11,000,000.00","48,906,640.09",,,,"5,828,194.79",,,,"6,763,137.77",
支付其他与筹资活动有关的现金,"6,000,000.00","6,000,000.00","6,000,000.00",,"4,000,000.00","4,000,000.00","4,070,000.00",,"4,000,000.00","6,400,000.00","6,554,856.60",,,,"510,756,669.25",
取得投资收益收到的现金,"15,595,797.80","17,652,778.90","11,804,259.51",,"7,412,300.00","2,472,283.97","15,589,557.55",,"1,750,000.00","1,750,000.00","14,337,739.77","1,000,000.00","1,000,000.00","1,329,389.92","6,502,989.92",
筹资活动现金流出小计,"2,341,087,355.53","1,997,864,073.68","2,146,758,421.14","5,230,183.33","1,607,871,572.54","1,627,620,800.55","2,161,339,256.66","12,867,141.03","1,097,324,116.78","1,519,010,424.14","1,690,924,489.80","46,444,010.84","1,533,757,912.04","1,971,339,736.09","2,536,905,684.17","57,446,316.71"
处置固定资产、无形资产和其他长期资产收回的现金净额,"19,649,649.43","64,019,311.56","39,373,859.10","301,770.53","3,419,513.24","27,022,277.42","37,588,573.00","184,769.02","304,230.66","428,997.83","69,676,107.85","5,775,203.23","45,678,728.36","47,202,277.30","118,640,286.03","245,528.40"
筹资活动产生的现金流量净额,"368,830,344.47","-360,387,897.23","-467,797,448.64","43,634,961.31","2,650,966,435.98","2,681,716,699.15","2,224,613,467.56","70,431,779.79","29,218,717.73","466,106,033.81","335,924,087.14","-21,444,010.84","-1,478,925,330.04","-1,855,367,581.09","-888,233,529.17","-11,037,596.86"
处置子公司及其他营业单位收到的现金净额,"2,046,467.56",,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,"1,129,984.41",,,,,,,,"732,033,106.47",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"99,352,914.79","336,042,177.85","80,913,687.10","11,301,770.53","21,831,813.24","40,494,561.39","102,084,770.64","184,769.02","2,054,230.66","2,178,997.83","821,875,148.88","6,775,203.23","46,678,728.36","48,531,667.22","131,906,413.72","245,528.40"
