科目,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,"429,256,926.00"
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"57,388,546.00","51,913,892.00","124,676,965.00","100,470,168.00","198,779,478.00","64,270,107.00","159,896,274.00","214,475,077.00","160,813,393.00","82,087,830.00","197,197,304.00","332,239,776.00","303,302,531.00","144,281,019.00","271,506,237.00","365,654,600.00","281,127,993.00","125,049,539.00","175,962,739.00","286,711,472.00","306,475,405.00","36,593,789.00","129,514,327.00","232,834,384.00","315,515,401.00","55,587,764.00","-22,523,162.00"
三、利润总额,"4,057,296,713.00","859,034,270.00","1,382,400,730.00","1,738,754,285.00","999,836,360.00","461,712,633.00","1,193,135,411.00","2,206,407,369.00","2,645,721,988.00","849,089,311.00","1,805,776,452.00","2,271,410,684.00","3,053,592,870.00","504,420,961.00","1,802,934,371.00","2,752,238,896.00","4,406,927,230.00","2,076,913,418.00","4,424,710,601.00","6,252,227,169.00","7,050,717,052.00","4,205,127,617.00","6,879,241,063.00","9,990,669,554.00","11,976,494,978.00","4,320,397,524.00","7,613,474,328.00"
资产减值损失,"2,437,304.00","-908,574.00","3,404,276.00","3,270,403.00","10,483,555.00","40,350,732.00","38,688,296.00","38,647,917.00","80,283,842.00","311,117.00","3,817,355.00","16,496,050.00","117,186,256.00","-5,980,853.00","-29,869,543.00","-28,666,459.00","275,738,138.00","10,733,423.00","238,959,692.00","370,421,721.00","983,018,046.00","12,638,649.00","940,470,296.00","1,043,197,728.00","1,576,824,240.00","2,123,460.00","70,638,051.00"
减:所得税,"-109,914,491.00","-14,584,008.00","-66,320,424.00","-54,228,107.00","-64,786,200.00","13,111,427.00","32,047,870.00","58,048,480.00","100,783,593.00","42,272,769.00","92,433,851.00","83,866,233.00","126,094,389.00","33,638,753.00","81,193,624.00","133,417,662.00","400,066,622.00","194,639,060.00","410,604,698.00","617,913,198.00","754,341,512.00","373,001,751.00","681,259,293.00","1,014,029,316.00","1,154,258,549.00","421,343,141.00","668,606,285.00"
加:公允价值变动净收益,"-445,500.00",,,,"-39,678.00","26,839.00","-21,086.00","13,344.00","347,306.00",,,,,,"-2,465,538.00","-36,929.00","11,272,720.00","-1,087,937.00","-4,289,762.00","2,571,556.00","52,219,957.00","-992,656.00","-736,616.00","-602,776.00","89,386,827.00","-48,304,285.00","-126,609,316.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"4,650,545,687.00","1,190,310,505.00","2,156,718,102.00","2,708,370,773.00","2,643,919,235.00","978,185,197.00","1,853,993,687.00","3,035,807,385.00","3,995,350,129.00","1,168,406,362.00","2,170,782,087.00","3,001,831,551.00","4,209,795,817.00","606,545,180.00","2,029,761,380.00","3,226,910,217.00","4,835,169,034.00","1,327,881,196.00","3,208,559,574.00","4,691,576,320.00","5,847,859,995.00","2,321,189,715.00","4,687,675,378.00","6,858,522,079.00","8,327,734,166.00","2,447,005,872.00","5,115,060,850.00"
四、净利润,"4,167,211,204.00","873,618,278.00","1,448,721,154.00","1,792,982,392.00","1,064,622,560.00","448,601,206.00","1,161,087,541.00","2,148,358,889.00","2,544,938,395.00","806,816,542.00","1,713,342,601.00","2,187,544,451.00","2,927,498,481.00","470,782,208.00","1,721,740,747.00","2,618,821,234.00","4,006,860,608.00","1,882,274,358.00","4,014,105,903.00","5,634,313,971.00","6,296,375,540.00","3,832,125,866.00","6,197,981,770.00","8,976,640,238.00","10,822,236,429.00","3,899,054,383.00","6,944,868,043.00"
其中:对联营企业和合营企业的投资权益,"4,636,438,339.00","1,190,310,505.00","2,146,340,299.00","2,689,942,991.00","2,634,884,199.00","988,140,426.00","1,843,464,775.00","3,016,426,180.00","4,018,911,914.00","1,137,016,533.00","2,129,426,163.00","2,943,037,815.00","4,101,258,756.00","563,901,656.00","1,915,916,264.00","3,055,991,739.00","4,638,822,785.00","1,301,645,690.00","3,152,307,853.00","4,574,262,300.00","5,734,640,655.00","2,294,954,209.00","4,600,997,399.00","6,576,567,613.00","8,241,238,849.00","2,430,261,894.00","4,942,946,520.00"
归属于母公司所有者的净利润,"4,271,618,981.00","901,961,107.00","1,481,372,581.00","1,838,197,036.00","1,133,583,786.00","478,251,318.00","1,218,266,254.00","2,242,425,127.00","2,668,921,930.00","849,214,666.00","1,725,151,971.00","2,272,247,044.00","3,185,890,686.00","529,870,990.00","1,750,102,224.00","2,701,697,559.00","4,232,351,906.00","1,926,980,248.00","3,981,383,187.00","5,608,622,104.00","6,288,215,860.00","3,828,578,391.00","6,182,602,437.00","8,962,118,184.00","10,786,219,906.00","3,880,052,518.00","6,913,102,680.00"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-104,407,777.00","-28,342,829.00","-32,651,427.00","-45,214,644.00","-68,961,226.00","-29,650,112.00","-57,178,713.00","-94,066,238.00","-123,983,535.00","-42,398,124.00","-11,809,370.00","-84,702,593.00","-258,392,205.00","-59,088,782.00","-28,361,477.00","-82,876,325.00","-225,491,298.00","-44,705,890.00","32,722,716.00","25,691,867.00","8,159,680.00","3,547,475.00","15,379,333.00","14,522,054.00","36,016,523.00","19,001,865.00","31,765,363.00"
