科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"51,732,437.74","50,201,174.44","67,290,877.22","49,571,921.41","630,739,790.31","569,016,387.96","539,483,443.40","529,728,749.05","493,826,573.15","459,768,906.61","406,246,514.85","393,845,394.27","364,876,101.82","362,644,488.66","309,434,771.71","272,452,712.96","258,271,694.54","235,621,409.14","195,343,760.68","185,941,169.57","175,365,286.58","156,048,670.65","80,273,125.79","74,862,782.51","113,503,973.45","105,939,861.26","79,279,726.12","388,153,455.87","239,042,573.63","215,454,436.10","174,812,946.96","192,774,009.18","234,231,542.52","252,017,850.21","476,889,039.72","492,555,072.13","494,785,477.81"
短期借款,"19,000,000.00","36,000,000.00","50,000,000.00","41,000,000.00","21,000,000.00",,,,,,,,,,,,,,,,,,,,"55,000,000.00","75,000,000.00","145,000,000.00","110,000,000.00","40,000,000.00","40,000,000.00","30,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"8,022,843.55","5,296,153.25","4,977,807.92","5,428,724.52","9,510,599.05","4,350,989.40","11,421,084.57","11,678,901.16","13,595,763.37","11,265,463.38","12,878,437.99","17,770,986.96","39,697,645.37","20,342,182.03","15,251,355.21","15,027,426.88","25,032,445.00","45,407,099.18","35,826,739.58","14,858,475.10","31,555,805.80","30,272,055.43","34,014,588.84","34,390,747.91","30,243,081.19","46,691,663.14","59,162,916.24","23,304,110.46","47,773,145.27","73,821,785.93","159,433,118.75","109,556,036.74","94,004,495.01","105,881,493.57","90,066,838.90","106,827,079.41","142,874,157.36"
应付票据,,,"5,000,000.00",,,,,,,,,,,,"13,655,000.00","9,212,100.00","3,527,100.00",,,"3,920,000.00","4,000,000.00","4,000,000.00",,,"37,208,814.00","36,274,564.00",,"49,517,080.00","41,737,080.00","35,423,475.53","18,273,475.53","12,250,000.00",,"8,800,000.00","15,749,000.00","60,001,496.20","137,589,174.61"
应收账款,"22,697,925.29","16,222,359.90","25,700,763.13","31,221,119.13","21,184,776.32","28,654,477.75","36,692,586.74","49,510,194.16","40,111,966.70","66,700,166.15","71,168,245.53","83,664,979.70","62,994,191.65","77,602,451.79","92,124,990.38","119,719,264.10","119,911,151.49","135,022,656.65","151,247,731.34","177,290,230.33","160,171,739.76","229,870,691.27","260,154,475.42","295,279,358.04","296,104,091.68","392,761,284.25","419,037,585.16","471,530,934.47","415,579,564.81","458,842,397.48","408,919,818.06","415,032,894.27","381,511,090.01","437,871,975.98","479,745,478.07","480,090,006.68","473,065,964.40"
应付账款,"12,459,721.32","7,145,099.44","14,178,750.44","23,910,111.43","21,802,738.55","30,791,829.77","24,866,263.70","37,662,647.73","20,392,111.37","29,229,310.18","29,154,353.80","29,403,588.35","24,254,155.91","39,684,804.92","46,519,868.04","44,077,396.23","44,062,707.09","42,649,220.94","46,857,400.53","66,489,757.34","51,275,547.53","84,439,304.73","76,931,502.76","87,709,133.21","111,112,070.31","103,985,468.81","131,415,159.39","102,867,752.33","122,618,293.60","144,203,802.60","170,229,640.46","174,955,188.53","157,781,515.80","182,020,000.06","236,624,441.71","245,772,188.13","145,604,882.51"
预付款项,"28,083,435.46","59,154,449.27","41,336,822.23","53,367,525.53","30,804,771.39","39,643,866.12","45,389,773.75","49,645,915.32","67,091,195.28","87,617,840.84","64,567,767.80","64,953,989.15","59,798,169.00","87,074,166.45","102,311,253.30","72,778,611.09","55,234,003.54","44,345,113.73","45,290,957.93","66,639,375.54","47,625,431.21","48,453,770.13","79,869,678.54","75,474,644.21","58,345,865.02","41,579,900.16","58,071,978.77","104,922,860.06","40,556,413.26","46,203,325.61","25,700,172.38","30,513,819.28","41,658,077.02","32,632,168.14","22,767,968.94","53,013,703.42","41,251,516.33"
预收款项,"7,291,232.86","14,302,757.32","9,944,836.97","9,896,039.99","24,475,033.48","27,140,290.37","34,748,387.19","34,725,557.38","14,654,680.52","23,688,873.73","16,876,776.09","13,087,387.33","18,417,290.11","17,054,636.37","19,605,206.36","19,208,276.85","21,213,218.95","22,558,212.41","26,185,038.05","31,666,957.99","24,818,565.66","22,134,735.80","21,639,607.27","26,790,739.36","14,019,330.50","9,367,975.63","8,531,824.84","7,548,695.23","14,583,604.12","13,797,699.76","23,256,636.81","34,721,629.55","29,653,042.51","24,114,847.91","20,238,069.89","25,171,162.68","25,826,899.26"
