科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"244,384,254.19","340,095,092.61","42,044,738.57","299,247,317.62","65,488,117.00","129,980,987.83","187,541,182.63","294,333,012.10","83,121,120.66","172,205,824.53","263,996,422.85","406,195,076.10","83,428,959.96","180,459,379.46","279,352,085.08","425,998,347.93","121,104,047.63","233,482,705.87","337,337,509.54","504,080,891.93","95,936,104.71","228,493,950.39","384,749,192.30","548,384,363.93","85,369,389.25","217,393,953.37","328,488,075.10","471,465,114.26","136,838,111.58","290,548,137.13","488,530,848.69","661,775,767.11","193,602,716.65","405,732,899.95","668,023,611.58","995,939,028.84","235,902,000.99","539,572,353.86","895,075,345.18","1,362,096,232.75","337,065,669.55"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,733,933.67","75,254,716.98","75,450,000.00","75,450,000.00",,,,"48,900,000.00","97,760,589.50",,"65,200,000.00","65,200,000.00","65,200,000.00",
收到的税费返还,"1,679,798.88","1,134,212.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,130.92",
支付其他与投资活动有关的现金,"103,852.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,330,897.52","2,365,616.91","3,006,714.65","2,232,791.30","1,580,032.74","3,501,944.34","2,361,036.44","8,480,605.65","2,157,300.00","7,529,674.23","4,145,720.73","11,871,386.33","3,175,240.29","6,141,571.28","8,333,525.79","10,858,909.93","548,906.21","5,000,145.60","5,565,884.46","7,381,488.70","7,518,200.28","8,219,198.98","9,465,166.29","10,174,219.93","2,672,484.63","3,549,777.86","4,237,854.11","6,561,862.18","4,302,836.22","2,530,921.83","9,884,817.28","9,831,241.92","1,440,546.34","14,852,442.92","49,528,881.45","54,182,097.64","2,061,031.48","49,763,808.13","53,222,132.78","32,377,588.34","2,250,182.89"
投资活动现金流出小计,"29,110,159.40","9,958,952.50","2,276,544.96","20,882,270.95","1,395,222.11","5,894,051.26","10,976,017.99","30,264,272.86","10,087,843.49","55,028,361.19","110,693,594.27","117,732,743.66","30,712,907.41","34,272,277.97","40,469,420.02","50,295,972.19","10,722,925.48","24,718,180.13","26,552,943.07","44,903,464.05","16,362,920.71","130,674,136.88","156,471,106.43","536,068,064.31","129,400,483.93","150,549,782.80","344,000,065.06","618,561,897.56","190,281,975.97","378,103,783.79","432,161,794.65","344,514,869.52","175,529,432.17","449,647,672.21","873,056,913.10","1,794,196,891.52","213,416,259.56","535,647,949.06","782,147,203.55","1,344,898,679.66","345,556,637.93"
经营活动现金流入小计,"249,394,950.59","343,594,922.11","45,051,453.22","301,480,108.92","67,068,149.74","133,482,932.17","189,902,219.07","302,813,617.75","85,278,420.66","179,735,498.76","268,142,143.58","418,066,462.43","86,604,200.25","186,600,950.74","287,685,610.87","436,857,257.86","121,652,953.84","238,482,851.47","342,903,394.00","511,462,380.63","103,454,304.99","236,713,149.37","394,214,358.59","558,558,583.86","88,041,873.88","220,943,731.23","332,725,929.21","478,026,976.44","141,140,947.80","293,079,058.96","498,415,665.97","671,607,009.03","195,043,262.99","420,585,342.87","717,552,493.03","1,050,121,126.48","237,963,032.47","589,336,161.99","948,297,477.96","1,394,558,952.01","339,315,852.44"
投资活动产生的现金流量净额,"-21,149,029.40","-7,696,452.50","-2,276,544.96","-13,228,270.95","-1,395,222.11","-5,894,051.26","-10,848,591.84","-20,902,272.86","-10,087,843.49","-54,131,204.35","-98,796,437.43","-105,758,147.84","-30,696,907.41","-34,256,277.97","-32,403,388.64","-41,132,183.73","-7,222,925.48","-21,211,363.79","-23,044,655.58","-27,147,528.33","-16,324,104.27","-129,733,672.15","-154,440,199.07","-177,114,244.24","-23,625,516.13","-37,566,278.10","-41,243,506.83","-101,420,644.25","-104,050,932.17","-133,629,157.25","-170,788,780.56","-170,128,247.40","-134,557,231.21","-237,357,472.46","-406,319,999.69","-483,387,260.03","-54,380,885.39","-67,617,271.79","-90,919,444.33","-224,873,057.91","-60,205,372.61"
购买商品、接受劳务支付的现金,"145,209,721.61","223,950,194.98","34,001,430.15","158,460,748.02","50,272,374.79","86,530,597.00","139,378,241.76","206,998,114.40","65,080,209.56","129,189,676.41","161,223,949.22","241,754,690.70","87,084,385.34","167,722,809.23","253,187,410.06","321,199,876.70","101,557,062.56","167,665,002.82","229,321,814.27","275,002,826.23","89,066,527.42","164,495,446.93","231,064,014.09","307,631,089.43","75,448,530.86","147,335,150.22","239,255,862.24","323,501,160.56","73,489,724.79","183,542,495.04","283,835,639.77","394,631,119.09","144,840,515.11","267,970,972.78","458,068,189.32","634,361,598.49","198,232,129.93","403,122,297.96","711,065,757.57","907,774,559.13","258,638,103.77"
吸收投资收到的现金,,,,,,"545,950,000.00","545,950,000.00","547,950,000.00",,,,,,,,,,,,,,,,,,,,,"40,921,000.00","39,184,800.00","39,184,800.00","39,184,800.00","450,999,998.67","450,165,893.88","450,165,893.88","462,999,998.60",,,,,
