科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"76,939,366.48","315,385,012.42","916,577,206.27","109,338,661.71","490,405,296.87","773,720,068.08","1,160,722,450.42","193,514,219.55","474,495,355.38","784,137,294.55","1,518,956,708.60","145,385,588.16","453,538,975.34","779,417,538.73","1,732,831,233.24","306,325,752.60","611,823,172.26","826,864,308.77","1,468,489,214.25","191,699,972.31","618,054,211.09","1,021,864,856.36","1,560,660,496.28","195,271,037.23","394,041,950.01","682,330,981.56","1,217,316,690.53","217,755,686.14","513,491,080.19","852,943,431.85","1,297,746,277.84","298,616,868.25","537,177,090.35","803,828,736.78","1,404,887,461.41","200,945,797.71","397,167,560.79","630,247,358.86","1,215,274,822.15","199,427,314.68","357,425,114.21","688,890,094.43","1,375,230,660.24","210,830,902.26","477,300,593.08"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"694,735.04","4,947,710.46","2,397,948.72","2,789,808.23","5,009,573.18","5,009,573.18","1,202,673.67","2,188,656.58","2,188,656.58","2,188,656.58","2,030,598.29","2,030,598.29","2,030,598.29","2,068,139.59","784,957.27","893,606.84","4,042,203.47","4,166,647.92",,,"1,384,064.94","1,374,549.88",,"1,352,844.31","1,384,971.29","2,481,638.66","1,108,290.77","1,736,088.49","2,749,098.60","3,435,665.58","2,975,471.32","3,859,180.01","5,173,135.97","6,576,251.09","508,662.11","533,074.98","1,213,121.01","1,135,465.68","789,930.67","911,948.14","1,487,384.80","1,487,384.80","898,858.48","1,673,936.93"
支付其他与投资活动有关的现金,,,,,,"12,523.37",,,,,"21,519.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,320.75",,
收到其他与经营活动有关的现金,"11,675,253.77","5,640,125.98","13,678,653.90","10,417,976.92","11,341,759.34","60,676,047.54","29,226,268.04","3,632,708.02","8,328,303.71","10,958,273.69","46,358,171.64","4,507,086.82","8,808,125.70","27,521,381.27","32,810,635.06","7,812,532.56","11,961,543.88","47,106,992.00","31,357,182.31","18,888,011.72","14,307,592.28","39,307,605.05","40,538,020.99","6,197,545.86","14,136,784.92","55,225,363.55","21,159,572.25","5,103,172.77","9,674,235.51","20,073,525.86","28,185,509.78","7,087,210.50","11,085,599.08","25,972,247.05","33,575,706.77","4,341,605.81","16,701,642.16","21,045,694.80","65,346,198.72","19,171,270.82","23,290,699.64","37,222,112.80","44,792,746.81","9,267,668.71","17,522,248.31"
投资活动现金流出小计,"4,415,560.29","14,213,133.42","38,142,055.90","928,969.00","27,649,434.16","34,945,486.96","110,543,368.33","23,967,189.94","55,523,943.89","63,099,571.45","154,194,648.59","20,279,583.77","55,848,163.15","88,808,008.92","161,703,792.28","24,857,750.87","54,351,880.07","74,735,327.79","162,413,747.43","22,812,102.01","37,789,376.84","63,936,972.18","133,783,959.47","10,615,981.81","28,379,693.23","43,502,087.54","69,230,086.25","1,267,101.80","6,344,348.91","10,912,911.71","32,240,573.88","2,735,599.66","2,963,912.38","7,339,942.06","8,039,825.10","2,416,776.54","2,950,983.34","3,183,543.89","4,888,535.50","180,643.63","2,541,790.32","4,981,555.67","20,215,632.10","5,375,455.33","15,023,056.64"
经营活动现金流入小计,"88,614,620.25","321,719,873.44","935,203,570.63","122,154,587.35","504,536,864.44","839,405,688.80","1,194,958,291.64","198,349,601.24","485,012,315.67","797,284,224.82","1,567,503,536.82","151,923,273.27","464,377,699.33","808,969,518.29","1,767,710,007.89","314,923,242.43","624,678,322.98","878,013,504.24","1,504,013,044.48","210,587,984.03","632,361,803.37","1,062,556,526.35","1,602,573,067.15","201,468,583.09","409,531,579.24","738,941,316.40","1,240,957,901.44","223,967,149.68","524,901,404.19","875,766,056.31","1,329,367,453.20","308,679,550.07","552,121,869.44","834,974,119.80","1,445,039,419.27","205,796,065.63","414,402,277.93","652,506,174.67","1,281,756,486.55","219,388,516.17","381,627,761.99","727,599,592.03","1,421,510,791.85","220,997,429.45","496,496,778.32"
投资活动产生的现金流量净额,"-4,352,491.46","-14,213,133.42","-38,142,055.90","-855,978.06","-27,649,434.16","-34,945,486.96","-110,543,368.33","-23,967,189.94","-55,523,943.89","-63,121,091.01","-154,189,744.74","-20,279,583.77","-55,021,134.69","-87,297,698.68","-161,703,792.28","-24,857,750.87","-52,978,974.69","-72,665,881.79","-151,383,159.19","-22,812,102.01","-37,789,376.84","-63,936,972.18","-126,783,959.47","-10,094,226.19","-28,304,960.88","-43,427,355.19","-54,257,446.88","-420,418.92","-4,478,361.37","-6,516,622.08","-26,732,999.17","-1,723,037.83","-792,987.14","-3,796,512.11","-2,996,041.94","-1,051,044.56","-209,564.89","502,902.73","2,119,880.13","5,925,437.09","5,109,653.21","3,892,028.04","-6,467,699.85","-2,955,209.00","-8,469,396.72"
购买商品、接受劳务支付的现金,"88,483,311.05","305,381,328.05","793,371,192.13","125,754,736.52","459,435,005.27","771,659,428.74","1,055,512,035.22","192,615,128.79","431,084,248.99","702,326,626.89","1,234,521,827.13","241,133,018.20","491,699,999.94","782,021,949.53","1,546,789,895.44","344,960,509.48","594,142,035.82","750,090,392.11","1,208,507,206.68","156,976,512.33","534,650,531.86","899,094,721.20","1,140,269,457.94","191,513,478.92","317,472,990.47","538,506,882.95","823,054,304.79","208,746,132.62","441,392,870.10","699,375,531.27","844,164,577.12","240,438,976.44","448,616,831.70","623,121,339.36","836,172,031.13","204,167,074.14","367,734,327.26","523,692,920.15","753,940,254.29","210,129,571.26","362,221,907.67","613,199,407.36","983,741,430.30","244,274,174.11","506,366,695.57"
吸收投资收到的现金,,,"550,000.00",,"291,580,000.00","291,580,000.00","291,580,000.00",,,,,"274,359,884.07","274,359,884.07","274,359,884.07","276,328,063.07",,,,"58,800,000.00",,,,,"26,950,000.91","26,950,000.91","26,950,000.91","26,950,000.91",,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"12,006,825.15","33,984,119.28","74,748,075.66","17,791,447.25","37,736,789.79","54,777,494.19","52,091,851.93","9,536,004.58","32,860,553.51","56,385,774.25","71,405,578.82","20,923,978.65","44,683,325.91","60,782,931.45","113,158,078.50","36,148,919.60","67,627,761.64","102,786,625.07","113,906,182.96","39,765,110.44","86,650,716.93","125,876,442.14","167,750,848.36","37,837,462.56","71,415,155.67","121,643,107.05","196,600,479.22","47,399,293.62","88,188,605.30","136,421,201.86","223,478,816.07","47,189,932.68","90,422,577.45","138,691,312.87","235,203,729.19","55,706,458.05","109,355,158.30","167,885,068.10","281,527,039.08","67,181,958.98","130,649,377.19","192,976,284.22","290,307,210.77","68,318,644.56","131,309,762.40"
取得借款收到的现金,"30,000,000.00","60,000,000.00","145,000,000.00","30,000,000.00","70,000,000.00","153,000,000.00","188,000,000.00",,"50,000,000.00","90,000,000.00","140,000,000.00","50,000,000.00","110,000,000.00","160,000,000.00","363,000,000.00",,"153,000,000.00","208,000,000.00","431,000,000.00",,"120,000,000.00","175,000,000.00","295,000,000.00","10,000,000.00","95,000,000.00","130,000,000.00","190,000,000.00",,"20,000,000.00","20,000,000.00","30,000,000.00",,,,,,,,,,,,,,
支付的各项税费,"6,045,542.26","8,230,338.82","23,956,912.57","3,762,487.21","6,265,583.14","13,652,319.28","18,728,789.44","5,699,124.08","11,175,261.27","10,841,130.06","14,768,738.48","16,454,741.05","20,784,463.62","28,917,250.66","31,303,807.50","14,534,094.22","23,218,420.78","32,098,834.70","37,510,042.41","11,663,698.55","19,313,143.11","31,439,157.55","43,540,122.97","25,043,714.16","33,065,253.10","41,864,785.87","45,957,800.55","26,844,687.00","32,078,644.71","39,130,575.98","43,019,386.84","20,735,819.45","29,436,056.74","36,504,720.15","53,165,961.16","18,404,300.65","26,516,497.26","31,111,719.82","43,620,537.56","28,954,657.80","34,726,986.24","39,466,234.79","59,068,534.90","17,650,570.25","22,780,784.96"
