科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"562,529,687.86","579,847,362.55","709,917,986.44","773,103,667.59","1,052,509,425.17","262,061,311.38","598,295,889.16","912,160,787.29","1,091,125,802.85","345,791,278.52","646,390,348.24","1,055,147,803.27","1,297,292,260.27","508,755,000.79","939,709,746.90","1,545,113,612.43"
取得子公司及其他营业单位支付的现金净额,"28,893,810.47",,,"557,585.63","564,911.31",,,,,,,,,,,
收到的税费返还,"515,817.29",,"303,858.97","442,177.35","443,227.35","55,807.89","1,115,326.81","1,115,326.81","48,903.40",,,,"645,824.20",,,
支付其他与投资活动有关的现金,,,,,,"250,000,000.00","198,000,000.00","225,000,000.00","632,500,000.00","155,000,000.00","228,365,040.00","328,365,040.00","409,965,040.00","60,000,000.00","60,000,000.00","60,000,000.00"
收到其他与经营活动有关的现金,"57,560,422.30","28,922,857.23","16,087,835.94","6,365,024.26","7,527,040.26","841,257.24","12,729,356.18","6,964,299.15","21,713,304.94","1,602,889.00","8,011,464.08","13,633,103.07","11,227,054.72","2,309,288.91","8,750,963.11","17,949,573.09"
投资活动现金流出小计,"78,231,598.34","86,060,898.39","177,981,721.14","117,505,405.59","157,265,771.67","282,982,950.29","261,976,505.85","307,234,278.31","726,534,696.11","178,047,357.37","297,261,201.28","428,996,092.01","523,344,740.44","96,962,520.05","137,534,607.65","181,553,295.80"
经营活动现金流入小计,"620,605,927.45","608,770,219.78","726,309,681.35","779,910,869.20","1,060,479,692.78","262,958,376.51","612,140,572.15","920,240,413.25","1,112,888,011.19","347,394,167.52","654,401,812.32","1,068,780,906.34","1,309,165,139.19","511,064,289.70","948,460,710.01","1,563,063,185.52"
投资活动产生的现金流量净额,"-78,144,718.43","-86,049,359.93","-177,806,992.08","-114,259,398.48","-154,677,292.61","-282,598,334.89","-261,549,271.30","-300,609,816.34","-236,466,517.80","-46,023,086.80","-8,190,576.03","-48,806,563.98","-25,729,526.85","1,117,659.20","26,877,470.53","801,272.73"
购买商品、接受劳务支付的现金,"302,753,110.79","300,990,368.91","409,010,254.01","427,516,662.14","591,067,127.76","136,417,678.02","312,045,962.82","508,289,936.43","589,961,290.13","188,898,898.83","415,093,137.26","644,354,085.78","821,616,538.54","274,141,136.57","499,621,560.81","805,701,394.95"
吸收投资收到的现金,"84,630,000.00","2,250,000.00",,"686,585.00","686,585.00","448,325,160.00","448,391,660.00","448,961,660.00","448,961,660.00","1,000,000.00","4,245,000.00","12,212,500.00","14,714,000.00",,,
支付给职工以及为职工支付的现金,"48,387,147.26","60,516,143.78","95,682,774.67","112,685,912.21","164,202,195.09","45,814,131.10","87,918,693.35","139,447,701.84","190,822,068.63","54,313,503.40","113,093,431.95","170,849,826.61","239,020,268.16","71,154,574.89","138,505,395.29","200,075,892.95"
取得借款收到的现金,"70,000,000.00",,"29,000,000.00","113,000,000.00","178,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,"11,734,950.00"
支付的各项税费,"47,680,128.15","57,876,584.81","64,953,856.46","73,911,007.09","98,925,783.65","34,769,081.50","57,709,464.24","83,838,240.33","108,170,374.28","27,553,770.00","59,878,867.81","94,589,850.70","128,703,458.54","37,658,354.61","89,765,231.00","136,211,852.63"
