科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"299,491,498.88","438,037,139.50","310,433,715.34","447,222,751.73","622,285,973.36","191,988,209.48","423,338,819.82","625,301,622.27","859,850,851.26","219,086,507.85","454,035,384.06","675,778,774.46","898,668,894.58","251,738,545.39","506,357,895.53","778,841,073.55","1,062,095,961.41","291,409,351.27","645,490,164.51","1,003,945,638.11","1,354,154,787.37","336,887,286.10","737,320,947.42","1,143,496,140.33","1,792,646,317.66","579,646,717.18","1,304,724,231.50","1,982,849,428.56","3,050,238,407.17","782,314,089.34","1,837,305,183.93","2,681,819,109.82","3,708,771,966.89","1,048,436,283.52","2,137,409,896.04","3,287,298,484.59"
取得子公司及其他营业单位支付的现金净额,,"89,497,670.00",,,"9,450,000.00",,"22,400,000.00","22,082,562.39","134,435,784.75","27,449,300.00","27,449,300.00","35,229,300.00","35,229,300.00",,,,"37,986,700.00","116,489,862.07","251,429,705.86","524,429,705.86","466,090,440.69",,,"160,380,300.83","564,452,371.51","52,353,342.66","439,534,318.64","732,880,287.75","969,858,729.84","250,545,714.60","313,209,266.26","395,804,663.12","515,556,123.41","6,985,914.37","110,356,463.65","120,186,545.01"
收到的税费返还,"393,625.53","463,771.76","24,258.56","24,258.56","497,282.14",,,"118,643.08",,,,,"2,033,428.48",,,,"221,505.59","91,026.47","134,724.78",,"665,987.07",,,,"828,322.59",,"8,018,246.16","21,315,865.27","12,853,126.54","1,374,876.52","1,690,826.85","3,084,442.31","992,934.75","1,693,475.87","2,766,683.75","44,108,714.33"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00"
收到其他与经营活动有关的现金,"28,376,030.97","8,383,194.93","3,826,631.64","7,576,623.61","14,307,379.42","4,295,320.13","9,472,295.24","10,927,241.43","30,012,143.67","8,112,811.98","15,755,639.64","20,551,843.91","33,765,700.70","7,674,301.68","16,685,360.09","22,060,556.88","42,869,789.81","2,075,892.25","22,662,642.25","26,146,536.39","48,696,897.99","6,253,636.11","27,913,147.68","41,503,884.52","60,847,485.12","13,780,808.56","13,458,251.10","58,588,806.47","68,883,213.20","22,232,538.14","25,851,486.99","48,937,819.13","71,182,434.78","39,200,224.15","37,493,639.09","65,393,934.70"
投资活动现金流出小计,"57,366,999.18","213,343,124.13","46,325,646.86","60,340,444.52","102,730,000.79","24,951,170.24","106,715,601.56","140,315,031.75","328,691,181.64","57,610,910.56","95,262,806.50","128,478,076.51","168,094,606.53","48,741,720.81","62,825,053.94","76,246,845.91","139,307,355.29","132,201,152.86","281,206,252.82","590,253,918.74","565,045,397.26","18,802,505.95","42,347,689.14","229,592,224.78","690,619,594.88","93,517,251.12","506,097,359.35","820,842,223.45","1,269,014,258.45","511,628,424.40","839,619,238.78","1,255,071,625.42","1,550,625,193.51","524,807,315.64","737,802,195.29","1,044,963,137.93"
经营活动现金流入小计,"328,261,155.38","446,884,106.19","314,284,605.54","454,823,633.90","637,090,634.92","196,283,529.61","432,811,115.06","636,347,506.78","889,862,994.93","227,199,319.83","469,791,023.70","696,330,618.37","934,468,023.76","259,412,847.07","523,043,255.62","800,901,630.43","1,105,187,256.81","293,576,269.99","668,287,531.54","1,030,092,174.50","1,403,517,672.43","343,140,922.21","765,234,095.10","1,185,000,024.85","1,854,322,125.37","593,427,525.74","1,326,200,728.76","2,062,754,100.30","3,131,974,746.91","805,921,504.00","1,864,847,497.77","2,733,841,371.26","3,780,947,336.42","1,089,329,983.54","2,177,670,218.88","3,396,801,133.62"
投资活动产生的现金流量净额,"-43,452,651.67","-180,671,187.43","-46,325,646.86","-60,340,444.52","-102,730,000.79","-24,951,170.24","-106,416,850.36","-140,315,031.75","-328,394,181.64","-57,610,910.56","-95,262,806.50","-128,478,076.51","-167,987,549.73","-48,682,720.81","-62,766,053.94","-76,187,845.91","-139,165,355.29","-108,485,621.95","-257,426,032.05","-525,940,576.80","-563,747,454.70","-18,741,505.95","-42,167,689.14","-229,327,224.78","-688,653,703.89","-93,517,251.12","-505,749,788.55","-820,494,652.65","-1,216,463,178.78","-508,435,402.02","-804,741,690.55","-1,197,626,847.04","-1,438,725,786.41","-509,445,601.67","-707,139,005.54","-992,020,334.90"
购买商品、接受劳务支付的现金,"127,076,441.11","94,543,479.71","63,088,272.95","88,447,825.45","130,835,371.66","25,673,205.38","76,491,452.28","108,340,504.92","138,621,508.06","30,647,194.18","76,133,099.90","127,350,201.27","176,125,365.27","37,745,505.05","107,870,996.91","161,662,702.25","228,990,261.00","110,146,084.37","206,709,656.80","302,431,956.57","388,134,793.12","116,702,829.15","275,282,704.83","417,978,112.24","675,311,887.34","281,286,247.99","635,616,575.22","958,303,878.81","1,436,910,509.89","279,292,670.09","658,618,296.61","919,658,337.93","1,380,868,902.25","381,625,102.52","658,404,749.23","1,006,071,586.38"
吸收投资收到的现金,"148,144,324.25","8,004,683.00",,"1,154,897,000.00","1,154,897,000.00",,,,,,,,,,,,,,,,,,"4,197.30","3,902.45","1,137,481.93",,,"14,305,822.22","1,303,228,749.05","9,666,434.32","11,666,434.32","11,666,434.32","715,932,556.74",,,"6,537,090.30"
