科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"265,839,904.78","285,101,180.51","303,912,877.95","44,631,374.27","95,789,519.85","150,575,899.93","243,302,001.85","61,121,959.84","121,833,981.84","204,934,362.12","323,550,224.81","91,490,767.75","179,435,015.27","272,903,962.46","535,502,541.25","55,134,501.57","191,902,603.49"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"700,000.00",,,,,,,
收到的税费返还,"636,742.86","778,615.39","1,261,830.77","1,139,946.59","2,166,126.42","3,668,976.14","4,299,868.99","1,717,512.01","2,398,563.22","2,676,727.76","2,896,161.48","438,234.60","2,273,730.31","3,408,288.03","4,794,829.78","257,974.41","1,261,220.99"
支付其他与投资活动有关的现金,,,,,,"2,405,000.00",,71.00,"22,000.00","31,548,163.80",,,,"91,870.00",,"20,000.00","147,599.07"
收到其他与经营活动有关的现金,"18,402,568.48","10,932,591.50","21,025,906.80","4,577,470.14","5,911,324.84","6,278,818.69","32,695,034.55","583,462.62","9,553,561.65","12,125,840.45","18,778,021.69","1,301,468.82","5,894,813.31","8,098,739.41","23,169,526.91","5,793,548.03","1,885,361.58"
投资活动现金流出小计,"16,808,076.80","23,444,088.04","11,780,229.63","1,120,749.12","5,727,171.00","86,248,934.60","96,152,082.18","9,311,816.65","17,740,975.52","71,633,046.98","107,731,248.51","7,533,017.24","65,684,188.60","105,155,197.19","173,699,023.89","23,424,698.02","40,217,994.78"
经营活动现金流入小计,"284,879,216.12","296,812,387.40","326,200,615.52","50,348,791.00","103,866,971.11","160,523,694.76","280,296,905.39","63,422,934.47","133,786,106.71","219,736,930.33","345,224,407.98","93,230,471.17","187,603,558.89","284,410,989.90","563,466,897.94","61,186,024.01","195,049,186.06"
投资活动产生的现金流量净额,"-16,774,602.50","-23,391,796.35","-11,714,024.83","-1,102,350.12","-5,706,347.00","-86,209,753.33","-96,129,997.99","-9,309,693.65","-17,732,294.52","-70,918,169.73","-107,609,745.95","-7,530,970.24","-65,681,266.60","-105,149,772.19","-151,790,723.03","-21,622,402.02","-19,004,117.09"
购买商品、接受劳务支付的现金,"148,912,789.31","137,263,389.79","186,754,261.90","68,420,337.97","85,324,102.11","133,689,593.92","228,910,861.89","43,567,795.54","66,619,900.58","103,892,938.90","195,965,325.39","53,339,745.54","86,066,560.10","119,249,813.59","292,923,998.83","42,600,434.88","105,609,466.79"
吸收投资收到的现金,,,,,"287,396,800.00","287,396,800.00","277,306,611.31","44,514,000.00","45,114,000.00","45,114,000.00","45,114,000.00",,,,,,
支付给职工以及为职工支付的现金,"48,196,098.49","44,144,526.36","43,348,388.26","9,579,667.83","27,155,204.09","34,080,619.67","50,134,865.57","12,365,402.28","24,205,058.56","37,718,866.65","51,783,621.63","17,120,381.06","29,729,814.01","43,202,667.92","90,182,045.34","16,259,742.87","31,980,671.44"
取得借款收到的现金,"18,000,000.00","10,000,000.00","35,000,000.00",,,,"3,000,000.00",,,,,,,,"40,000,000.00",,"10,000,000.00"
支付的各项税费,"48,885,286.67","50,201,236.76","55,077,055.25","5,170,293.40","18,831,694.99","26,284,344.71","33,333,095.05","14,198,376.06","17,441,764.59","18,658,177.41","22,530,026.82","9,904,282.06","22,364,837.36","32,718,937.61","34,293,882.31","4,978,823.67","27,220,878.77"
收到其他与筹资活动有关的现金,"2,000,000.00","1,271,800.00",,,"100,000.00","5,210,792.88",,"122,278.58","775,291.28","1,079,557.18",,"4,530.10","4,101,800.00","22,399,822.75",,,
支付其他与经营活动有关的现金,"28,012,473.02","51,181,815.68","34,135,533.40","18,849,105.54","25,806,512.07","35,289,838.82","39,367,285.59","5,208,322.81","26,721,870.07","43,820,144.51","37,321,244.78","11,333,449.37","29,070,494.52","44,549,372.84","42,104,325.29","17,203,955.33","29,419,306.74"
筹资活动现金流入小计,"20,000,000.00","11,271,800.00","35,000,000.00",,"287,496,800.00","292,607,592.88","280,306,611.31","44,636,278.58","45,889,291.28","46,193,557.18","45,114,000.00","4,530.10","4,101,800.00","22,399,822.75","40,000,000.00",,"10,000,000.00"
经营活动现金流出小计,"274,006,647.49","282,790,968.59","319,315,238.81","102,019,404.74","157,117,513.26","229,344,397.12","351,746,108.10","75,339,896.69","134,988,593.80","204,090,127.47","307,600,218.62","91,697,858.03","167,231,705.99","239,720,791.96","459,504,251.77","81,042,956.75","194,230,323.74"
偿还债务支付的现金,"18,000,000.00","10,000,000.00","35,000,000.00",,,,"3,000,000.00",,,,,,,,,,
经营活动产生的现金流量净额,"10,872,568.63","14,021,418.81","6,885,376.71","-51,670,613.74","-53,250,542.15","-68,820,702.36","-71,449,202.71","-11,916,962.22","-1,202,487.09","15,646,802.86","37,624,189.36","1,532,613.14","20,371,852.90","44,690,197.94","103,962,646.17","-19,856,932.74","818,862.32"
分配股利、利润或偿还利息支付的现金,"3,606,432.15","505,896.25","11,051,810.66",,,,"6,900.00",,"15,551,896.91","15,551,896.91","15,551,896.91",,,,"59,008.25",,"5,071,103.42"
收回投资收到的现金,,,,,,,,,,,,,,,,"1,800,000.00",
支付其他与筹资活动有关的现金,"3,510,000.00","450,000.00","350,000.00",,"812,662.12","11,063,736.98",,"50,050.00","104,766.63","522,256.78",,"4,530.10","19,665,180.00","20,665,180.00","19,665,180.00",,"16,117,924.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"134,367.04"
筹资活动现金流出小计,"25,116,432.15","10,955,896.25","46,401,810.66",,"812,662.12","11,063,736.98","3,006,900.00","50,050.00","15,656,663.54","16,074,153.69","15,551,896.91","4,530.10","19,665,180.00","20,665,180.00","19,724,188.25",,"21,189,027.42"
处置固定资产、无形资产和其他长期资产收回的现金净额,"33,474.30","52,291.69","66,204.80","18,399.00","20,824.00","22,024.00","22,084.19","2,123.00","8,681.00","14,877.25","12,891.42","2,047.00","2,922.00","5,425.00","508,300.86","2,296.00","6,045.00"
筹资活动产生的现金流量净额,"-5,116,432.15","315,903.75","-11,401,810.66",,"286,684,137.88","281,543,855.90","277,299,711.31","44,586,228.58","30,232,627.74","30,119,403.49","29,562,103.09",,"-15,563,380.00","1,734,642.75","20,275,811.75",,"-11,189,027.42"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,"700,000.00","108,611.14",,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,"17,157.27",,,,,,,,,"21,400,000.00",,"21,073,465.65"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"33,474.30","52,291.69","66,204.80","18,399.00","20,824.00","39,181.27","22,084.19","2,123.00","8,681.00","714,877.25","121,502.56","2,047.00","2,922.00","5,425.00","21,908,300.86","1,802,296.00","21,213,877.69"
五、现金及现金等价物净增加额,"-11,018,466.02","-9,054,473.79","-16,230,458.78","-52,772,963.86","227,727,248.73","126,513,400.21","109,720,510.61","23,359,572.71","11,297,846.13","-25,151,963.38","-40,423,453.50","-5,998,357.10","-60,872,793.70","-58,724,931.50","-27,552,265.11","-41,479,334.76","-29,374,282.19"
购建固定资产、无形资产和其他长期资产支付的现金,"16,808,076.80","23,444,088.04","11,780,229.63","1,120,749.12","5,727,171.00","83,843,934.60","96,152,082.18","9,311,745.65","17,718,975.52","39,384,883.18","107,731,248.51","7,533,017.24","45,684,188.60","85,063,327.19","153,699,023.89","23,404,698.02","40,070,395.71"
期初现金及现金等价物余额,"96,904,329.27","85,885,863.25","76,831,389.46","60,600,930.68","60,600,930.68","60,600,930.68","60,600,930.68","170,321,441.29","170,321,441.29","170,321,441.29","170,321,441.29","129,888,541.86","129,897,987.79","129,897,987.79","129,897,987.79","100,398,123.61","102,345,722.68"
投资支付的现金,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00",,
期末现金及现金等价物余额,"85,885,863.25","76,831,389.46","60,600,930.68","7,827,966.82","288,328,179.41","187,114,330.89","170,321,441.29","193,681,014.00","181,619,287.42","145,169,477.91","129,897,987.79","123,890,184.76","69,025,194.09","71,173,056.29","102,345,722.68","58,918,788.85","72,971,440.49"
