科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"846,010,304.97","982,156,439.47","1,172,793,419.24","326,066,248.89","622,314,446.07","1,005,650,099.32","1,322,853,128.72","358,889,110.16","703,683,732.17","1,087,103,820.73","1,421,705,879.26","381,308,563.29","723,724,283.70","1,116,110,190.47","1,469,317,710.91","383,423,180.73","707,096,429.51","1,106,729,482.10","1,469,956,197.03","372,087,940.82","733,554,947.76","1,165,578,270.52","1,566,191,862.65","425,178,815.38","845,659,555.51","1,335,951,476.87","1,790,200,423.03","479,314,264.56"
二、营业利润,"100,574,564.49","138,327,559.17","171,326,205.38","55,668,020.42","100,638,336.22","166,717,061.28","206,759,805.81","70,827,135.42","119,122,308.21","178,875,293.68","212,727,038.39","60,208,427.53","106,466,023.41","146,571,709.68","162,921,851.94","55,435,722.23","99,600,058.33","133,743,887.55","161,897,383.01","47,206,254.18","88,563,938.72","126,765,027.27","162,592,650.15","56,153,512.89","100,469,102.34","153,148,304.97","187,429,587.51","61,602,924.38"
减:营业成本,"585,892,349.81","662,314,438.56","787,039,452.72","221,478,352.18","417,816,394.95","681,188,359.50","897,449,719.01","240,605,893.11","473,628,103.23","737,356,753.90","976,691,156.98","272,768,321.63","511,603,185.24","790,512,953.05","1,050,597,560.41","264,276,700.78","490,042,533.81","785,830,028.30","1,048,222,952.31","262,519,848.55","513,843,196.96","802,217,844.77","1,080,797,272.79","425,178,815.38","567,143,384.15","897,447,471.13","1,203,425,090.92","318,569,971.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,732,066.13","8,197,652.41","10,962,875.67","3,054,820.80","4,947,699.06","8,611,286.02","11,673,909.11","3,254,756.11","5,726,588.05","9,184,178.92","11,564,301.47","4,087,620.49","6,035,918.84","9,556,205.21","13,416,846.09","4,717,507.54","9,194,871.25","12,251,791.51","16,066,882.13","4,861,632.58","7,604,401.08","12,056,452.74","21,359,005.32","6,817,657.37","12,519,207.61","19,984,139.39","25,820,726.73","5,620,675.01"
营业外收入,"7,473,721.96","4,767,428.69","7,641,296.13","2,848,095.93","3,677,924.31","7,400,819.01","11,686,284.54","3,218,755.09","5,218,563.45","8,030,077.37","21,881,047.28","1,296,194.21","2,435,608.93","3,866,128.76","5,423,782.54","379,654.52","934,348.97","2,195,502.66","5,630,022.16","3,264,654.76","7,886,515.43","10,637,137.83","14,454,327.47","1,236,750.86","110,084,650.96","110,179,013.09","3,703,512.62","178,613.71"
销售费用,"44,069,332.05","62,914,089.10","68,020,559.47","14,687,834.18","26,424,931.82","45,144,163.68","71,608,473.88","15,361,023.60","29,578,806.87","46,980,918.53","74,088,531.73","16,133,229.65","27,994,239.86","54,407,588.27","89,760,597.98","25,832,551.15","29,696,102.66","49,758,478.01","87,090,028.54","16,142,908.77","30,030,513.96","65,701,942.98","105,662,583.01","23,913,777.83","50,784,767.31","86,240,295.96","144,206,198.67","42,651,776.70"
减:营业外支出,"3,848,783.33","5,487,539.76","6,627,250.29","1,723,212.61","1,997,046.38","2,214,210.92","4,583,246.10","550,230.12","968,430.11","1,836,799.47","4,026,303.76","384,311.65","728,496.99","1,863,739.24","3,894,874.30","87,666.72","76,693.36","1,323,044.93","2,413,029.36","144,680.54","383,060.11","1,174,837.21","5,398,410.98","226,808.24","104,080,019.54","112,665,774.38","4,174,742.87","1,712,720.47"
管理费用,"98,276,861.16","103,383,674.52","120,759,928.07","30,061,662.83","63,835,850.61","98,179,918.77","134,679,471.56","29,328,923.45","66,404,348.90","106,785,337.35","145,848,171.54","30,040,445.55","67,811,179.51","111,128,747.72","157,492,589.63","35,785,734.75","70,050,954.93","117,702,307.19","163,043,902.17","40,758,075.34","83,848,629.88","147,002,451.19","187,150,648.39","49,440,817.09","100,462,789.68","166,096,838.31","351,652,054.46","52,176,519.90"
其中:非流动资产处置净损失,"15,072.52","2,722,475.15","1,334,074.33","7,274.36","91,320.27","120,727.37","649,250.17","112,894.71","171,852.42","202,656.90","349,657.36","32,997.58","278,174.19","329,596.70","401,780.24","3,350.52","25,490.19","25,490.19","555,678.64","60,273.98","65,486.59","98,916.10","228,183.66","97,636.10","105,827.90","115,345.05",,
