科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"188,044,034.46","257,931,040.30","393,061,533.13",,"202,896,680.45","324,780,307.25","482,647,556.50","179,810,447.80","263,214,813.05","422,383,182.55","586,167,446.32","163,532,739.78","314,695,254.58","521,096,880.30","730,182,596.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,"40,812,696.82",,,,,,"10,000,000.00","52,574,978.95",
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,"230,150,000.00","536,150,000.00","213,000,000.00","488,000,000.00","1,298,000,000.00","2,521,366,016.00","1,083,000,000.00","2,125,407,564.97","3,048,000,000.00","3,763,527,303.95"
收到其他与经营活动有关的现金,"24,427,354.73","26,964,791.67","31,189,417.78",,"14,954,863.62","16,967,559.12","32,188,082.99","6,408,375.64","9,216,747.46","14,164,642.64","54,380,149.94","15,371,770.26","16,063,721.73","25,121,795.08","45,787,263.56"
投资活动现金流出小计,"233,015,671.39","171,739,689.61","191,244,509.46",,"103,554,199.23","363,251,887.56","762,628,015.78","292,866,258.50","718,866,860.75","1,666,811,442.61","3,001,014,853.22","1,177,107,324.94","2,308,430,899.11","3,442,930,204.77","4,285,672,443.02"
经营活动现金流入小计,"212,471,389.19","284,895,831.97","424,250,950.91",,"217,851,544.07","341,747,866.37","514,835,639.49","186,218,823.44","272,431,560.51","436,547,825.19","640,547,596.26","178,904,510.04","330,758,976.31","546,218,675.38","775,969,859.82"
投资活动产生的现金流量净额,"-231,901,671.39","-171,733,428.77","-191,244,509.46","-26,277,300.00","-103,554,199.23","-363,251,887.56","-504,793,043.58","-64,605,024.68","-239,481,691.72","-912,682,206.45","-1,348,741,145.83","-54,605,804.38","-41,822,064.65","-174,573,221.92","-76,516,849.20"
购买商品、接受劳务支付的现金,"81,291,731.15","147,030,848.87","194,830,116.29",,"104,018,542.76","159,467,755.07","217,710,795.24","59,640,813.18","124,986,246.31","206,647,228.65","294,621,061.76","87,862,241.75","181,576,684.60","295,497,371.49","419,293,900.63"
吸收投资收到的现金,"102,400,000.00","1,250,000.00",,,"440,000,000.00","440,000,000.00","454,521,360.00","79,098,070.00","79,098,070.00","1,189,801,063.14","1,189,801,063.14",,,,
支付给职工以及为职工支付的现金,"26,519,658.65","36,145,193.92","49,536,807.10",,"31,142,467.69","43,578,947.88","64,450,369.59","27,706,370.12","45,559,438.93","65,842,481.38","90,784,307.39","40,110,208.66","65,921,053.32","93,689,816.79","125,884,160.27"
取得借款收到的现金,"185,900,000.00","220,000,000.00","159,000,000.00",,"53,910,000.00","53,910,000.00","119,000,000.00","35,000,000.00","141,000,000.00","141,000,000.00","478,000,000.00",,,,
支付的各项税费,"653,953.66","1,870,720.36","2,764,193.87",,"1,214,129.46","3,526,715.23","2,531,993.28","664,331.75","2,102,172.20","2,414,723.02","3,465,244.25","757,261.19","2,362,852.49","3,303,975.48","4,671,323.16"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"904,940,000.00"
支付其他与经营活动有关的现金,"9,450,469.97","6,820,467.81","6,809,752.55",,"5,229,213.29","10,055,310.85","20,711,372.19","3,261,711.19","6,588,367.31","18,870,890.75","18,284,747.54","4,059,381.85","6,318,387.13","11,783,185.60","18,784,345.47"
筹资活动现金流入小计,"288,300,000.00","221,250,000.00","159,000,000.00",,"493,910,000.00","493,910,000.00","573,521,360.00","114,098,070.00","220,098,070.00","1,330,801,063.14","1,667,801,063.14",,,,"904,940,000.00"
