科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"71,805,979.87","85,525,222.98","115,496,033.47","56,258,057.62",,"287,781,948.97","104,785,104.08","103,629,657.53","113,585,469.25","80,287,908.13","126,677,779.37","85,958,680.20"
短期借款,"23,000,000.00","28,000,000.00","38,000,000.00","26,300,000.00",,"52,300,000.00","52,300,000.00","21,000,000.00","65,000,000.00","70,000,000.00","80,000,000.00","80,000,000.00"
交易性金融资产,,,,,,,"70,378,917.81","33,092,791.23","23,213,452.06",,,
交易性金融负债,,,,,,,,,,,,
应收票据,"1,673,982.00","1,665,000.00","4,738,695.00","277,000.00",,"441,000.00","1,433,200.00","775,000.00","500,000.00","3,640,000.00","600,000.00",
应付票据,,,,,,,,,,,,
应收账款,"74,107,100.89","74,536,037.42","102,843,171.91","123,298,960.56",,"147,416,051.76","146,312,186.47","168,202,954.03","188,514,856.45","193,403,588.93","200,433,243.17","214,209,136.60"
应付账款,"15,353,843.57","16,228,156.61","27,021,931.03","21,029,671.82",,"31,662,088.40","19,783,348.64","23,035,196.64","18,326,600.03","30,037,225.98","21,334,605.35","24,148,378.62"
预付款项,"976,585.04","555,113.33","1,810,808.30","1,026,314.38",,"507,437.53","1,808,886.12","1,851,763.15","1,505,593.47","1,591,130.47","3,055,045.11","6,460,504.98"
预收款项,"36,109,631.62","31,573,534.01","46,172,678.09","45,299,444.59",,"33,569,038.38","31,323,802.93","25,115,042.61","26,823,328.81","19,792,416.10","18,000,160.55","18,248,945.91"
其他应收款,"5,775,722.22","7,191,170.08","7,809,535.95","8,778,309.56",,"9,754,598.75","5,382,905.89","8,995,984.61","10,661,668.40","9,960,480.44","8,848,598.68","10,276,339.12"
应付职工薪酬,"4,851,176.59","5,809,426.03","7,660,758.93","4,748,241.09",,"12,824,216.51","5,738,594.59","6,201,195.92","6,979,759.90","13,689,936.55","7,392,440.24","8,580,310.99"
应收关联公司款,,,,,,,,,,,,
应交税费,"2,129,751.47","3,205,252.44","6,685,978.23","1,549,887.72",,"9,529,049.56","4,276,472.21","5,732,857.17","7,492,926.23","10,092,893.55","4,107,355.95","6,816,218.76"
应收利息,,,,,,,,,,,,
应付利息,"49,906.85","92,266.37","210,912.35","165,907.86",,"214,208.58","100,190.07","53,506.41","81,988.56","99,763.97","101,074.93","94,721.25"
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"120,617.70"
存货,"11,636,203.93","9,156,343.95","13,916,335.70","14,679,091.85",,"14,551,690.51","20,388,665.91","19,683,785.75","20,654,235.12","12,170,347.12","15,227,220.92","18,463,150.61"
其他应付款,"2,894,880.06","13,439,650.50","17,808,546.92","40,139,716.61",,"55,223,818.14","44,398,850.93","59,268,594.98","46,065,038.63","45,479,054.31","38,274,456.37","39,928,279.53"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,,"14,405,780.00","14,189,220.00",,"19,999,980.00","5,125,000.00","7,195,000.00",,,,
其他流动资产,"3,108,896.19","4,190,295.85","5,465,010.21","12,979,468.44",,"53,818.80","53,818.80","53,818.80","53,818.80","90,253,653.90","13,891,426.86","42,280,610.99"
其他流动负债,,,,,,,,,,,,
流动资产合计,"169,084,470.14","182,819,183.61","252,079,590.54","217,297,202.41",,"460,506,546.32","350,543,685.08","336,285,755.10","358,689,093.55","391,307,108.99","368,733,314.11","377,648,422.50"
流动负债合计,"84,389,190.16","98,348,285.96","157,966,585.55","153,422,089.69",,"215,322,399.57","163,046,259.37","147,601,393.73","170,769,642.16","189,191,290.46","169,210,093.39","177,937,472.76"
可供出售金融资产,,,,,,,,,,,,
长期借款,,"31,881,280.00","85,034,044.03","81,351,072.03",,"74,611,092.03","18,323,655.00","16,253,655.00",,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"2,573,035.08","3,009,326.61","12,055,901.99","11,961,702.70",,"217,878,520.79","216,192,107.95","215,145,535.10","213,392,266.68","217,343,916.42","214,446,228.67","214,344,096.97"
递延所得税负债,,,,,,,,,,,,
在建工程,"1,771,994.89","60,976,450.68","152,195,202.49","195,556,793.39",,,,,,"5,435,903.14","5,621,621.62","8,015,621.62"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"2,430,000.00","32,811,280.00","90,735,738.95","86,462,936.44",,"80,049,792.60","23,284,106.98","20,735,858.39","4,003,954.80","3,525,706.21","3,047,457.62","2,752,542.34"
固定资产清理,,,,,,,,,,,,
负债合计,"86,819,190.16","131,159,565.96","248,702,324.50","239,885,026.13","255,663,500.00","295,372,192.17","186,330,366.35","168,337,252.12","174,773,596.96","192,716,996.67","172,257,551.01","180,690,015.10"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00",,"80,000,000.00","80,000,000.00","80,929,300.00","80,929,300.00","80,922,600.00","80,922,600.00","80,922,600.00"
油气资产,,,,,,,,,,,,
资本公积,"6,173,967.53","6,173,967.53","6,173,967.53","6,173,967.53",,"149,304,622.27","149,304,622.27","176,486,647.27","176,486,647.27","177,994,521.61","177,994,521.61","180,015,084.42"
无形资产,"9,911,465.08","9,042,460.72","8,487,057.06","7,932,281.72",,"7,462,992.59","7,807,322.27","8,126,213.36","8,012,937.95","7,879,869.00","7,718,800.68","7,557,732.36"
盈余公积,"3,502,073.38","7,245,921.03","10,236,343.74","10,236,343.74",,"14,407,079.63","14,407,079.63","14,407,079.63","14,407,079.63","19,628,475.73","19,628,475.73","19,628,475.73"
