科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"273,149,523.31","264,883,103.85","616,494,714.29","649,722,926.66","515,283,937.12","1,082,202,006.85","1,157,879,504.62","1,007,174,215.43","1,193,268,070.20","1,364,669,042.25","1,416,464,391.51","1,168,089,010.34","1,677,845,959.01","1,482,436,807.22","808,689,587.93","1,014,819,803.70","1,391,707,795.65","1,132,963,708.37","1,068,661,274.15","726,158,009.77","746,623,922.90","890,806,753.74","671,425,296.36","436,073,958.83","147,544,644.06","138,116,797.65"
短期借款,"334,000,000.00","455,600,000.00","578,469,860.80","738,730,000.00","782,050,000.00","732,700,000.00","674,700,000.00","647,700,000.00","495,400,000.00","571,800,000.00","526,100,000.00","442,900,000.00","602,900,000.00","490,600,000.00","622,800,000.00","563,650,000.00","1,202,400,000.00","1,186,540,800.00","1,106,874,000.00","1,176,340,399.00","1,232,456,399.00","1,341,289,999.00","1,230,461,599.00","1,253,866,300.23","698,800,000.00","742,450,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"25,900,000.00","74,000,000.00","73,500,000.00","146,150,000.00","33,000,000.00","37,900,000.00","108,040,403.57","60,000,000.00","209,992,914.18","206,200,000.00","48,576,734.39","22,700,000.00","89,932,648.76","260,400,000.00","422,000,000.00","190,800,000.00","201,400,000.00","201,300,000.00","413,000,000.00","577,000,000.00","365,498,222.35","117,764,175.11","2,681,453.23",,"5,000,000.00",
应付票据,"25,000,000.00",,"60,000,000.00","198,000,000.00",,"226,400,000.00","279,500,000.00","179,130,000.00","224,730,000.00","273,700,000.00","247,100,000.00","148,100,000.00","192,400,000.00","215,900,000.00","99,500,000.00","95,000,000.00","139,300,000.00","167,300,000.00","228,600,000.00","174,800,000.00","69,000,000.00","160,000,000.00","238,100,000.00",,"238,000,000.00",
应收账款,"406,562,361.20","591,564,982.41","862,034,454.69","1,004,069,900.72","1,368,949,233.18","1,610,573,654.68","1,404,817,985.28","1,486,823,585.45","1,286,136,309.02","1,623,085,996.00","1,415,232,636.85","1,416,693,442.21","1,222,471,404.82","1,555,726,373.85","1,545,523,980.88","1,599,844,486.06","1,828,786,559.00","1,884,958,461.36","1,740,173,740.30","1,629,352,843.05","1,684,743,023.85","1,836,509,609.67","1,880,594,956.87","1,996,759,241.06","1,478,208,861.71","1,461,816,255.41"
应付账款,"294,761,140.61","458,077,788.42","539,494,689.32","616,210,459.99","560,073,272.76","476,283,202.08","577,607,935.51","643,029,941.76","376,938,764.82","352,462,466.68","379,887,734.97","420,510,337.20","316,094,203.88","330,816,962.69","307,756,709.26","394,906,384.62","537,730,128.76","415,739,442.34","449,534,196.38","486,384,938.33","549,957,904.02","472,238,822.34","588,492,876.89",,"606,384,040.96",
预付款项,"96,999,707.28","162,848,283.04","185,105,538.47","220,102,679.66","64,998,266.83","258,651,742.85","200,004,521.99","145,171,643.81","114,831,645.69","160,968,430.26","162,037,616.70","81,882,952.10","108,286,398.34","108,407,501.17","81,787,174.42","73,872,897.47","115,225,292.23","149,681,957.17","177,595,489.91","181,734,705.37","102,655,213.50","129,316,881.80","71,011,851.74","76,606,249.35","32,316,122.30","39,813,668.96"
预收款项,"18,773,684.06","3,361,687.54","6,764,084.46","1,487,772.86","9,011,811.29","27,295,879.99","10,413,115.55","44,451,282.17","4,236,576.50","11,779,480.88","5,046,697.06","6,800,000.00","459,803.70",,,,"21,750,427.06","18,543,782.75","9,208,958.47","11,670,105.66","29,718,382.88","23,804,492.57","27,654,241.10","12,795,531.78","39,962,844.39","3,875,229.65"
