科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"582,460,138.19","743,895,445.70","703,302,862.34","418,131,733.73","633,570,214.48","909,562,409.95","267,898,652.22","566,594,723.60","854,100,625.08","1,165,583,167.18","543,220,062.93","1,456,686,045.68","2,105,594,673.00","2,706,121,160.16","728,351,264.17","1,661,325,209.65","2,328,250,097.97","3,167,752,858.11","788,557,854.65","1,700,604,793.45","2,753,529,025.36","3,730,068,539.57","818,442,695.49","1,581,018,542.44","2,258,120,554.69","2,876,833,464.94","660,948,278.06","1,307,039,056.65","1,862,028,783.92","2,699,263,759.50","793,214,357.28","1,706,747,666.81","2,476,154,832.29","3,323,594,636.40","656,749,738.39","1,383,060,269.05"
二、营业利润,"46,916,715.63","42,060,341.68","73,542,123.39","52,732,131.32","88,602,264.46","131,821,480.36","37,719,760.20","91,415,080.73","152,166,769.22","207,124,534.15","67,932,629.64","152,768,956.65","224,386,568.76","291,687,382.07","67,297,983.18","131,796,524.83","155,977,090.31","188,949,067.24","57,384,380.97","134,693,535.65","180,919,400.12","245,789,826.04","41,339,906.64","134,531,854.09","208,111,378.19","257,122,858.95","59,085,720.01","162,421,383.82","239,985,646.71","319,684,495.07","105,112,122.34","247,905,442.92","315,013,026.92","485,420,119.76","63,815,734.68","173,863,292.10"
减:营业成本,"491,107,846.97","647,850,258.48","586,073,822.49","345,970,207.50","516,975,619.58","742,844,260.46","223,152,057.57","459,296,760.42","675,555,300.89","914,075,348.21","449,805,470.17","1,250,488,671.10","1,806,115,071.23","2,304,987,497.33","627,271,998.95","1,453,424,944.04","2,056,295,189.66","2,803,063,502.92","701,898,268.61","1,499,387,749.69","2,472,912,918.47","3,319,042,413.41","741,378,371.10","1,377,251,601.28","1,943,499,814.69","2,418,398,979.31","542,600,752.32","1,028,125,464.23","1,455,801,415.78","2,146,509,849.74","635,178,086.78","1,344,729,455.44","1,992,432,878.06","2,635,801,962.38","535,854,014.44","1,103,928,626.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,228,236.98","3,356,052.17","2,550,819.23","1,031,098.09","1,480,831.11","2,721,168.79","370,137.24","635,145.20","776,812.05","1,340,977.96","615,710.69","1,202,251.20","2,956,271.54","3,170,742.60","836,080.11","1,618,849.92","3,497,804.35","5,636,699.38","1,369,466.57","3,205,310.92","4,598,567.00","6,797,534.02","1,206,584.56","2,677,359.21","4,482,983.11","7,497,734.25","1,624,917.65","3,768,612.14","5,196,151.41","7,715,870.93","2,001,478.83","7,187,224.94","10,109,369.06","16,385,489.61","4,311,181.78","9,069,783.82"
营业外收入,"14,922,052.98","16,848,401.86","18,180,552.10","14,601,183.57","22,667,219.60","26,821,835.34","723,321.92","8,360,664.25","12,289,456.46","20,930,666.41","1,105,765.94","9,750,768.58","16,748,008.76","26,946,045.91","7,129,062.99","17,075,732.93","28,018,563.18","28,920,503.25","2,756,406.08","9,568,423.60","19,778,470.99","27,132,031.78","4,936,229.89","13,250,767.13","16,489,448.83","39,439,289.00","7,795,703.09","20,109,910.59","38,610,337.46","63,185,249.57","10,082,123.20","27,599,664.95","34,423,354.00","5,674,773.28","4,340,872.74","1,389,223.34"
销售费用,"371,606.03","378,642.20","392,777.64","152,873.00","258,090.00","333,798.00","136,789.00","243,923.74","476,973.71","716,981.34","828,655.97","1,711,281.51","2,382,713.71","3,127,755.14","763,544.94","1,253,379.84","1,762,801.12","3,660,502.99","1,142,440.39","2,056,043.10","3,644,050.48","6,005,995.68","2,662,841.99","5,038,627.83","6,740,504.52","8,926,163.06","1,476,887.07","2,517,730.43","3,646,404.29","6,970,142.35","1,483,503.17","2,506,362.39","3,527,291.50","6,111,368.86","1,427,034.16","2,579,515.23"
减:营业外支出,"2,330,679.95","752,927.43","767,921.38","618,131.74","953,516.82","3,124,562.46","397,898.65","1,697,253.99","3,396,307.74","4,248,126.40","433,673.47","2,389,003.71","2,555,894.60","7,262,565.78","387,918.80","1,558,067.71","2,445,846.17","5,042,888.84","1,817,438.06","2,699,690.46","3,993,564.23","5,035,347.25","768,999.24","1,460,352.25","2,437,927.47","6,250,340.85","663,500.15","1,537,493.61","2,819,254.69","8,710,564.83","112,446.24","251,110.03","840,773.18","1,428,448.34","404,649.49","812,569.17"
管理费用,"13,208,157.32","16,055,162.64","19,770,979.36","9,390,791.69","13,965,039.58","20,397,195.77","9,842,256.94","24,497,757.76","44,654,899.87","69,514,145.99","25,714,313.94","46,847,570.34","67,530,574.05","95,296,866.12","24,447,299.21","58,308,865.72","80,209,646.33","113,988,903.72","21,944,708.72","48,471,125.79","73,888,943.15","105,985,180.10","25,889,992.89","50,979,675.40","79,855,073.32","121,172,712.89","35,872,155.93","68,940,246.95","99,711,009.32","151,036,971.59","37,087,087.25","75,813,327.48","114,012,599.50","149,446,475.08","40,169,878.41","84,637,164.54"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,"9,396.29",,"56,300.39","58,874.34","58,767.72",,"16,710.85","17,871.39","2,958,531.98","17,871.39","25,821.20","17,871.39","5,366,627.92","17,871.39","92,550.26",,,,
