科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"60,227,557.17","79,992,215.72","100,693,673.57","120,801,843.11","1,554,845,209.52","1,581,946,688.21","1,449,608,068.85","1,477,171,659.49","1,286,972,018.06","1,115,783,065.97","1,092,695,619.81","1,023,628,829.76","1,026,503,083.42","1,079,020,630.08","1,142,153,816.96","1,122,589,013.41","1,108,840,131.80","1,107,467,592.55","1,039,922,818.97","1,033,494,290.22","1,049,264,047.35","1,017,392,934.29","1,043,725,267.73","276,943,677.25","251,305,996.70","210,489,359.90","261,024,200.02","408,728,441.69","160,080,038.95","338,431,236.96","164,096,068.07","181,644,000.68","73,501,162.89","328,886,203.96"
短期借款,"6,000,000.00","8,500,000.00","8,500,000.00","15,000,000.00",,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","80,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,140,806.40","17,462,200.00","29,355,062.93","31,991,828.92","16,467,122.90","15,804,470.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"802,709.00",,,,,"70,000,000.00",,"6,799,861.07","7,623,007.75","9,431,310.48","5,139,929.39","5,343,637.00","5,354,154.07","5,873,108.33","7,074,497.87","12,179,648.19","9,116,478.79","12,136,906.40","25,796,448.49","33,971,566.15","17,689,587.68","5,732,293.27","8,556,715.29","12,103,995.57","4,429,441.18","5,169,481.54","13,571,985.36","4,910,384.40","2,508,912.64","2,302,078.80","2,373,609.16"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,788,707.59","4,629,663.13","6,698,094.38","5,682,845.98","1,705,707.14",,,
应收账款,"23,867,555.05","20,509,194.57","24,116,093.82","22,562,325.52","23,125,969.08","27,593,600.43","47,145,064.05","62,882,424.54","44,304,482.96","80,964,630.70","108,029,514.14","113,441,189.08","88,059,935.84","78,205,768.67","46,381,056.17","42,632,131.36","32,332,941.12","25,455,458.20","26,033,699.30","28,625,576.11","33,114,449.85","26,268,567.06","25,643,304.57","27,965,885.15","40,657,885.36","66,598,924.80","83,840,327.38","95,059,015.13","87,080,164.12","69,696,063.79","68,635,761.39","62,331,384.59","70,255,668.91","71,020,721.49"
应付账款,"10,511,042.40","22,746,746.21","15,869,449.20","31,339,909.63","9,304,806.98","8,387,714.07","25,671,360.06","26,365,621.75","19,132,297.65","27,349,345.23","38,182,570.31","37,411,968.60","31,909,442.88","25,737,457.88","23,755,655.58","30,708,073.17","29,969,624.78","15,750,694.75","23,059,544.42","27,133,297.49","43,013,135.22","38,721,424.94","24,570,013.46","33,045,146.12","38,179,246.69","56,203,884.98","56,305,643.70","71,349,246.26","57,911,360.27","54,027,127.44","53,275,385.29","42,146,325.72","51,617,468.10","47,725,665.66"
预付款项,"4,034,386.86","6,455,166.86","36,602,301.10","25,501,200.38","14,562,940.57","17,677,030.06","41,788,075.03","65,286,956.39","64,016,541.94","113,729,722.93","60,928,818.40","61,683,268.04","59,241,267.94","58,637,859.15","53,441,506.16","59,003,463.10","27,903,513.59","36,793,967.92","38,298,562.59","28,159,699.09","33,705,955.77","37,629,746.74","20,124,338.07","26,480,628.16","21,417,228.10","50,673,027.14","11,230,014.87","23,859,521.83","48,482,616.79","43,999,721.84","11,562,060.80","14,364,187.91","14,415,641.43","14,819,235.91"
预收款项,"4,609,104.41","10,044,216.49","15,261,099.81","16,471,730.93","18,644,116.37","17,572,909.46","20,728,556.18","12,387,357.14","14,812,087.44","18,491,056.52","20,169,648.92","29,131,612.24","21,872,069.86","20,015,901.55","27,813,590.94","25,960,281.20","19,789,888.40","34,001,912.17","27,321,238.70","28,971,252.83","45,981,166.51","43,978,298.74","10,365,057.60","17,780,069.74","11,044,970.81","12,086,656.48","10,129,152.71","18,340,088.38","17,587,958.52","22,840,861.91","31,752,526.89","20,797,387.20","11,146,442.62","9,228,666.81"
