科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"110,516,880.50","156,907,164.56","213,366,834.46","128,898,689.21","276,079,169.62","26,449,936.97","90,008,321.29","147,612,130.03","248,066,583.40","54,730,450.28","130,181,779.88","221,233,247.19","332,974,844.72","65,214,885.80","159,472,045.39","234,905,304.98","385,130,292.12","74,932,523.47","167,386,733.47","239,610,174.28","484,516,511.39","97,838,753.36","261,804,268.00","407,844,198.58","736,451,961.38","148,501,092.87","339,817,093.74","476,518,431.28","843,899,479.20","128,667,093.34","302,917,441.03","532,204,552.21","791,689,698.40","129,931,215.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,"84,111,974.03","84,111,974.03",,,"58,330,354.65","66,226,554.65","43,657,617.76","6,877,617.76","6,877,617.76","12,212,800.00","1,000,000.00","1,000,000.00","11,000,000.00","1,000,000.00","20,000,000.00"
收到的税费返还,"7,612,499.98","5,972,793.62","11,611,301.12","4,594,319.99","8,817,653.31","2,478,999.99","3,890,666.65","6,834,499.97","8,951,999.96",,"4,614,166.67","7,043,750.00","10,009,833.33",,"831,250.00","831,250.00","13,451,488.10","3,077,083.33","5,098,333.33","9,207,916.67","12,311,250.01",,"1,032,500.00","7,586,250.15","13,214,874.44","223,555.00","5,472,045.82","5,472,045.82","6,011,629.65","19,198,440.00","19,198,440.00","36,352,800.00","47,272,560.00","9,915,825.59"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,275,010.29","10,366,931.01","10,987,816.02","5,860,888.24","4,080,380.41","683,506.72","4,871,883.16","6,384,027.95","6,833,138.13","10,355,333.59","13,652,752.99","16,521,941.09","15,843,608.02","7,088,613.48","8,707,904.39","14,128,869.31","17,734,569.34","4,858,478.69","9,391,882.01","16,144,680.37","17,807,347.61","3,267,122.90","10,453,898.26","16,173,640.97","20,136,296.29","7,296,291.02","15,996,258.52","31,820,927.07","25,180,488.45","7,297,903.24","30,961,499.91","33,313,706.11","35,187,652.71","2,061,012.05"
投资活动现金流出小计,"9,120,328.42","14,500,647.47","22,797,436.00","7,802,874.23","38,683,869.62","13,299,764.27","28,894,670.63","53,058,342.23","61,322,724.03","10,978,089.23","18,622,830.23","30,297,664.20","37,045,122.39","10,787,063.29","15,943,516.53","18,284,029.88","23,730,560.99","14,626,360.52","22,725,652.11","118,387,581.53","123,410,971.81","6,443,631.30","32,432,685.30","276,360,480.23","331,436,609.12","186,295,386.30","252,539,700.05","335,351,224.62","314,933,459.77","59,285,056.18","128,150,533.21","204,295,505.02","303,867,867.86","103,458,354.81"
经营活动现金流入小计,"126,404,390.77","173,246,889.19","235,965,951.60","139,353,897.44","288,977,203.34","29,612,443.68","98,770,871.10","160,830,657.95","263,851,721.49","65,085,783.87","148,448,699.54","244,798,938.28","358,828,286.07","72,303,499.28","169,011,199.78","249,865,424.29","416,316,349.56","82,868,085.49","181,876,948.81","264,962,771.32","514,635,109.01","101,105,876.26","273,290,666.26","431,604,089.70","769,803,132.11","156,020,938.89","361,285,398.08","513,811,404.17","875,091,597.30","155,163,436.58","353,077,380.94","601,871,058.32","874,149,911.11","141,908,053.63"
投资活动产生的现金流量净额,"-6,778,056.42","-12,466,866.03","-19,590,726.02","-7,802,874.23","-33,633,869.62","-13,299,764.27","-28,827,439.85","-52,991,111.45","-59,769,065.49","-10,978,089.23","-13,622,830.23","-25,297,664.20","-32,045,122.39","-10,787,063.29","-15,943,516.53","-17,584,029.88","-21,780,560.99","-14,626,360.52","-22,716,652.11","-118,378,581.53","-111,497,024.55","-6,443,631.30","-32,432,685.30","-276,192,772.88","-330,821,437.73","-151,612,755.05","-212,830,475.82","-244,452,857.21","-226,946,360.04","75,325,857.60","-102,993,041.91","-156,179,770.05","-139,075,470.91","-35,680,720.10"
购买商品、接受劳务支付的现金,"3,198,251.75","4,130,017.71","20,808,800.78","9,256,866.55","11,295,211.28","4,209,293.22","7,030,825.97","10,269,018.28","13,283,830.06","3,991,245.30","7,992,061.66","13,489,036.27","14,701,859.09","5,814,598.08","10,464,383.93","15,773,945.81","13,260,342.87","5,777,091.40","10,873,345.58","29,301,248.96","92,367,386.55","50,954,818.62","88,517,435.38","123,905,322.57","204,893,039.43","64,747,133.86","128,232,774.04","198,526,171.56","276,525,972.52","71,982,480.34","172,979,231.16","255,564,598.85","347,118,962.49","58,230,392.18"
吸收投资收到的现金,,,,,,"425,817,600.00","425,817,600.00","425,817,600.00","440,240,000.00",,,,,,,,,,,"24,270,000.00",,,"472,049,400.00","472,049,400.00","468,417,324.54",,"2,750,000.00","2,750,000.00","2,750,000.00",,,,,
