科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"220,836,333.80","237,806,320.90","254,727,127.20","49,354,108.66","95,297,232.25","207,362,378.00","391,505,631.36","56,897,619.83","131,312,448.11","226,027,876.29","357,652,245.69","59,557,330.28","180,485,647.33","296,283,654.45","454,863,879.76","75,527,074.38","174,468,041.83","281,313,887.33","487,149,788.98","88,709,011.50","242,535,083.12","384,757,644.96","687,627,474.13","123,625,305.57","370,506,229.44","582,097,356.87","1,034,969,273.42","169,589,942.01","501,254,286.73","821,529,185.80","1,409,836,718.23","179,411,316.72","461,646,119.77","762,482,537.46"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"42,896,491.64",,,,,,,,,,,
收到的税费返还,"13,843,699.52","15,867,798.91","19,959,810.80","4,103,697.98","8,808,626.35","15,137,332.13","27,022,353.63","3,240,835.63","3,339,734.37","4,081,847.89","39,024,802.58","5,186,497.41","9,929,856.54","22,756,620.65","42,575,140.13","11,092,253.48","13,183,713.67","29,541,797.77","50,296,902.45","5,080,815.73","20,354,435.54","23,176,536.10","38,257,504.37","18,442,257.11","34,038,653.57","46,659,332.65","82,744,618.47","18,366,306.45","31,081,442.53","38,273,066.74","73,976,574.89","9,861,868.19","17,186,445.56","33,917,969.28"
支付其他与投资活动有关的现金,,,,,,,,"105,054.50","105,054.50","105,054.50",,,,,,,,"20,830.10",,,,,"651,936,822.60",,"24,407,875.95","24,407,875.95","226,842,245.34",,,"3,412,851.32","6,497,255.07",,,
收到其他与经营活动有关的现金,"6,684,262.86","19,752,962.46","18,663,028.68","1,636,485.56","8,287,727.57","14,202,747.53","22,778,095.13","5,311,190.66","31,901,010.58","37,402,788.53","46,570,176.60","29,749,405.80","72,906,096.27","101,886,155.08","155,534,642.50","6,428,363.95","47,053,184.50","104,945,329.44","118,529,926.78","23,754,737.09","70,359,421.69","132,441,664.26","203,405,896.80","83,349,395.60","93,226,004.55","123,210,280.17","142,531,960.57","91,979,840.48","170,444,839.25","224,721,426.16","229,935,167.21","103,946,832.09","63,375,338.98","304,793,609.65"
投资活动现金流出小计,"1,682,679.95","70,587,623.74","53,670,311.03","33,554,480.00","41,255,142.00","103,293,011.60","135,873,681.80","19,426,236.25","8,929,461.34","44,016,881.24","120,393,672.41","7,112,026.23","48,481,808.45","71,821,651.09","133,680,019.05","43,934,508.32","119,866,311.44","139,646,724.74","180,393,083.95","39,118,355.90","168,093,927.95","291,212,683.16","1,107,354,111.36","126,839,738.93","291,242,753.45","322,791,187.10","480,098,727.26","68,667,663.39","102,267,761.72","214,922,015.35","268,506,656.69","38,954,947.87","72,037,265.69","134,245,302.29"
经营活动现金流入小计,"241,364,296.18","273,427,082.27","293,349,966.68","55,094,292.20","112,393,586.17","236,702,457.66","441,306,080.12","65,449,646.12","166,553,193.06","267,512,512.71","443,247,224.87","94,493,233.49","263,321,600.14","420,926,430.18","652,973,662.39","93,047,691.81","234,704,940.00","415,801,014.54","655,976,618.21","117,544,564.32","333,248,940.35","540,375,845.32","929,290,875.30","225,416,958.28","497,770,887.56","751,966,969.69","1,260,245,852.46","279,936,088.94","702,780,568.51","1,084,523,678.70","1,713,748,460.33","293,220,017.00","542,207,904.31","1,101,194,116.39"
投资活动产生的现金流量净额,"-1,505,529.42","-70,587,623.74","-36,968,365.73","-33,554,480.00","-41,255,142.00","-103,023,011.60","-135,603,681.80","-18,931,456.25","-8,219,956.54","-43,307,376.44","-119,682,267.61","-7,112,026.23","-48,307,069.55","-71,642,912.19","-130,868,824.14","-43,457,448.32","-118,757,807.44","-138,524,320.74","-80,278,711.69","-36,986,952.90","-161,360,924.62","-283,446,454.83","-1,103,091,005.78","530,196,559.13","421,069,897.68","389,965,620.21","232,543,641.45","134,269,057.49","158,886,467.53","-11,086,341.13","-44,946,776.60","-28,939,235.48","-43,583,734.45","-119,211,178.40"
购买商品、接受劳务支付的现金,"87,184,615.09","105,483,022.47","118,229,035.46","22,945,648.13","66,492,596.02","112,445,191.49","140,135,355.53","57,479,413.59","95,731,466.35","133,941,605.27","172,898,083.52","29,986,569.56","94,052,971.66","128,561,870.96","181,390,797.30","28,738,296.12","82,505,880.02","130,946,462.53","186,102,323.62","66,440,975.31","116,393,972.89","188,439,361.00","261,434,379.22","106,387,471.94","215,865,741.54","322,065,511.88","488,565,673.29","214,283,729.64","450,685,902.01","678,784,476.77","839,342,935.05","144,908,592.90","270,276,837.98","439,868,118.63"
吸收投资收到的现金,"27,300,000.00","28,000,100.00","4,699,900.00",,"1,607,512,000.00","1,609,472,000.00","1,609,472,000.00",,,,,"4,000,000.00","6,000,000.00","8,940,000.00","12,240,000.00",,"46,890,983.96","74,095,383.24","77,474,034.52","6,308,387.70","54,398,339.97","93,936,934.19","149,628,902.72","7,146,657.16","7,146,657.16","14,469,657.16","7,146,657.16",,,,,,,
