科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"418,217,556.44","421,127,293.47","320,190,449.97","584,552,335.39","405,056,395.17","503,028,689.83","287,143,470.71","271,952,582.89","213,802,618.82","223,822,824.08","273,581,365.73","270,042,968.13","216,860,004.21","252,994,156.26","199,699,908.27","184,427,807.92","184,610,934.95","234,667,490.60","202,881,439.18","204,111,680.84","169,717,590.82","211,044,033.11","220,915,785.92","251,973,234.15","271,954,447.35","265,349,419.93","358,615,742.87","1,008,981,811.91","689,104,564.29","583,692,079.07","429,830,945.02","942,065,767.31","831,239,269.88","712,611,647.16","633,427,145.15","604,050,595.39","524,444,957.49","816,875,855.46","662,877,634.65","506,008,034.04","454,113,826.53","445,380,664.21","542,043,823.39","655,456,501.67","1,067,557,144.96","1,341,102,879.79","1,145,671,822.04","1,116,953,897.61","1,087,328,315.77"
短期借款,,,,,,,,,"80,000,000.00","50,000,000.00",,,,,,,,,,,,,,,,,"400,000,000.00","315,000,000.00","190,000,000.00","240,000,000.00","275,000,000.00","75,000,000.00","25,000,000.00","145,000,000.00","120,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","170,000,000.00","220,000,000.00","530,000,000.00","770,000,000.00","980,000,000.00","1,326,000,000.00","1,446,000,000.00","1,345,000,000.00","1,575,000,000.00","1,819,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"40,000,000.00","30,000,000.00","30,000,000.00","50,000,000.00","65,000,000.00","10,000,000.00","30,000,000.00","58,600,000.00","20,000,000.00","30,000,000.00","40,000,000.00","40,000,000.00","30,000,000.00","30,000,000.00","15,000,000.00","60,000,000.00","45,000,000.00","45,000,000.00","30,000,000.00","60,000,000.00","60,000,000.00","30,000,000.00","45,000,000.00","60,000,000.00","45,000,000.00","27,000,000.00","42,000,000.00","60,000,000.00","58,000,000.00","57,000,000.00","59,000,000.00","58,000,000.00","60,000,000.00","60,000,000.00","58,000,000.00","60,000,000.00","45,000,000.00",,"45,000,000.00","45,000,000.00","30,000,000.00","44,000,000.00","44,000,000.00","23,000,000.00","53,000,000.00","53,000,000.00","23,000,000.00","20,000,000.00","20,000,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"922,519.73","922,519.73","7,548,240.60","7,831,628.60","553,599.00","553,599.00",,"17,877,676.32",
应收账款,"82,266,950.75","46,500,607.66","60,564,671.81","41,056,568.88","42,431,434.91","42,757,648.83","42,858,239.55","54,512,777.19","25,519,277.78","28,729,423.97","18,668,511.23","52,708,147.79","48,655,042.37","54,298,246.62","66,062,172.64","62,576,032.20","60,218,974.53","48,652,379.48","75,392,445.94","60,837,806.13","63,044,657.70","59,282,405.65","52,669,759.45","51,772,126.53","50,820,786.64","63,002,476.05","273,348,276.12","250,036,258.15","290,529,261.45","388,921,156.48","596,400,088.30","348,257,042.19","360,939,648.24","472,971,318.76","593,556,693.41","788,636,420.70","920,522,894.18","1,014,174,923.73","1,131,415,986.30","1,263,619,842.50","1,367,755,391.23","1,479,910,108.11","1,621,296,623.42","1,754,705,816.76","1,890,598,426.20","2,048,419,532.61","2,199,751,032.22","2,381,826,700.32","2,544,030,619.69"
应付账款,"62,252,997.66","64,074,581.79","66,206,499.69","79,546,097.87","72,545,188.73","73,724,716.27","79,379,852.28","96,892,522.66","93,163,082.50","375,661,274.97","365,311,905.89","358,075,959.20","321,886,760.55","318,921,955.33","313,924,793.92","302,714,214.18","287,498,161.83","286,770,241.19","251,224,696.59","250,948,146.50","249,471,592.95","246,598,176.00","244,478,897.78","245,077,544.14","241,847,699.23","241,709,664.05","289,116,530.10","365,125,534.44","332,914,678.16","318,764,074.56","385,295,031.61","438,495,072.04","607,004,415.51","602,109,339.74","597,420,657.64","676,894,775.91","724,304,536.66","720,725,996.47","676,064,588.13","791,892,759.85","612,011,856.07","695,685,867.16","697,791,664.44","914,552,185.48","627,078,283.59","645,584,150.72",,"1,477,409,393.44",
预付款项,"2,253,050.77","3,289,742.22","1,872,899.62","1,872,899.62","1,872,899.62","1,898,481.57","1,686,549.07","1,717,749.07","2,136,549.07","12,216,109.17","69,466,328.82","210,683.00","50,000.00","108,028.33","58,028.33","63,028.33","58,028.33","734,551.46","607,466.43","421,398.73","303,249.33","408,078.33","769,425.33","1,709,371.94","1,727,632.83","1,433,013.73","11,803,200.05","35,665,674.47","35,445,214.58","5,252,437.61","7,956,648.64","2,095,939.85","1,907,232.59","2,891,971.58","4,699,267.14","2,196,624.93","2,874,579.18","2,674,366.26","2,977,387.93","2,006,842.11","2,164,738.16","2,085,594.42","2,722,323.86","2,401,242.71","5,094,872.86","3,708,920.23","3,247,057.33","1,570,267.01","1,249,778.29"
预收款项,"51,148,791.04","43,399,046.70","77,565,059.11","52,245,147.05","67,191,522.17","37,762,181.24","68,120,061.06","46,549,382.71","51,328,880.90","106,801,567.01","229,310,255.05","207,772,996.17","195,478,772.90","88,692,905.56","89,204,686.06","32,000,581.45","16,938,480.47","37,767,343.10","17,802,792.92","23,368,431.54","17,930,420.16","18,595,322.96","28,290,274.30","30,686,120.20","47,002,062.87","102,184,410.06","174,876.40","270,376.40","5,369,820.50","2,875,263.39","3,389,383.86","724,281.12","531,952.35","672,609.97","573,041.10","445,913.95","264,798.42","97,087.33","128,928.57","64,494.24","29,606.64","2,931,261.42","2,963,064.35","736,589.36","2,913,227.77","3,411,069.72","6,921,606.95","1,394,867.43","1,412,741.60"
其他应收款,"6,057,056.29","10,446,548.63","3,972,649.74","24,889,407.77","25,230,981.27","37,576,534.42","37,731,619.32","40,853,283.44","40,663,893.08","91,310,164.28","93,788,867.50","81,238,248.01","91,681,703.08","67,114,009.78","26,464,780.17","2,292,007.97","1,880,926.77","25,694,364.96","25,749,344.96","11,254,978.00","19,264,804.29","23,649,673.49","27,100,832.92","6,895,909.27","13,459,333.12","15,619,606.88","28,182,233.21","2,929,382.35","10,036,465.21","19,581,857.37","26,750,389.35","1,553,803.21","9,351,365.53","16,864,723.10","23,811,907.36","11,175,456.18","31,439,234.13","25,471,285.93","38,461,336.26","22,743,679.30","42,085,286.08","30,777,528.13","51,287,135.38","79,643,656.12","45,323,831.65","72,322,163.50","86,586,865.64","62,743,872.43","67,069,096.50"
应付职工薪酬,"9,428,803.86","9,386,300.21","9,510,376.91","10,942,245.41","8,034,635.24","7,573,312.18","9,226,592.82","7,596,544.80","6,327,465.98","8,049,936.73","9,309,282.27","6,915,022.94","5,054,359.97","6,365,759.95","7,664,822.26","5,267,352.55","4,077,505.98","7,121,967.32","8,589,929.85","5,291,497.11","2,154,201.30","4,775,602.49","2,297,297.80","5,756,867.76","2,426,467.52","2,167,089.12","11,611,128.73","19,222,366.39","11,725,636.25","11,872,868.16","12,252,738.64","29,240,435.66","14,269,371.87","18,675,926.86","19,950,883.33","43,700,824.66","28,844,460.36","30,354,539.05","32,949,489.96","66,511,192.05","48,399,436.80","36,158,718.11","34,729,271.67","63,051,793.92","44,998,521.70","38,949,512.81","39,032,589.19","77,291,770.42","51,820,783.16"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"16,055,596.86","29,583,193.92","29,566,002.53","34,185,059.59","31,129,369.18","21,036,360.64","15,090,263.61","18,543,069.28","14,931,676.61","8,047,086.64","2,761,363.54","-1,422,196.27","2,775,419.07","16,131,677.15","15,905,509.83","31,104,486.01","31,037,220.85","22,886,904.90","30,094,609.44","18,655,646.44","21,142,741.99","20,269,394.00","20,821,912.32","17,089,841.50","20,571,705.62","8,646,145.81","33,423,741.38","30,793,456.15","47,781,212.28","47,741,016.23","63,186,828.79","48,362,886.84","76,706,309.88","48,923,716.19","22,246,377.14","66,791,118.08","80,903,110.37","34,679,116.30","40,190,510.09","45,732,139.20","73,009,722.76","47,028,586.56","41,213,469.39","33,828,614.99","36,983,598.16","31,483,902.61","25,750,442.61","14,520,628.57","45,090,546.14"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,840,796.01","38,847,988.51","41,734,945.99","40,401,086.54","38,535,155.85","48,306,107.50","39,667,210.78","50,303,870.29","55,450,953.62","37,770,247.69","44,571,750.11","46,096,061.17","61,836,001.80","41,957,867.08","52,575,660.29","53,225,778.44","64,136,686.96","43,000,853.99","61,559,018.26","57,123,184.94","66,969,240.83","46,500,857.86","63,180,386.95"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,"3,580,228.24","2,580,228.24","2,580,228.24","2,580,228.24","2,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24","1,580,228.24",,,,,,,,,,
应付股利,,,,,,"16,371,000.00",,,"19,851,750.00",,,,,,,,,,,,"11,469,900.00",,,,"15,440,250.00",,,,"37,607,193.68",,,,"97,920,617.50",,,,"101,468,465.96",,,,"90,824,920.58",,,,"98,630,187.19",,,,
存货,"267,802,592.27","263,431,309.97","272,776,199.58","273,930,112.29","300,361,863.82","303,203,156.02","333,380,101.29","344,793,800.94","452,999,208.75","456,954,075.12","459,572,315.06","423,183,360.62","461,257,788.76","364,801,165.55","484,587,823.20","448,391,473.66","450,628,454.46","451,786,661.50","438,736,478.53","441,038,288.27","441,228,674.44","449,617,352.35","451,198,572.97","452,577,282.63","474,374,640.48","537,132,037.27","774,614.20","2,527,719.44","2,313,341.94","2,978,844.85","4,586,177.43","2,604,335.99","2,474,288.27","3,081,495.13","2,773,487.76","2,455,441.04","5,459,123.76","5,131,032.75","2,103,150.57","2,393,180.38","1,951,511.37","2,612,324.10","2,553,194.10","18,298,518.56","14,271,422.43","17,455,239.18","19,679,631.59","4,201,917.69","1,878,508.67"
其他应付款,"16,098,625.63","15,541,554.11","89,552,268.28","13,556,250.99","9,048,095.08","10,114,822.55","11,417,622.71","56,244,803.29","6,387,207.41","8,393,110.74","12,066,335.72","46,158,471.05","31,153,974.33","35,652,326.46","26,015,988.93","74,955,439.98","53,912,318.00","109,849,631.70","86,561,738.86","129,315,012.22","102,241,769.24","153,271,375.39","130,652,814.17","175,264,317.29","154,900,269.25","196,690,225.53","244,032,746.06","294,946,252.94","292,008,644.67","299,900,643.42","320,376,598.51","364,707,801.46","330,929,385.48","377,458,760.82","396,233,691.27","425,932,694.80","424,249,080.93","505,756,092.12","499,694,010.90","481,686,088.29","506,390,864.21","557,755,255.11","613,396,061.20","603,228,885.13","650,960,258.23","649,198,576.82","736,283,742.70","663,815,470.29","677,145,500.85"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,"119,000,000.00","119,000,000.00","127,000,000.00","277,000,000.00","332,590,624.24","278,490,624.24","227,378,335.52","152,418,029.40","286,396,729.90","229,096,729.90","217,455,895.19","198,700,652.17","264,202,793.27","247,017,016.01","151,251,851.11","155,399,325.06","157,945,148.61","157,945,148.61","142,090,693.21","119,612,825.54","290,857,937.76","240,021,537.76","221,252,997.03","242,382,739.63","830,120,544.93","822,842,975.18"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,713,538.07","1,713,538.07","1,713,538.07","727,957.50","4,662,697.11","5,281,416.43","6,924,198.77","7,523,751.27","33,362,755.40","23,442,430.07","17,013,977.17","25,369,759.15","29,111,881.76","35,088,042.62"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"816,597,206.52","774,795,501.95","689,376,870.72","976,301,323.95","839,953,574.79","898,464,510.67","732,799,979.94","772,430,193.53","755,121,547.50","843,032,596.62","955,077,388.34","867,383,407.55","848,504,538.42","769,315,606.54","791,872,712.61","757,750,350.08","742,397,319.04","806,535,448.00","773,367,175.04","777,664,151.97","753,558,976.58","774,001,542.93","797,654,376.59","828,508,152.76","859,917,068.66","912,116,782.10","717,304,294.69","1,362,721,074.56","1,087,009,075.71","1,059,006,603.62","1,126,104,476.98","1,356,157,116.79","1,267,492,032.75","1,270,001,383.97","1,317,848,729.06","1,471,808,304.55","1,533,034,555.05","1,867,621,230.44","1,885,143,681.45","1,846,434,275.44","1,903,352,169.80","2,011,690,417.74","2,271,426,851.42","2,566,868,491.22","3,099,288,128.17","3,553,022,712.48","3,503,306,167.97","3,616,408,536.82","3,756,644,361.54"
流动负债合计,"154,984,815.05","161,984,676.73","272,400,206.52","190,474,800.91","187,948,810.40","166,582,392.88","183,234,392.48","225,826,322.74","271,990,063.40","556,952,976.09","618,759,142.47","617,500,253.09","556,349,286.82","465,764,624.45","452,715,801.00","446,042,074.17","393,463,687.13","464,396,088.21","394,273,767.66","427,578,733.81","404,410,625.64","443,509,870.84","426,541,196.37","592,874,690.89","601,188,454.49","678,397,534.57","1,295,199,818.68","1,396,796,599.07","1,237,632,755.77","1,188,933,287.82","1,250,453,766.66","1,291,233,314.52","1,421,125,993.27","1,460,600,119.06","1,410,576,256.27","1,665,738,368.36","1,801,623,218.82","1,638,960,743.55","1,616,262,854.51","1,755,789,689.32","1,762,109,735.69","2,065,798,679.74","2,351,391,284.15","2,937,088,489.23","3,089,698,231.66","3,093,556,993.65","3,214,108,065.26","4,657,430,351.40","4,968,095,256.14"
