科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"385,823,443.05","1,376,914,753.19","1,114,416,875.58","3,575,080,835.71","3,215,918,989.77","1,928,507,428.85","1,703,856,547.50","1,735,162,097.79","759,054,111.14","898,968,974.33","941,968,000.61","1,348,270,968.46","1,084,924,792.11","1,070,105,844.48","1,145,116,881.88","1,596,330,797.08","1,014,304,868.61","1,625,689,475.29","1,114,813,872.86","1,604,590,838.50","1,439,165,039.24","1,976,862,014.38","1,140,413,935.10","1,394,827,138.57","1,460,013,308.59","1,192,374,018.98","1,067,024,718.04"
短期借款,"974,788,662.83","2,021,245,570.85","1,644,078,321.67","1,659,155,582.28","1,299,993,011.82","1,438,915,985.86","1,596,427,976.27","1,220,757,636.47","904,858,635.76","1,714,221,418.75","1,847,863,448.61","2,355,089,075.12","2,465,158,874.72","2,609,170,844.26","2,600,401,071.33","3,272,275,089.91","2,986,518,769.16","2,868,136,570.56","2,475,362,973.62","2,513,826,944.53","1,270,714,959.99","1,553,134,098.02","1,437,136,556.14","1,954,700,599.15","2,068,960,952.07","1,868,335,130.63","2,260,632,901.49"
交易性金融资产,"8,801,214.73","11,005,562.61","1,816,643.05","143,059,972.44","1,886,451.19","9,543,106.50","17,940,840.63","26,172,594.11","24,632,008.55","19,443,974.24","12,932,431.29","1,032,318.50","55,969,269.95","10,272,332.31","8,678,153.03","16,337,447.58","8,037,823.68","13,646,745.19","62,416,201.46","4,316,027.71","73,579,437.92","32,727,550.47","55,586,136.63","12,110,555.32","694,795.45","2,253,378.44",
交易性金融负债,"502,224.10","1,871,625.37","2,609,850.68","14,117,500.00",,"6,310,553.48","1,599,532.32","1,722,172.90",,"4,692,785.28","7,582,005.65","2,180,075.00","2,080,400.00","2,637,525.00","2,346,525.00",,"440,925.00","1,619,625.00","2,885,876.44","9,073,763.64",,"288,851.14",,"507,326.01","10,288,314.77","9,782,564.42","10,695,434.26"
应收票据,"41,039,674.86","33,541,867.07","49,381,074.72","57,973,092.00","76,600,157.99","41,724,526.60","29,174,722.97","37,475,754.56","61,859,382.82","71,800,875.55","92,872,400.46","107,807,252.77","67,675,491.54","101,977,212.15","71,168,503.80","57,782,343.91","84,794,181.79","82,711,564.55","86,688,142.84","60,972,601.19","72,364,335.91","78,601,053.91","58,746,452.61","97,788,883.34","72,650,470.95","78,177,624.60","66,790,666.45"
应付票据,,,,,,,,,,,,,,,,,,,,,,"100,000,000.00","100,000,000.00",,,,
应收账款,"250,838,688.20","295,039,757.76","264,446,436.47","468,663,151.53","312,517,831.78","324,218,508.97","425,336,022.91","424,763,080.08","431,481,268.68","337,465,462.48","461,749,894.47","450,485,077.98","416,353,062.91","334,300,665.27","519,658,865.67","484,446,206.18","531,371,312.27","390,610,063.27","473,250,863.87","524,272,355.35","467,050,392.75","494,490,166.59","642,031,842.41","539,292,287.70","498,960,412.08","466,120,825.09","490,331,506.90"
应付账款,"217,956,004.58","168,752,449.27","211,871,373.75","161,437,716.43","285,224,816.56","92,559,115.54","165,883,701.37","227,337,748.76","198,467,946.54","273,033,645.17","225,781,080.06","282,439,709.41","227,164,668.38","229,449,058.86","228,384,906.26","287,957,895.68","338,971,917.24","384,715,787.46","171,253,962.65","237,753,998.92","235,873,730.12","292,188,516.02","370,979,808.62","197,249,171.82","276,955,929.77","315,588,852.92","280,867,216.31"
预付款项,"87,537,944.16","81,290,419.17","90,033,238.16","89,264,185.19","411,958,944.07","55,922,098.98","261,785,454.75","158,587,954.71","187,038,068.86","66,040,630.59","247,377,340.18","138,933,386.37","68,756,941.79","64,774,890.95","78,395,293.19","102,906,164.19","96,852,624.83","37,646,441.03","36,961,614.31","73,373,577.05","108,461,140.57","82,394,650.70","131,091,461.23","196,385,933.20","90,525,685.21","51,418,527.76","109,650,974.72"
预收款项,"441,672,692.16","146,953,996.94","219,209,646.86","91,737,281.65","181,439,606.61","277,563,794.21","81,797,034.03","85,852,794.58","89,203,078.00","73,238,505.94","89,214,722.66","92,836,458.40","96,883,741.46","105,549,863.89","123,682,617.87","114,094,023.26","107,357,853.25","114,220,396.07","138,297,043.82","113,681,357.66","130,677,145.09","121,765,626.26","126,265,699.25","123,942,417.60","131,612,643.89","116,361,322.31","142,772,314.26"
