科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"34,301,251.40","27,462,938.46","24,647,198.21","25,126,805.69","35,544,635.16","37,363,545.93","29,294,093.83","201,767,263.93","183,240,256.36"
短期借款,"62,000,000.00","80,876,716.94","124,120,513.20","145,166,097.20","43,485,819.30","62,161,128.00","53,000,000.00","255,700,000.00","254,700,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,"712,845.00","6,810.00","1,504,300.00","914,650.00",,,,
应收票据,,,"260,450.54","250,000.00","380,000.00","285,096.50","3,314,307.56","2,549,000.00","663,806.61"
应付票据,"4,169,319.00","8,894,237.07","8,804,774.21","7,266,604.27","9,441,022.86","14,632,105.43","13,994,169.13","12,452,958.21","21,275,037.62"
应收账款,"90,618,355.78","80,770,839.62","82,299,073.47","80,585,922.28","92,838,844.16","97,860,459.10","82,991,504.62","107,498,880.10","128,007,650.30"
应付账款,"66,252,068.21","51,156,072.15","55,530,562.36","58,202,358.16","49,166,466.06","67,033,629.44","50,305,240.78","67,772,042.67","79,068,717.53"
预付款项,"5,240,799.71","7,217,476.83","6,067,598.69","6,018,368.02","4,096,289.92","1,011,674.19","1,844,607.04","1,883,793.32","5,002,428.68"
预收款项,"1,731,728.20","3,252,291.81","3,771,853.93","2,953,636.82","2,681,946.58","2,455,971.70","3,538,558.75","5,195,188.20","1,999,195.16"
其他应收款,"10,494,527.70","10,099,380.19","3,811,180.82","2,933,641.47","1,416,284.59","21,660,038.60","8,877,956.90","7,327,616.01","7,012,100.03"
应付职工薪酬,"8,491,881.41","7,736,348.97","7,975,595.21","7,477,756.15","9,499,995.50","11,832,091.05","7,539,503.17","9,141,016.20","11,609,481.28"
应收关联公司款,,,,,,,,,
应交税费,"4,029,115.34","3,604,546.61","3,582,857.13","1,265,374.57","729,966.15","2,274,046.27","1,111,395.98","1,520,917.62","813,645.18"
应收利息,,,,,,,,,
应付利息,"267,552.48","272,595.10","221,608.70","156,929.02",,"94,019.10","71,174.58","143,083.58","261,309.90"
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"62,054,077.95","74,819,758.87","73,660,955.33","79,379,852.62","81,636,616.85","89,585,327.10","91,517,139.30","101,720,878.72","119,516,568.76"
其他应付款,"3,614,473.70","1,682,919.89","639,230.61","827,639.33","2,084,199.81","4,579,374.10","5,501,550.55","3,704,849.63","3,431,301.40"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,"19,500,000.00",,,,,,,
其他流动资产,"518,852.60","232,963.05","1,269,964.49","1,761,644.35","1,890,298.21","1,273,545.82","168,365.05","2,336,607.68","2,323,132.17"
其他流动负债,,,,,,,,,
流动资产合计,"203,227,865.14","200,603,357.02","192,016,421.55","196,056,234.43","217,802,968.89","249,039,687.24","218,007,974.30","425,084,039.76","445,765,942.91"
流动负债合计,"150,556,138.34","177,688,573.54","204,653,805.35","224,820,695.52","118,004,066.26","165,062,365.09","135,061,592.94","355,630,056.11","373,158,688.07"
可供出售金融资产,,,,,,,,,
长期借款,"80,310,000.00","54,760,000.00","28,860,000.00",,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,"1,240,218.78","7,323,347.09","7,072,775.44","6,947,493.88","6,822,212.32","6,696,930.76","6,571,649.20","6,446,367.64"
预计负债,,,,,,,,,
固定资产,"96,057,532.68","87,544,934.70","182,913,948.60","176,893,976.43","176,340,948.43","187,191,661.94","185,551,723.36","191,790,557.40","197,118,155.04"
递延所得税负债,,,,,,,,,
在建工程,"35,211,330.94","69,911,617.73",,,,"7,586,251.30","7,133,178.47","13,876,744.46","18,061,626.42"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"81,143,000.00","56,204,866.67","30,538,900.00","1,564,000.00","1,678,900.00","1,983,211.67","1,933,631.38","1,841,381.67","1,770,466.67"
固定资产清理,,,,,,,,,
负债合计,"231,699,138.34","233,893,440.21","235,192,705.35","226,384,695.52","119,682,966.26","167,045,576.76","136,995,224.32","357,471,437.78","374,929,154.74"
生产性生物资产,,,,,,,,,
实收资本(或股本),"71,250,000.00","71,250,000.00","71,250,000.00","71,250,000.00","95,000,000.00","95,000,000.00","95,000,000.00","209,000,000.00","209,000,000.00"
油气资产,,,,,,,,,
资本公积,"39,418,559.35","39,418,559.35","39,418,559.35","39,418,559.35","124,486,659.35","124,486,659.35","124,486,659.35","12,552,697.08","12,552,697.08"
无形资产,"61,827,396.98","60,381,766.38","57,258,111.42","56,565,455.92","56,220,478.60","56,445,227.40","71,852,193.44","71,153,237.14","70,731,915.78"
盈余公积,"3,321,908.57","5,274,239.39","7,945,239.92","7,945,239.92","7,945,239.92","11,675,904.91","11,675,904.91","11,675,904.91","11,675,904.91"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"48,604,152.75","68,644,945.35","87,525,363.00","101,813,773.39","110,642,509.20","121,331,620.67","131,391,190.54","128,572,965.66","139,423,925.29"
长期待摊费用,"2,198,809.87","1,723,298.03","1,639,889.98","1,986,274.16","1,704,912.45","1,272,200.57","1,493,797.14","1,298,577.98","1,243,872.87"
少数股东权益,"5,447,271.72","4,534,167.51","4,008,785.06","2,962,711.69","3,081,147.64","318,261.36","1,297,663.54","980,075.90","1,684,295.89"
递延所得税资产,"1,197,239.99","1,587,066.65","1,543,847.26","1,880,722.32","1,880,469.21","1,792,961.83","2,200,766.67","2,173,526.47","1,624,965.04"
外币报表折算价差,,,,,,,,,
其他非流动资产,,,"2,687,200.00","9,382,277.45",,"9,814,855.62","8,008,826.93","8,380,933.66","8,371,110.99"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"196,492,310.46","222,388,902.27","253,366,344.35","253,781,481.72","243,094,302.57","270,925,370.98","282,937,416.77","295,245,226.31","303,598,013.78"
所有者权益(或股东权益)合计,"168,021,037.26","189,098,819.08","210,190,060.55","223,453,020.63","341,214,305.20","352,919,481.46","363,950,166.75","362,857,828.29","374,434,801.95"
资产总计,"399,720,175.60","422,992,259.29","445,382,765.90","449,837,716.15","460,897,271.46","519,965,058.22","500,945,391.07","720,329,266.07","749,363,956.69"
负债和所有者(或股东权益)合计,"399,720,175.60","422,992,259.29","445,382,765.90","449,837,716.15","460,897,271.46","519,965,058.22","500,945,391.07","720,329,266.07","749,363,956.69"
