科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月
一、营业收入,"382,692,364.00","1,717,369,129.00","2,196,761,259.00","4,111,644,668.00","562,947,686.00","1,446,933,596.00","1,910,789,863.00","3,573,184,200.00","823,094,572.00","2,875,777,226.00","5,287,377,216.00","10,137,701,049.00","2,424,036,323.00","6,981,153,925.00","9,584,685,607.00","13,782,425,231.00","2,832,919,477.00","8,091,485,144.00","12,472,263,536.00","15,111,366,642.00","3,606,361,060.00","10,080,507,691.00","16,145,682,256.00","25,296,762,154.46","6,144,504,542.89","16,133,568,321.26","23,471,435,394.52","32,567,813,857.52","7,250,648,108.95","16,047,155,730.99","23,753,156,793.22","43,385,058,201.09","6,004,766,989.10","17,973,948,437.46","23,906,033,514.31"
二、营业利润,"69,932,681.00","510,665,365.00","588,259,747.00","1,327,211,067.00","64,240,827.00","305,378,795.00","480,322,324.00","1,290,208,060.00","205,063,741.00","607,570,645.00","1,193,553,413.00","2,274,640,163.00","615,335,268.00","1,829,861,942.00","2,369,732,484.00","3,264,542,731.00","768,382,955.00","2,405,752,401.00","3,685,641,760.00","4,389,510,829.00","840,711,276.00","2,504,244,710.00","4,418,915,554.00","6,234,360,671.55","1,746,477,367.92","4,738,092,106.40","6,650,463,811.05","7,927,212,093.48","1,608,045,880.82","3,344,797,445.05","4,325,607,441.38","8,308,411,057.81","1,150,888,150.84","3,469,043,559.28","3,843,207,749.06"
减:营业成本,"252,407,306.00","1,054,329,342.00","1,393,163,447.00","2,179,150,950.00","280,937,967.00","791,405,045.00","1,106,404,510.00","2,097,773,113.00","462,419,443.00","1,628,278,262.00","3,052,074,092.00","5,961,738,151.00","1,443,764,646.00","4,127,363,733.00","5,809,187,731.00","8,300,379,948.00","1,554,169,324.00","4,241,421,711.00","6,132,948,247.00","7,194,438,295.00","1,898,368,645.00","5,045,322,607.00","7,633,306,776.00","12,945,037,612.58","3,038,699,049.28","8,692,511,279.89","12,589,719,333.16","19,045,102,287.65","4,576,550,376.54","10,391,068,273.47","15,922,177,904.69","27,189,241,648.40","3,589,316,811.47","11,986,510,250.36","15,977,087,585.08"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"14,047,439.00","152,764,687.00","167,682,906.00","512,845,080.00","64,281,328.00","141,354,234.00","163,879,482.00","264,980,117.00","88,109,440.00","480,483,907.00","836,763,041.00","1,623,223,320.00","279,890,107.00","862,925,247.00","1,126,992,261.00","1,647,196,394.00","369,580,105.00","1,280,704,062.00","2,234,957,796.00","2,908,804,737.00","624,221,441.00","1,776,684,070.00","2,927,668,799.00","4,273,285,191.20","1,072,572,145.86","2,579,430,723.77","3,727,561,490.14","4,577,575,494.22","732,766,975.28","1,614,019,700.29","2,383,291,566.10","5,417,546,136.10","766,063,061.75","1,950,243,032.76","2,506,371,192.81"
营业外收入,"8,769,532.00","20,338,201.00","29,980,733.00","129,972,366.00","7,590,457.00","12,835,038.00","19,049,202.00","24,173,367.00","12,605,745.00","17,875,375.00","22,125,313.00","29,522,960.00","5,608,501.00","8,910,241.00","12,819,515.00","18,000,403.00","2,454,722.00","3,359,735.00","3,923,209.00","108,768,445.00","870,668.00","6,454,536.00","16,642,170.00","24,841,162.92","26,428,550.53","11,774,703.28","39,894,756.82","69,414,481.75","6,294,217.87","35,496,879.63","60,831,335.20","66,806,471.06","16,264,691.70","27,355,516.15","44,381,024.17"
销售费用,"12,376,734.00","25,252,865.00","41,415,536.00","76,214,765.00","28,327,589.00","70,454,628.00","128,230,528.00","226,715,702.00","48,031,506.00","114,595,993.00","173,644,402.00","285,334,726.00","55,215,258.00","112,145,064.00","163,617,872.00","285,295,641.00","71,424,568.00","159,949,829.00","285,999,689.00","492,802,316.00","109,563,524.00","231,459,128.00","403,983,794.00","729,279,368.30","121,258,008.42","272,019,791.76","463,388,566.53","770,608,081.81","108,924,801.50","281,938,248.45","468,531,591.83","887,760,646.25","154,030,602.12","334,261,066.67","561,579,407.78"
减:营业外支出,"410,356.00","321,284.00","2,218,887.00","2,743,211.00","184,167.00","2,062,798.00","2,874,668.00","12,516,456.00","503,277.00","1,355,666.00","1,387,639.00","30,433,088.00","2,244,226.00","5,103,685.00","8,186,280.00","10,419,361.00","847,610.00","2,647,164.00","4,504,715.00","6,430,860.00","1,745,394.00","10,072,004.00","17,947,335.00","59,701,420.94","2,554,338.46","15,387,554.61","21,821,278.85","29,447,080.00","6,920,979.31","21,725,415.49","29,154,934.95","49,173,505.26","5,984,024.07","17,349,667.98","24,060,770.94"
管理费用,"21,017,074.00","54,268,411.00","81,251,874.00","160,771,981.00","36,344,419.00","74,156,042.00","110,510,037.00","203,223,524.00","38,405,719.00","90,818,800.00","141,541,430.00","208,542,650.00","50,880,224.00","101,179,394.00","155,641,596.00","237,315,521.00","68,386,835.00","143,092,729.00","226,762,007.00","362,892,496.00","80,362,181.00","174,735,165.00","297,603,555.00","439,348,487.64","105,779,045.75","232,711,486.01","357,897,903.88","555,894,821.96","126,611,884.99","231,659,798.70","372,586,559.19","547,186,542.29","142,895,221.55","272,488,851.73","406,300,455.64"
其中:非流动资产处置净损失,"-48,000.00","12,482.00","1,320,100.00","1,527,513.00","97,102.00","29,253.00","-10,359.00",,"190,055.00","318,807.00","305,008.00","631,517.00","72,672.00","276,647.00","397,313.00","418,349.00","38,026.00","442,593.00","528,644.00","577,931.00","298,023.00","350,941.00","350,941.00","1,484,257.65","152,944.56","910,283.52","945,458.54","2,183,321.32","20,016.60","175,062.57","218,503.87","447,988.42","6,591.50","8,451.04","106,125.56"
