科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"238,637,664.96","399,329,250.00","470,989,540.84","221,078,980.34","359,893,023.30","551,046,883.08","144,743,810.75","252,266,552.36","467,104,258.57","686,627,375.01","353,534,231.15","894,091,688.37","1,186,624,278.93","1,433,296,843.66","93,692,971.87","343,177,093.13","535,163,062.93","758,867,667.68","317,948,332.25","394,412,553.81","665,635,329.81","1,426,359,278.00","458,416,106.73","1,328,263,410.65","1,510,918,777.19","2,082,962,815.06","1,012,728,347.08","1,424,350,925.33","1,818,731,883.37","2,441,495,177.36"
取得子公司及其他营业单位支付的现金净额,,,"51,407,830.59",,,,,,,,,,,,,,"258,163,578.54","264,448,469.62",,,"53,453,186.54","151,191,743.34",,"67,357,804.92","67,357,804.92","66,165,321.55",,,,
收到的税费返还,"1,747,394.00","649,772.00","194,308.00","236,143.97","236,143.97","195,847.00",,,,"2,371,736.00","277,762.00","289,770.00","765,077.00","765,077.00","4,786.00","68,757.17","659,657.17","662,844.17",,"5,385.00","873,337.00","1,020,122.00",,,"972,387.23","972,387.23",,,,"256,785.44"
支付其他与投资活动有关的现金,,"14,680,822.09","1,029,971.58",,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"209,114.21","38,821,807.13","14,333,739.32","68,506,481.71","98,725,918.53","43,139,858.29","14,836,641.16","15,050,251.15","35,526,653.74","40,972,790.03","12,016,650.06","17,454,547.74","23,229,722.06","40,069,433.08","5,504,569.12","9,074,369.39","11,468,589.38","40,410,805.55","8,594,261.60","18,346,732.86","20,123,185.48","29,262,873.70","34,256,478.73","101,038,721.26","102,202,445.34","73,356,536.72","8,922,830.88","108,388,834.02","180,685,697.70","91,826,560.62"
投资活动现金流出小计,"15,821,352.92","19,931,871.09","65,229,898.17","6,232,454.00","8,461,578.79","28,872,043.00","2,686,251.22","6,465,485.00","92,485,246.91","212,994,588.79","71,030,283.73","72,793,910.07","109,984,085.05","695,460,468.82","707,208.49","329,771,216.89","961,525,047.73","917,725,422.25","100,565,515.57","1,939,688,741.97","2,248,210,528.38","3,299,983,544.80","259,600,465.89","660,022,036.86","2,253,629,256.53","2,284,553,779.05","41,553,271.00","1,356,800,703.62","1,940,585,433.98","2,030,563,450.32"
经营活动现金流入小计,"240,594,173.17","438,800,829.13","485,517,588.16","289,821,606.02","458,855,085.80","594,382,588.37","159,580,451.91","267,316,803.51","502,630,912.31","729,971,901.04","365,828,643.21","911,836,006.11","1,210,619,077.99","1,474,131,353.74","99,202,326.99","352,320,219.69","547,291,309.48","799,941,317.40","326,542,593.85","412,764,671.67","686,631,852.29","1,456,642,273.70","492,672,585.46","1,429,302,131.91","1,614,093,609.76","2,157,291,739.01","1,021,651,177.96","1,532,739,759.35","1,999,417,581.07","2,533,578,523.42"
投资活动产生的现金流量净额,"-15,821,352.92","-6,721,526.75","-53,209,898.17","-6,211,424.87","-8,440,549.66","-28,834,213.87","-2,686,251.22","-6,452,685.00","-92,472,446.91","-212,935,788.79","-71,030,283.73","-72,793,910.07","-107,128,085.05","-687,916,968.82","2,417,791.51","-325,796,216.89","-957,550,047.73","-905,250,422.25","-79,691,261.31","-1,914,898,621.05","-1,178,885,811.44","-1,182,367,982.19","-233,625,384.73","-424,303,089.50","-1,843,041,254.39","-1,500,641,902.93","156,270,593.17","-808,009,651.34","-470,094,636.18","-419,633,477.19"
购买商品、接受劳务支付的现金,"148,958,710.08","224,082,228.74","323,689,567.54","175,861,977.20","314,948,678.99","617,039,829.44","158,678,036.95","292,869,806.14","478,990,782.54","608,408,364.93","75,162,510.91","297,771,440.41","360,090,151.59","444,622,395.39","85,329,492.82","249,565,787.68","614,413,379.52","644,952,709.90","287,099,088.94","475,789,423.52","664,765,936.30","786,272,440.42","142,190,796.91","372,099,355.48","816,406,284.90","971,758,579.39","561,038,356.88","1,005,290,641.75","1,557,945,611.54","2,064,149,917.12"
吸收投资收到的现金,,"25,020,750.00",,,"1,380,719,850.00","1,380,719,850.00",,,,,,,,,,,,,"2,786,834,382.98","2,786,834,382.98","2,786,834,382.98","2,785,441,662.15","44,600,000.00","44,600,000.00","44,600,000.00","25,000,000.00",,"6,000,000.00","11,000,000.00","18,000,000.00"
支付给职工以及为职工支付的现金,"33,244,748.78","40,843,598.62","52,369,232.83","27,576,147.33","48,448,360.48","56,146,241.49","16,045,845.81","33,369,855.28","55,679,025.03","75,793,026.89","23,155,876.47","44,019,014.23","64,297,731.92","81,812,770.87","20,667,033.13","41,230,776.20","64,942,110.42","93,547,498.91","28,626,113.23","53,890,032.35","77,347,400.57","105,329,281.19","27,932,195.69","71,471,144.09","106,545,751.72","160,375,244.75","51,852,360.48","87,398,661.65","143,158,014.69","173,861,137.91"
取得借款收到的现金,"30,000,000.00","49,600,000.00","116,000,000.00","55,511,305.00","65,311,305.00","65,311,305.00",,,,,,,,,,"90,000,000.00","988,766,802.40","1,088,515,900.00",,,,,,,,,,,,
支付的各项税费,"17,325,886.91","42,683,143.26","42,952,396.14","26,798,570.84","44,628,382.54","62,620,367.48","15,987,217.12","36,767,869.81","54,384,149.74","94,898,010.58","48,831,401.98","94,765,810.65","132,201,312.95","152,590,691.84","21,740,939.09","37,613,896.29","62,880,328.77","98,878,847.31","27,591,539.98","65,763,311.18","74,095,661.42","102,938,131.97","31,581,110.52","76,877,706.96","85,127,113.19","98,150,276.19","30,002,840.45","45,269,787.81","52,508,279.59","68,549,317.79"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"36,568,373.74","40,456,128.11","31,392,203.87","20,411,405.88","30,307,954.86","45,999,478.83","51,597,651.86","72,555,268.96","58,640,588.61","59,566,647.43","11,746,966.22","19,663,926.76","28,502,392.38","40,858,276.14","7,210,890.99","16,996,262.27","35,070,813.72","45,450,924.52","11,400,544.33","19,453,752.47","25,668,814.60","64,357,149.21","19,469,693.60","40,759,509.52","83,461,331.11","180,066,287.16","22,970,728.51","146,256,390.59","225,421,505.44","258,882,607.34"
筹资活动现金流入小计,"30,000,000.00","74,620,750.00","116,000,000.00","55,511,305.00","1,446,031,155.00","1,446,031,155.00",,,,,,,,,,"90,000,000.00","988,766,802.40","1,088,515,900.00","2,786,834,382.98","2,786,834,382.98","2,786,834,382.98","2,785,441,662.15","44,600,000.00","44,600,000.00","1,044,600,000.00","1,025,000,000.00",,"6,000,000.00","11,000,000.00","1,018,000,000.00"
经营活动现金流出小计,"236,097,719.51","348,065,098.73","450,403,400.38","250,648,101.25","438,333,376.87","781,805,917.24","242,308,751.74","435,562,800.19","647,694,545.92","838,666,049.83","158,896,755.58","456,220,192.05","585,091,588.84","719,884,134.24","134,948,356.03","345,406,722.44","777,306,632.43","882,829,980.64","354,717,286.48","614,896,519.52","841,877,812.89","1,058,897,002.79","221,173,796.72","561,207,716.05","1,091,540,480.92","1,410,350,387.49","665,864,286.32","1,284,215,481.80","1,979,033,411.26","2,565,442,980.16"
偿还债务支付的现金,,"30,000,000.00","49,600,000.00","69,009,100.00","181,311,305.00","181,311,305.00",,,,,,,,,,,"28,000,000.00","90,000,000.00","200,000,000.00","500,000,000.00","900,000,000.00","900,000,000.00",,,"104,546,960.00","104,546,960.00",,,,
经营活动产生的现金流量净额,"4,496,453.66","90,735,730.40","35,114,187.78","39,173,504.77","20,521,708.93","-187,423,328.87","-82,728,299.83","-168,245,996.68","-145,063,633.61","-108,694,148.79","206,931,887.63","455,615,814.06","625,527,489.15","754,247,219.50","-35,746,029.04","6,913,497.25","-230,015,322.95","-82,888,663.24","-28,174,692.63","-202,131,847.85","-155,245,960.60","397,745,270.91","271,498,788.74","868,094,415.86","522,553,128.84","746,941,351.52","355,786,891.64","248,524,277.55","20,384,169.81","-31,864,456.74"
分配股利、利润或偿还利息支付的现金,"758,422.50","113,256,352.90","53,738,446.39","5,516,496.45","5,812,618.51","4,949,346.02",,"104,677,060.21","104,677,060.21","109,600,000.00",,"96,448,000.00","96,448,000.00","96,448,000.00",,"50,635,200.00","50,635,200.00","50,635,200.00",,"138,987,760.34","166,791,769.62","169,524,925.68","768,345.79","148,859,626.40","148,611,746.67","148,877,290.65",,"117,295,342.11","152,295,342.11","152,295,342.11"
收回投资收到的现金,,"9,071,069.34",,,,,,,,,,,,,,,,"1,000,000.00","19,870,000.00","19,870,000.00","1,051,987,000.00","2,088,806,476.00","20,000,000.00","221,000,000.00","253,390,353.28","502,505,619.75","27,038,000.00","333,977,705.48","1,245,027,705.48","1,378,531,958.67"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,"1,555,179.31","1,511,221.92",,,,,,,"10,000,000.00","10,000,000.00",,,,"10,735,849.07"
取得投资收益收到的现金,,,,,,,,,,,,,"2,816,000.00","7,503,500.00","3,125,000.00","3,975,000.00","3,975,000.00","3,975,000.00","999,254.26","4,904,820.92","17,322,416.94","28,626,686.61","5,972,701.16","14,714,727.36","156,741,562.28","271,268,577.03","1,990,322.60","16,846,477.17","26,850,267.91","74,429,924.73"
筹资活动现金流出小计,"758,422.50","143,256,352.90","103,338,446.39","74,525,596.45","187,123,923.51","186,260,651.02",,"104,677,060.21","104,677,060.21","109,600,000.00",,"96,448,000.00","96,448,000.00","96,448,000.00",,"50,635,200.00","80,190,379.31","142,146,421.92","200,000,000.00","638,987,760.34","1,066,791,769.62","1,069,524,925.68","768,345.79","148,859,626.40","263,158,706.67","263,424,250.65",,"117,295,342.11","152,295,342.11","163,031,191.18"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"9,300.00","20,000.00","21,029.13","21,029.13","37,829.13",,"12,800.00","12,800.00","58,800.00",,,"40,000.00","40,000.00",,,,"7,500,000.00","5,000.00","15,300.00","15,300.00","182,400.00","2,380.00","4,220.00","456,086.58","54,300.00",600.00,"21,584.00","207,099.10","705,176.96"
