科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,658,698,157.62","2,747,812,465.46","2,562,517,247.56",,"1,239,290,223.76","1,849,670,084.18","2,562,946,142.91","672,564,977.47","1,284,254,865.08","2,061,410,290.58","2,944,332,961.49","686,369,298.62","1,306,130,391.44","2,107,141,347.23","2,884,488,598.30","818,865,237.64","1,547,127,776.75","2,362,088,871.82","3,237,721,139.25","833,997,830.02","1,537,488,910.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"188,331,976.63","194,890,531.54","196,209,176.50",,"110,522,783.24","173,621,316.44","218,261,231.88","85,416,433.27","154,645,422.05","223,617,451.67","292,143,272.85","71,970,485.51","140,835,814.31","201,895,131.53","265,539,909.22","72,089,986.78","132,953,413.66","205,121,631.31","252,477,597.62","65,282,589.83","138,619,597.43"
支付其他与投资活动有关的现金,"561,000.00",,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,327,125.96","11,049,797.46","12,368,110.94",,"9,783,903.39","55,856,039.53","27,005,785.18","4,832,196.60","8,730,151.00","37,942,223.07","54,056,519.15","5,503,917.45","6,644,384.68","18,629,982.74","30,372,348.01","3,362,698.84","7,108,886.15","24,355,251.85","30,525,019.12","9,843,251.70","16,420,244.22"
投资活动现金流出小计,"122,601,723.91","68,060,618.26","46,553,770.69",,"28,516,316.81","67,140,289.89","90,152,159.39","19,746,040.82","38,806,893.42","75,329,772.37","108,583,944.78","31,903,812.34","54,940,362.42","102,377,150.57","206,498,955.98","22,157,698.06","77,498,265.46","170,715,460.21","680,064,362.92","59,980,218.11","1,306,921,251.07"
经营活动现金流入小计,"2,854,357,260.21","2,953,752,794.46","2,771,094,535.00",,"1,359,596,910.39","2,079,147,440.15","2,808,213,159.97","762,813,607.34","1,447,630,438.13","2,322,969,965.32","3,290,532,753.49","763,843,701.58","1,453,610,590.43","2,327,666,461.50","3,180,400,855.53","894,317,923.26","1,687,190,076.56","2,591,565,754.98","3,520,723,755.99","909,123,671.55","1,692,528,752.17"
投资活动产生的现金流量净额,"-122,578,865.91","-67,572,948.26","-45,682,469.69","-15,704,700.00","-28,130,619.43","-66,674,592.51","-89,577,462.01","-17,447,171.22","-35,450,495.92","-62,655,096.62","-99,131,738.86","-30,488,506.99","-53,254,197.72","-100,412,991.21","-202,859,279.51","-22,154,681.76","-77,498,265.46","-170,411,266.94","-674,028,912.38","24,601,569.72","-812,656,087.77"
购买商品、接受劳务支付的现金,"1,901,387,418.89","1,911,513,336.23","1,647,908,884.82",,"879,848,725.11","1,302,373,788.50","1,732,456,341.22","459,730,865.24","914,882,334.72","1,378,862,221.36","1,880,207,427.13","444,927,749.25","876,120,253.36","1,335,394,831.80","1,835,970,653.99","523,239,366.69","1,062,436,123.83","1,599,006,599.65","2,095,541,885.18","515,528,568.71","1,062,966,565.91"
吸收投资收到的现金,,,,,"1,377,900,000.00","1,377,900,000.00","1,320,406,100.00",,,,,,"103,890,668.00","103,890,668.00","103,890,668.00",,,"12,550,985.55","16,125,362.07","678,494.30","1,423,978.30"
