科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年度,2015年1-6月,2015年度
经营活动产生的现金流量净额,"-2,654,087.91","-1,569,073.00","87,835.63","-330,278.58","-2,440,106.78","58,116.35","851,954.08","1,391,999.79","954,198.75","3,580,813.28","3,830,295.34","1,143,347.01","2,195,558.77","-74,315.91","935,957.03","-1,825,602.42","311,994.18","-1,112,021.97","-1,346,504.33","-2,899,856.53","-4,405,765.75","-1,051,502.18","-3,570,741.27","-3,227,573.12","642,086.20","-449,179.56","-1,163,240.57","-16,018,445.19","535,922.85","7,238,804.51"
分配股利、利润或偿还利息支付的现金,437.15,,590.00,590.00,,636.45,"2,058.25","2,069.44",,928.82,"1,612.01","1,586.85",,518.14,"1,108.03","1,524.61","591,300.00",,,"2,738.15",,,,,,,,,,
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,"20,000.00",,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,437.15,,590.00,590.00,,636.45,"2,058.25","2,069.44",,928.82,"1,612.01","1,586.85",,518.14,"1,108.03","1,524.61","591,300.00",,,"2,738.15",,,,,"20,000.00",,,"8,000.00",,
处置固定资产、无形资产和其他长期资产收回的现金净额,,"7,000.00",,,"18,000.00",,,,"35,000.00",,"10,000.00","10,000.00","10,000.00",,,,,,,,"4,260,811.80",,,,,,,"13,739,787.33",,
筹资活动产生的现金流量净额,-437.15,,"82,522.00","181,196.00",,"122,797.55","232,080.00","302,074.46",,-928.82,"97,060.99","214,086.15",,"41,981.86","99,291.97","692,355.39","-591,300.00","105,960.00","129,560.00","1,474,021.85",,"213,381.00","1,306,981.00","2,384,381.00","-12,000.00","237,300.00","455,760.00","12,000.00",,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-233,155.66",,,"478,657.67",,,,"954,462.97",,,,"-366,800.79",,,,"70,750.92",,,,,,,,"-193,436.40",,,"187,515.90",,"239,580.04"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"7,000.00",,,"18,000.00",,,,"35,000.00",,"10,000.00","10,000.00","10,000.00",,,,,,,,"4,260,811.80",,,,,,,"13,739,787.33",,
五、现金及现金等价物净增加额,"-2,658,225.06","-1,798,928.66","170,357.63","-149,082.58","-1,943,449.11","180,913.90","848,699.76","1,252,279.93","1,501,867.40","3,579,884.46","3,937,356.33","1,367,433.16","1,838,757.98","-32,334.05","1,035,249.00","-1,133,247.03","-208,554.90","-1,006,061.97","-1,336,944.33","-1,545,834.68","-144,953.95","-838,121.18","-2,263,760.27","-843,192.12","436,649.80","-211,879.56","-707,480.57","-2,079,141.96","535,922.85","7,478,384.55"
购建固定资产、无形资产和其他长期资产支付的现金,"3,700.00","3,700.00",,,,,"235,334.32","441,794.32","441,794.32",,,,,,,,,,"120,000.00","120,000.00",,,,,,,,,,
期初现金及现金等价物余额,"3,982,896.44","3,982,896.44","2,183,967.78","2,183,967.78","2,183,967.78","240,518.67","240,518.67","240,518.67","240,518.67","1,742,386.07","1,742,386.07","1,742,386.07","1,742,386.07","3,581,144.05","3,581,144.05","3,581,144.05","3,581,144.05","3,372,589.15","3,372,589.15","3,372,589.15","3,372,589.15","3,227,635.20","3,227,635.20","3,227,635.20","3,227,635.20","3,684,285.00","3,684,285.00","3,664,285.00","1,585,143.04","1,585,143.04"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"1,324,671.38","2,183,967.78","2,354,325.41","2,034,885.20","240,518.67","421,432.57","1,089,218.43","1,492,798.60","1,742,386.07","5,322,270.53","5,679,742.40","3,109,819.23","3,581,144.05","3,548,810.00","4,616,393.05","2,447,897.02","3,372,589.15","2,366,527.18","2,035,644.82","1,826,754.47","3,227,635.20","2,389,514.02","963,874.93","2,384,443.08","3,664,285.00","3,472,405.44","2,976,804.43","1,585,143.04","2,121,065.89","9,063,527.59"
