科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"104,101,920.62","98,111,037.38","177,058,680.83","176,910,904.82",,"256,481,854.31","676,512,442.01","551,310,272.62","618,832,525.92","763,109,037.57","622,446,815.89","188,572,205.55","175,622,723.66","565,920,861.71","587,017,883.55"
短期借款,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,"70,717,500.00"
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,"6,029,453.60","3,339,453.60",,,,
应付票据,,,,,,,,,,,,,,,
应收账款,"67,214,938.06","66,484,682.83","61,557,363.95","75,260,851.64",,"66,250,892.25","85,719,646.65","82,832,608.14","85,383,122.76","88,739,647.51","100,457,075.18","89,639,539.25","91,581,961.80","97,729,020.37","111,846,423.01"
应付账款,"42,342,834.65","47,050,226.96","33,655,130.65","25,286,229.19",,"33,073,779.76","28,564,130.40","21,173,760.80","26,880,224.65","37,287,674.17","26,405,751.13","47,846,955.20",,"58,261,236.71",
预付款项,"5,664,960.05","1,469,290.67","1,145,146.37","892,168.93",,"915,524.70","3,595,176.51","2,457,942.00","3,596,964.15","4,470,904.33","4,597,121.61","4,159,723.00","4,356,812.10","5,370,046.31","6,088,338.58"
预收款项,"4,434,314.57","7,015,583.43","8,689,089.37","9,026,285.05",,"8,330,435.51","5,874,311.89","3,406,005.72","5,762,128.88","5,949,046.74","5,024,418.09","3,965,833.18","4,134,841.79","6,579,277.35","4,058,998.33"
其他应收款,"6,942,379.45","1,153,714.91","950,983.92","1,248,500.59",,"767,453.31","1,150,884.04","1,845,052.34","1,307,825.03","1,998,340.25","1,649,163.94","2,431,752.60","1,688,721.26","1,344,292.42","2,372,257.78"
应付职工薪酬,"14,778,961.11","18,056,545.80","19,529,836.62","17,403,142.60",,"24,992,824.77","19,244,069.92","18,202,074.24","18,295,222.24","20,848,715.17","18,155,904.53","17,715,136.93","18,613,831.51","20,773,456.57","19,052,316.30"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"31,934,845.76","17,555,710.05","13,986,886.91","14,913,371.30",,"9,638,501.16","11,102,552.48","10,692,007.92","15,300,866.36","15,077,540.89","11,188,228.42","13,394,457.82","15,407,230.23","13,994,569.50","11,416,470.93"
