科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"98,813,592.71","102,640,481.80","182,014,330.34","149,279,609.64","161,336,048.38","175,734,029.01","398,912,076.60","196,905,438.80","159,230,024.28","143,469,768.53","169,607,408.48","122,404,959.61","123,160,906.59","135,057,075.84"
短期借款,,,,,,,,,,,,,,
交易性金融资产,,,,,,,"229,698.00","231,917.00","288,491.00","250,638.50",,"92,237.20",,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"2,480,000.00","2,717,100.00","2,442,962.77","805,530.00","3,575,284.00",,"683,624.00","5,050,000.00","11,590,840.00","2,978,457.00","2,110,500.00","1,408,250.00","5,346,160.00","4,111,656.40"
应付票据,"41,184,042.78","49,290,821.34","76,300,972.53","69,417,656.70","79,257,131.77","67,349,584.49","68,691,500.59","67,820,089.17","63,947,456.08","57,052,083.90","48,009,306.94","51,411,591.33","55,812,940.71","53,370,501.12"
应收账款,"135,234,244.86","152,138,224.91","175,616,641.28","184,068,663.31","194,862,641.08","199,343,739.84","205,524,990.87","220,446,376.51","227,761,125.99","252,265,878.93","281,022,497.79","292,067,423.25","300,487,893.23","315,994,716.07"
应付账款,"82,052,701.05","80,355,274.81","104,178,846.03","99,656,084.34","113,530,284.27","111,393,667.02","130,213,419.27","111,156,397.00","114,018,079.67","111,724,188.85","105,725,144.96","111,218,282.77","117,738,070.10","117,677,777.66"
预付款项,"5,402,700.66","7,197,334.74","31,766,192.73","39,193,715.25","36,713,682.18","38,053,992.89","28,851,680.07","26,335,934.68","18,993,345.38","22,292,263.77","15,612,086.11","24,755,129.30","20,546,733.88","27,110,027.63"
预收款项,"74,189,103.71","73,126,976.72","169,926,101.25","192,768,712.14","195,845,365.43","220,835,847.05","205,240,127.22","184,239,230.02","171,640,207.90","153,252,031.27","117,697,304.75","106,893,820.76","99,022,611.45","89,498,884.99"
其他应收款,"7,582,718.41","8,744,014.97","10,664,404.85","15,113,281.18","13,488,839.08","16,187,890.86","12,845,155.34","14,575,168.09","14,526,362.35","17,364,785.02","13,251,668.32","27,312,346.54","29,445,338.39","21,451,386.85"
应付职工薪酬,"4,335,372.40","4,731,513.10","4,925,591.00",325.00,400.00,460.00,"5,173,385.00",610.00,337.00,"1,285.49","7,555,982.03","15,758.16","19,243.17","339,449.59"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"5,053,510.34","8,129,302.36","3,097,292.33","3,363,625.72","8,039,940.73","5,275,817.59","6,871,954.90","1,406,689.53","4,061,735.27","1,305,892.23","9,936,224.85","3,495,855.53","5,665,772.31","5,150,035.74"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"64,887,015.28","69,472,898.49","133,516,188.81","157,301,295.94","177,246,357.62","179,512,838.63","178,965,658.23","175,094,365.37","166,213,080.36","149,319,423.09","98,232,989.40","101,107,022.21","83,286,371.71","87,770,249.33"
其他应付款,"1,289,109.57","809,989.77","1,721,813.75","2,820,366.20","1,872,053.75","3,088,027.51","2,925,552.99","3,083,259.71","2,115,347.73","3,072,986.17","3,639,077.90","2,688,313.88","2,130,532.57","3,002,460.09"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,"66,828.57"
一年内到期的非流动负债,,,,,,,,,,,,,,
其他流动资产,,,"1,475.13",,,,,"140,000,000.00","115,000,000.00","115,000,000.00","40,081,636.49","38,000,000.00","26,211,935.75","8,091,922.31"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"314,400,271.92","342,910,054.91","536,022,195.91","545,762,095.32","587,222,852.34","608,832,491.23","826,012,883.11","778,639,200.45","713,603,269.36","702,941,214.84","619,918,786.59","607,147,368.11","588,485,339.55","599,653,863.00"
流动负债合计,"208,103,839.85","216,443,878.10","360,150,616.89","368,026,770.10","398,545,175.95","407,943,403.66","419,115,939.97","367,706,275.43","355,783,163.65","326,408,467.91","292,563,041.43","275,723,622.43","280,389,170.31","269,039,109.19"
可供出售金融资产,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"2,173,702.79","2,036,879.26","1,823,370.84","26,845,278.64"
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"108,296,457.60","102,759,506.37","97,205,906.53","95,392,420.46","95,855,896.28","94,168,340.70","93,967,714.07","92,260,149.57","91,856,132.88","95,591,493.28","98,663,727.38","97,725,576.75","96,547,323.88","119,507,146.93"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"466,644.95","18,974.62","623,734.37","941,514.94","3,906,956.06","4,189,187.90","10,287,467.90","16,161,260.17","61,754,203.48","58,790,679.83","92,944,335.79","99,962,567.09","129,701,615.50","124,266,678.48"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"3,700,000.00","9,864,999.99","15,209,999.97","15,163,749.96","15,117,499.95","17,271,249.94","17,224,999.93","17,178,749.92","17,132,499.91","17,086,249.90","17,039,999.89","16,993,749.88","16,947,499.87","13,931,249.85"
固定资产清理,,,,,,,,,,,,,,
负债合计,"211,803,839.85","226,308,878.09","375,360,616.86","383,190,520.06","413,662,675.90","425,214,653.60","436,340,939.90","384,885,025.35","372,915,663.56","343,494,717.81","309,603,041.32","292,717,372.31","297,336,670.18","282,970,359.04"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","203,638,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"123,447,515.87","125,215,231.98","125,215,231.98","125,215,231.98","125,215,231.98","125,215,231.98","298,167,835.75","298,167,835.75","198,167,835.75","198,167,835.75","198,167,835.75","198,167,835.75","198,167,835.75","238,258,595.75"
无形资产,"33,649,051.26","61,771,844.28","59,378,665.20","58,935,003.30","58,571,889.07","58,209,108.37","58,112,399.48","58,464,079.66","58,027,885.66","57,639,545.80","57,926,091.96","58,474,600.06","58,020,463.91","57,545,539.79"
盈余公积,"5,453,142.14","9,629,232.56","13,999,117.30","13,999,117.30","13,999,117.30","13,999,117.30","18,435,422.66","18,435,422.66","18,435,422.66","18,435,422.66","22,952,402.83","22,952,402.83","22,952,402.83","22,952,402.83"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,"14,840,937.89","6,053,213.60","6,053,213.60","6,053,213.60","10,339,600.14"
未分配利润,"41,578,279.25","71,440,370.91","103,655,535.87","103,626,164.68","117,680,568.57","125,970,125.32","135,436,266.25","144,036,406.09","135,722,569.41","143,125,974.42","159,133,275.47","166,000,517.56","167,362,590.15","174,742,041.44"
长期待摊费用,"470,351.38","133,333.36",,,,,,,,"245,518.87","212,264.15","176,886.80","141,509.45","106,132.10"
少数股东权益,,,,,,,,,,"26,910,000.00","22,766,423.15","22,290,038.85","20,975,821.74","30,193,414.40"
递延所得税资产,,,,,,,,,,"84,560.13","5,324,955.60","5,590,013.35","5,991,374.80","6,490,574.38"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,"29,405,900.66","24,961,062.28","20,031,109.12","8,000,000.00"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"142,882,505.19","164,683,658.63","157,208,306.10","155,268,938.70","158,334,741.41","156,566,636.97","162,367,581.45","166,885,489.40","211,638,222.02","227,192,735.80","292,704,191.93","294,980,799.19","318,309,981.10","353,100,950.46"
所有者权益(或股东权益)合计,"245,478,937.26","281,284,835.45","317,869,885.15","317,840,513.96","331,894,917.85","340,184,474.60","552,039,524.66","560,639,664.50","552,325,827.82","586,639,232.83","603,019,937.20","609,410,794.99","609,458,650.47","669,784,454.42"
资产总计,"457,282,777.11","507,593,713.54","693,230,502.01","701,031,034.02","745,557,593.75","765,399,128.20","988,380,464.56","945,524,689.85","925,241,491.38","930,133,950.64","912,622,978.52","902,128,167.30","906,795,320.65","952,754,813.46"
负债和所有者(或股东权益)合计,"457,282,777.11","507,593,713.54","693,230,502.01","701,031,034.02","745,557,593.75","765,399,128.20","988,380,464.56","945,524,689.85","925,241,491.38","930,133,950.64","912,622,978.52","902,128,167.30","906,795,320.65","952,754,813.46"
